#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 08:43:55,wvcp,DSJR500.1,local_search,16,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,15,0,184,0:0:0:0:1:1:1:2:1:2:0:0:2:1:0:2:0:2:2:3:2:2:1:2:4:3:0:3:2:2:1:4:4:1:3:2:1:1:3:4:1:3:4:0:3:2:3:0:1:5:1:3:5:4:1:5:2:5:0:6:0:6:5:3:0:2:4:4:3:6:4:6:5:6:6:4:2:0:0:3:5:0:4:5:0:3:6:4:4:5:1:1:1:4:0:5:6:5:7:0:6:7:1:0:6:6:3:6:7:6:8:3:4:7:7:7:8:7:8:5:4:8:8:7:0:8:6:8:8:8:6:8:9:8:9:9:7:9:9:9:5:8:1:9:7:7:2:2:5:2:2:9:3:8:7:4:8:3:8:3:10:8:10:7:7:9:8:9:7:1:10:5:10:7:9:10:0:9:10:11:11:9:3:8:11:1:9:3:10:4:12:11:12:7:11:11:12:11:11:12:12:10:12:12:11:3:3:13:11:13:13:13:10:13:12:9:12:12:10:6:7:5:10:14:12:14:9:10:13:12:14:8:14:14:13:14:12:13:10:13:12:2:13:11
184,0,15,0,183,0:0:0:0:1:1:1:2:1:2:0:0:2:1:0:2:0:2:2:3:2:2:1:2:4:3:0:3:2:2:2:4:4:1:3:2:2:1:3:4:1:3:4:0:3:2:3:2:1:5:1:3:5:4:1:5:2:5:0:6:0:6:5:3:0:5:2:3:3:6:4:6:5:6:6:4:5:0:2:3:5:0:4:6:0:3:6:4:4:5:1:1:1:0:6:6:4:5:7:2:6:7:1:0:6:1:3:0:7:6:8:0:4:7:5:3:8:7:8:5:4:8:3:5:2:2:6:8:8:8:6:8:9:8:9:9:7:9:9:7:5:4:2:9:0:7:2:6:1:5:2:9:3:8:7:4:8:4:8:7:10:8:7:7:7:1:8:9:7:3:10:8:5:7:0:9:2:9:10:11:10:9:3:3:9:1:11:2:10:4:12:12:10:7:11:1:10:11:6:12:12:11:12:10:11:3:3:13:11:13:2:12:10:13:12:11:13:10:3:11:12:8:0:12:13:13:12:13:13:9:11:9:6:14:8:11:12:10:14:13:10:13:11:12
932,0,14,0,182,0:0:0:0:1:1:1:2:1:1:0:1:2:1:1:2:1:2:2:3:2:2:1:2:4:3:0:3:2:3:2:2:4:4:1:2:3:1:3:4:1:3:4:0:3:2:3:1:4:5:1:4:5:4:1:5:2:6:0:6:0:6:5:1:0:5:5:3:2:2:3:6:5:6:6:4:5:0:2:3:5:0:2:0:2:3:6:4:0:5:4:6:5:3:4:1:6:5:7:2:6:7:1:0:4:1:5:7:7:6:8:0:4:7:3:4:8:7:8:5:4:0:7:8:6:6:8:8:7:8:9:8:8:4:6:3:7:9:5:3:7:3:9:7:1:7:4:2:4:5:2:9:3:0:7:4:8:3:8:3:10:8:10:6:10:9:8:7:7:9:0:8:5:6:3:0:6:9:10:11:10:9:1:11:11:1:10:3:7:2:12:12:12:7:5:12:4:12:6:8:12:10:12:9:10:9:11:11:2:8:13:5:1:11:13:12:11:10:13:10:10:3:11:9:7:13:12:11:9:8:4:11:4:13:13:13:11:13:12:7:10:12:7:11
2743,0,14,0,181,0:1:0:1:1:2:1:2:0:2:0:1:2:1:1:0:0:2:0:3:2:2:1:2:4:3:0:4:2:2:2:0:4:4:1:2:1:1:3:4:1:3:4:0:3:3:2:4:2:5:1:4:5:4:1:5:0:6:0:6:1:6:6:5:6:6:6:1:1:2:3:5:5:6:6:4:5:0:0:3:0:4:2:0:1:3:6:4:0:5:4:6:5:3:4:5:6:0:7:6:2:5:7:0:0:6:5:1:7:6:1:3:4:7:7:4:8:7:1:3:8:8:8:3:1:4:5:8:9:9:8:8:8:4:6:9:7:7:5:7:9:8:9:7:7:9:3:2:7:8:2:9:3:9:8:0:9:9:5:8:10:8:8:7:7:10:8:6:9:9:8:9:10:8:9:0:7:11:4:11:10:6:2:2:11:3:7:3:9:10:12:12:8:12:11:12:1:11:12:10:12:10:11:12:12:10:13:6:10:13:3:5:2:0:12:13:13:9:10:11:11:9:11:11:12:11:7:10:10:9:5:5:12:13:6:13:3:13:13:1:12:4:13:4
3290,0,14,0,180,0:1:0:1:1:2:1:2:0:2:0:1:2:1:0:0:0:0:2:3:1:2:1:2:4:3:3:4:2:2:1:0:4:4:1:2:1:1:3:4:0:3:4:0:3:3:2:3:2:5:1:4:5:4:1:3:2:6:0:6:1:6:6:0:0:5:2:4:0:2:3:5:5:6:6:4:5:5:0:3:2:4:2:4:0:3:6:4:0:5:3:1:2:2:5:1:0:0:7:0:2:5:7:0:0:6:2:7:7:6:1:3:4:6:5:0:2:7:1:3:0:0:7:6:0:5:7:8:9:3:4:8:8:9:6:9:9:8:7:8:6:9:5:3:7:7:7:3:8:1:2:9:9:8:8:4:9:3:9:5:10:8:8:6:5:7:9:6:7:4:10:5:9:5:8:6:10:9:7:11:11:6:10:8:11:9:10:2:10:11:12:11:8:7:10:6:9:11:12:10:11:10:12:7:10:5:13:6:10:12:11:5:13:13:9:12:2:10:13:5:9:6:13:12:12:11:8:11:11:11:3:9:13:13:12:10:3:12:13:1:10:13:12:11
4562,0,14,0,179,0:1:0:1:1:2:1:2:0:2:0:2:2:1:0:0:1:2:2:3:1:2:1:2:4:3:3:4:2:0:0:0:4:4:1:2:2:1:3:4:0:3:4:0:3:2:3:1:2:5:1:4:5:5:1:3:0:6:0:6:1:6:6:3:1:6:4:1:5:2:3:5:5:6:6:4:6:6:0:3:5:4:3:5:1:3:6:4:5:5:4:1:3:2:5:2:6:7:7:2:0:5:7:0:2:4:0:3:7:6:1:3:4:4:5:2:2:7:1:7:7:0:3:5:1:4:2:9:9:3:4:8:7:4:6:8:6:9:9:9:7:9:1:3:9:7:1:2:4:6:2:9:3:0:7:8:9:3:9:8:10:8:6:9:5:2:10:10:10:3:8:8:0:8:10:0:10:8:7:11:11:9:8:10:11:6:10:3:11:2:12:11:12:12:5:10:10:8:11:12:11:9:12:7:9:3:11:10:8:10:11:12:8:5:12:8:10:12:10:5:5:8:8:10:13:13:7:8:8:12:13:9:11:4:10:12:12:13:6:1:11:13:10:11
5325,0,14,0,178,0:0:0:1:1:2:1:2:0:2:0:2:2:1:1:2:1:2:2:3:1:2:1:2:4:3:3:4:2:0:0:0:4:4:1:2:2:1:3:4:0:3:4:0:3:2:3:1:4:5:1:4:5:5:1:3:0:3:0:6:1:6:1:4:6:0:3:6:1:4:3:1:5:6:6:4:6:6:2:3:6:4:2:0:6:3:6:4:5:5:3:6:1:2:5:2:4:5:7:5:0:5:7:0:6:6:5:4:7:6:1:0:6:4:3:1:2:0:1:3:7:0:5:4:1:4:2:8:9:7:6:8:7:4:9:7:6:9:9:8:7:9:7:8:2:7:8:2:0:5:2:9:3:4:8:9:5:7:9:5:10:8:6:9:10:2:1:8:10:4:2:9:8:6:7:3:8:10:7:11:11:10:2:9:11:9:11:3:7:0:12:11:8:7:5:9:7:10:10:12:11:8:8:5:11:9:11:9:11:10:12:12:8:10:12:10:12:3:8:10:12:10:8:12:4:11:8:10:2:11:12:7:11:13:13:13:12:13:13:0:9:5:11:12
15957,0,14,0,177,0:1:0:0:1:0:1:2:1:2:0:0:2:2:1:0:2:0:0:3:1:2:1:4:4:3:4:4:2:0:2:2:4:4:1:2:1:1:3:4:3:3:4:0:3:2:3:1:1:5:1:2:5:5:1:3:2:6:0:6:0:6:6:3:6:5:5:4:1:2:5:6:2:6:6:4:0:2:0:3:5:4:5:3:2:3:6:4:4:0:2:2:3:3:5:1:4:7:7:2:6:5:7:7:3:2:7:7:5:0:1:3:4:7:7:1:5:3:1:7:1:0:7:4:6:6:5:8:8:2:3:8:9:4:9:9:4:9:9:5:6:8:6:0:7:7:5:5:5:8:2:9:3:0:7:8:8:2:7:4:4:8:8:7:7:5:9:1:7:8:8:5:10:8:4:8:9:9:8:11:11:10:1:9:10:7:9:2:0:9:12:10:6:7:11:11:1:10:12:9:10:11:12:7:8:12:12:12:11:10:5:10:9:9:12:6:1:12:11:1:10:6:8:11:12:7:9:10:12:7:11:11:8:13:6:11:10:12:13:11:12:11:11:13
15958,0,14,0,176,0:1:0:0:1:0:1:2:1:2:0:0:2:2:1:0:2:0:0:3:1:2:1:4:4:3:4:4:2:0:2:2:4:4:1:2:1:1:3:4:3:3:4:0:3:2:3:1:1:5:1:2:5:5:1:3:2:6:0:6:0:6:6:3:6:5:5:4:1:2:5:6:2:6:6:4:0:2:0:3:5:4:5:3:2:3:6:4:4:0:2:2:3:3:5:1:4:7:7:2:6:5:7:7:3:2:7:7:5:0:1:3:4:7:7:1:5:3:1:7:1:0:7:4:6:6:5:8:8:2:3:8:9:4:9:9:4:9:9:5:6:8:6:0:7:7:5:5:5:8:2:9:3:0:7:8:8:2:7:4:4:8:8:7:7:5:9:1:7:8:8:5:10:8:4:8:9:9:8:11:11:10:1:9:10:7:9:2:0:9:10:10:6:7:11:11:1:10:12:9:10:11:12:7:8:12:12:12:11:10:5:10:9:9:12:6:1:12:11:1:10:6:8:11:12:7:9:10:12:7:11:11:8:13:6:11:10:12:13:11:12:11:11:13
15959,0,14,0,175,0:1:0:0:1:0:1:2:1:2:0:0:2:2:1:0:2:0:0:3:1:2:1:4:4:3:4:4:2:0:2:2:4:4:1:2:1:1:3:4:3:3:4:0:3:2:3:1:1:5:1:2:5:5:1:3:2:6:0:6:0:6:6:3:6:5:5:4:1:2:5:6:2:6:6:4:0:2:0:3:5:4:5:3:2:3:6:4:4:0:2:2:3:3:5:1:4:7:7:2:6:5:7:7:3:2:7:7:5:0:1:3:4:7:7:1:5:3:1:7:1:0:7:4:6:6:5:8:8:2:3:8:9:4:9:9:4:9:9:5:6:8:6:0:7:7:5:5:5:8:2:9:3:0:7:8:8:2:7:4:4:8:8:7:7:5:9:1:7:8:8:5:9:8:4:8:9:9:8:11:11:10:1:9:10:7:9:2:0:9:10:10:6:7:11:11:1:10:12:9:10:11:12:7:8:12:12:12:11:10:5:10:9:9:12:6:1:12:11:1:10:6:8:11:12:7:9:10:12:7:11:11:8:13:6:11:10:12:13:11:12:11:11:13
