#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 08:59:33,wvcp,GEOM100,local_search,12,65,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,12,0,74,0:0:0:0:1:0:1:2:1:0:2:2:2:0:1:2:2:1:1:1:1:3:3:3:2:4:4:4:2:5:6:1:4:6:5:5:6:5:1:5:2:6:0:6:4:6:5:7:3:7:7:6:3:3:7:4:3:3:7:8:8:9:4:9:8:5:9:3:9:0:9:10:11:7:11
11,0,11,0,73,0:0:0:0:1:0:1:2:1:0:2:2:2:0:1:2:2:1:1:1:1:3:3:3:2:4:4:4:2:5:6:1:3:6:5:5:6:5:1:5:2:5:2:0:4:6:5:7:6:7:7:6:3:4:7:4:3:3:7:8:8:9:4:8:8:5:9:3:9:6:9:10:4:8:10
44,0,11,0,72,0:0:0:0:1:0:1:2:1:0:2:2:2:0:1:2:2:1:1:4:1:4:3:0:2:4:4:4:1:5:6:1:3:5:5:0:6:5:1:5:2:5:2:6:4:6:5:7:6:7:7:6:3:4:7:6:3:3:7:8:3:5:4:3:7:2:8:8:9:8:8:10:4:7:10
59,0,10,0,71,0:0:0:0:1:0:1:2:1:0:2:2:2:0:1:2:2:1:1:4:1:4:3:0:2:4:4:3:2:5:6:1:3:5:5:2:6:5:6:5:2:5:2:6:4:6:5:7:6:7:7:6:3:1:0:6:4:1:7:8:3:5:8:3:7:8:4:6:9:8:8:7:4:7:3
546,0,10,0,70,0:0:0:0:1:0:1:2:1:0:2:2:2:1:1:2:3:2:1:1:3:3:3:0:4:4:4:0:3:5:6:1:3:3:6:3:4:5:2:1:2:5:4:6:4:6:3:5:6:3:8:6:3:5:0:8:8:6:5:8:8:5:2:8:8:2:5:1:9:7:9:7:4:9:7
547,0,10,0,69,0:0:0:0:1:0:1:2:1:0:2:2:2:1:1:2:3:2:1:1:3:3:3:0:4:4:4:0:3:5:6:1:3:3:6:3:4:5:2:1:2:5:4:6:4:6:3:5:6:3:8:6:3:5:0:8:8:6:5:8:8:5:2:8:8:2:5:1:9:9:9:7:4:9:7
648656,6,9,0,68,0:0:0:0:1:0:1:3:1:3:0:3:3:0:1:2:1:3:1:2:2:2:3:2:4:4:4:4:4:5:6:5:2:4:5:4:5:6:6:5:2:5:0:5:4:3:6:3:6:2:8:6:3:8:0:6:8:1:1:8:1:5:2:6:8:3:2:2:6:9:9:9:4:8:9
799629,8,9,0,67,0:0:0:0:1:0:1:3:1:3:0:3:0:1:1:4:3:1:1:4:3:4:3:0:4:4:4:6:6:5:6:5:4:5:5:1:4:5:1:3:2:2:5:6:4:1:2:8:3:8:8:6:3:2:0:8:8:1:6:8:6:5:3:5:8:3:6:6:6:7:7:2:7:2:4
800073,8,9,0,66,0:0:0:0:1:0:1:3:1:3:0:3:0:1:1:4:3:1:1:4:4:4:3:0:4:4:4:3:3:5:6:3:4:6:6:4:5:6:5:2:2:6:0:5:4:8:2:8:6:1:8:6:3:3:0:4:1:1:6:8:6:5:5:2:2:8:5:5:6:7:7:2:7:2:7
1615993,15,9,0,65,0:0:1:0:4:0:4:0:1:0:1:4:0:1:4:1:1:4:1:3:4:3:3:0:1:3:4:3:4:5:1:3:3:8:5:4:5:8:4:5:8:5:0:1:6:4:5:8:8:6:9:6:3:3:0:9:9:0:8:9:9:5:6:9:9:6:3:8:8:11:11:11:6:5:11
1615993,15,9,0,65,0:0:1:0:4:0:4:0:1:0:1:4:0:1:4:1:1:4:1:3:4:3:3:0:1:3:4:3:4:5:1:3:3:8:5:4:5:8:4:5:8:5:0:1:6:4:5:8:8:6:9:6:3:3:0:9:9:0:8:9:9:5:6:9:9:6:3:8:8:11:11:11:6:5:11
#2022-10-12 08:59:48
