#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 08:59:56,wvcp,GEOM110a,local_search,13,97,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,17,0,112,0:0:1:1:0:2:2:2:1:2:3:3:2:3:4:4:3:2:4:1:1:5:4:5:4:5:6:4:3:3:6:4:5:7:6:7:6:5:5:7:0:7:6:8:1:8:9:8:8:6:9:10:9:3:10:10:0:10:11:10:11:7:8:11:12:11:9:10:12:10:11:12:3:12:0:5:12:9:7:13:14:13:14:14:14:13:6:1:15:14:0:16:12:15:15:5:16:13:15:9:13:11:16:15:8:7:13:14:0:12
5,0,17,0,111,0:0:1:1:0:2:2:2:1:2:3:3:2:3:4:4:3:2:4:1:1:5:4:5:4:5:6:4:3:3:6:4:5:7:6:7:6:5:5:7:0:7:6:8:1:8:9:8:8:6:9:10:9:3:2:10:0:11:11:10:11:7:8:11:10:11:9:10:12:10:11:12:3:12:0:5:12:9:7:13:14:13:14:14:14:13:6:1:15:14:0:16:12:15:15:5:16:13:15:9:13:11:16:15:8:7:13:12:0:16
25,0,17,0,110,0:0:1:1:0:2:2:2:1:2:3:3:2:3:4:4:3:2:4:1:1:5:4:5:4:5:6:4:3:3:6:4:5:7:6:7:6:5:5:7:0:0:6:8:8:8:9:8:8:6:9:10:9:3:2:10:9:11:11:10:7:10:7:11:10:11:6:10:12:10:8:12:3:12:1:5:12:14:7:13:0:13:14:14:14:13:14:0:15:14:15:9:12:15:12:11:16:13:11:9:13:11:16:15:8:7:13:12:14:16
136,0,17,0,109,0:0:1:1:0:2:2:2:1:2:3:3:2:3:4:4:0:2:4:1:1:5:4:5:4:5:6:4:3:3:6:4:5:7:6:7:6:5:5:7:0:0:6:8:1:8:9:11:8:11:10:11:9:3:2:10:6:6:11:10:7:9:7:11:10:3:11:10:12:8:8:8:3:12:10:7:14:14:7:9:12:14:12:12:14:12:15:4:15:14:15:10:12:15:12:10:16:13:15:9:13:11:16:15:5:12:15:1:7:0
143,0,17,0,108,0:0:1:1:0:2:2:2:1:2:3:3:2:3:4:4:0:2:4:1:1:5:4:5:4:5:6:4:3:3:6:4:5:7:6:7:6:5:5:7:0:0:6:8:1:8:9:11:8:11:10:11:9:3:2:10:6:10:11:10:7:9:7:11:10:3:11:10:12:8:8:8:3:12:0:9:14:14:7:9:12:14:12:12:14:12:10:4:15:14:15:10:12:15:12:5:16:13:15:9:13:11:16:15:5:12:11:1:14:0
862,0,16,0,107,0:0:1:1:0:2:2:2:1:2:3:3:2:3:4:4:0:2:4:1:1:5:4:5:4:5:6:3:3:3:6:4:5:7:6:7:4:8:5:8:0:5:6:8:1:10:9:9:9:11:11:11:7:9:11:10:11:6:11:10:7:7:9:6:10:8:0:8:12:7:6:0:3:12:8:5:14:14:8:12:9:12:14:10:7:4:8:4:15:14:15:8:12:15:14:15:11:13:15:15:13:7:13:14:9:14:15:1:10:5
1136,0,16,0,106,0:0:1:1:0:2:0:2:1:2:3:3:2:3:4:4:0:2:4:1:1:5:4:5:4:5:8:3:3:3:6:4:5:7:6:7:4:5:5:6:0:2:6:8:7:9:9:11:9:11:8:11:10:6:11:10:10:8:11:10:7:8:7:7:8:3:6:8:10:7:0:9:6:12:1:5:10:2:8:12:3:14:9:9:14:4:2:4:14:12:12:8:11:7:9:5:14:13:15:15:13:15:13:12:13:9:11:10:1:12
1441,0,16,0,105,0:0:1:1:0:2:0:2:1:2:3:3:2:3:4:2:0:2:4:1:1:5:4:5:4:5:8:3:3:3:6:4:5:7:6:7:4:5:5:6:0:2:6:8:4:9:9:9:7:10:8:11:11:6:7:10:10:2:11:10:7:11:6:8:10:3:9:7:10:7:0:9:6:12:1:11:10:12:8:11:3:12:9:12:11:4:7:12:14:12:8:8:9:14:4:8:11:13:15:14:13:15:15:12:14:10:13:13:4:15
2756,0,15,0,104,0:0:1:1:0:2:0:2:1:2:3:3:2:3:4:2:0:2:4:1:1:5:4:5:4:5:8:3:3:3:7:4:5:8:6:7:4:0:5:6:0:2:6:8:1:9:9:9:7:11:10:11:9:6:7:10:4:7:11:9:7:7:6:8:11:11:9:10:12:8:5:9:6:12:10:5:12:12:8:6:3:12:10:6:11:12:11:1:14:10:14:10:12:7:10:14:11:14:15:15:14:15:15:10:9:12:14:3:4:15
56030,0,15,0,103,0:0:1:1:0:2:2:2:1:2:3:3:1:3:4:0:0:2:4:1:4:5:5:3:5:5:8:3:3:8:7:5:3:2:6:7:6:5:6:6:0:0:6:8:1:10:9:10:11:11:9:11:11:7:2:10:8:4:11:9:4:9:7:4:9:2:6:9:15:8:4:10:3:15:0:10:15:15:8:11:7:15:10:11:10:15:5:15:6:7:8:9:15:11:10:11:10:14:16:16:14:16:16:7:16:14:14:4:5:16
