#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 09:07:54,wvcp,GEOM120b,local_search,11,35,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,21,0,44,0:1:2:3:4:1:4:4:2:0:2:3:5:5:3:5:2:0:4:5:5:1:0:3:1:0:6:7:0:7:6:6:1:7:2:7:2:7:6:8:9:9:10:8:11:12:13:2:14:13:6:1:13:12:9:11:7:12:11:8:9:10:14:10:13:14:11:10:11:7:14:10:15:14:3:16:15:16:17:16:17:17:18:19:19:20:9:15:13:8:12:20:18:19:19:20:19:8:11:15:16:6:16:14:1:5:16:20:16:14
101,0,20,0,43,0:1:2:3:4:1:4:4:2:0:2:3:5:5:3:5:2:0:4:6:5:1:6:7:1:0:6:7:0:7:6:3:1:7:2:4:2:7:6:8:9:9:10:8:11:12:13:2:14:7:6:1:13:12:5:11:10:13:14:12:12:9:10:0:14:10:5:13:8:8:9:11:15:14:19:19:17:18:17:20:18:19:18:20:20:17:9:11:13:8:15:0:19:8:13:14:19:1:12:18:18:9:20:15:14:5:17:15:8:10
190,0,19,0,42,0:1:2:3:4:5:4:4:2:0:2:3:5:5:3:5:2:0:4:6:5:1:6:7:1:0:6:7:0:4:6:3:1:7:4:6:3:7:6:8:9:9:10:8:11:12:13:13:14:7:8:13:2:12:1:11:8:10:13:12:9:2:14:7:11:10:8:13:9:9:12:11:15:14:19:19:15:18:17:18:18:10:18:17:6:17:9:15:13:10:15:0:1:19:10:19:14:13:12:3:18:11:18:14:17:11:18:0:17:4
1327,0,19,0,41,0:1:2:3:4:5:4:4:2:6:5:2:5:2:3:3:2:0:4:6:5:1:6:3:6:7:6:7:7:4:0:1:1:5:4:0:6:7:8:1:9:11:10:5:11:12:9:10:14:11:10:9:12:4:7:11:7:8:12:14:7:3:14:0:10:9:8:12:8:7:3:14:15:14:19:8:17:19:0:10:12:15:18:0:17:6:18:19:13:9:19:12:1:17:8:18:8:9:3:14:6:15:15:19:17:11:13:18:10:1
3577,0,19,0,40,0:1:6:3:4:3:4:0:2:6:4:5:2:5:7:7:7:6:3:2:0:1:7:3:6:7:5:0:2:4:1:4:4:6:2:1:5:7:2:1:9:9:10:8:11:12:8:10:5:6:8:10:11:9:11:9:8:11:5:8:12:7:1:0:3:11:11:12:11:3:9:9:15:17:13:14:18:13:3:18:12:17:13:0:18:19:19:17:14:17:10:12:1:14:0:14:18:8:9:17:19:1:19:13:19:15:14:14:10:15
5892,0,18,0,39,0:1:6:3:4:3:4:0:5:4:3:6:2:2:7:3:7:6:0:2:0:1:5:6:5:7:3:0:2:4:4:1:5:7:4:2:1:7:2:1:9:2:10:8:11:12:9:12:5:4:8:10:11:0:12:1:8:6:10:12:9:10:4:6:8:9:10:11:11:9:3:8:14:17:8:19:14:19:11:18:17:10:17:13:18:13:9:11:19:14:11:7:5:13:6:18:18:13:19:14:5:12:19:3:11:19:1:7:18:0
19509,0,18,0,38,0:1:6:3:4:5:4:1:3:4:6:5:2:3:2:3:6:6:4:4:6:1:2:2:5:0:5:0:1:4:6:0:2:0:4:1:5:7:2:8:9:7:10:0:11:12:1:10:5:9:10:10:11:12:7:9:8:4:11:9:9:2:9:0:10:12:11:8:11:5:3:7:19:0:14:14:18:17:5:11:17:13:17:8:18:13:18:19:19:14:12:17:14:12:6:12:13:1:13:19:17:7:17:5:10:7:8:3:13:12
39779,0,18,0,37,0:1:6:3:4:5:4:4:3:6:3:5:2:2:2:3:6:6:4:3:6:1:1:2:3:0:5:0:1:4:6:1:2:0:4:1:3:7:2:1:9:11:10:0:11:12:9:12:5:11:7:9:10:12:4:11:12:6:5:9:9:7:10:0:10:12:12:7:5:3:10:11:14:0:13:19:19:17:18:10:18:14:17:13:8:13:19:14:18:14:12:8:1:7:19:8:17:9:17:5:17:14:19:11:0:18:18:17:11:18
50634,0,17,0,36,0:1:6:3:4:5:4:4:3:6:3:5:2:2:2:3:6:6:4:3:6:1:1:2:1:0:5:0:1:4:6:1:2:0:3:4:5:7:2:1:9:11:10:0:11:12:9:12:5:9:10:10:11:12:2:9:12:0:5:9:7:10:4:12:10:12:12:7:11:12:0:10:19:11:7:13:14:8:13:14:17:10:17:13:14:8:17:19:19:13:12:5:1:7:6:19:14:19:8:6:5:17:13:7:4:8:9:8:13:13
3246138,53,16,0,35,0:1:6:3:4:5:4:4:3:5:3:6:2:6:1:3:6:6:4:3:6:5:1:0:3:1:2:0:2:4:1:1:0:5:2:4:3:7:2:1:9:11:10:0:11:12:2:12:5:12:10:10:11:0:4:1:0:2:12:10:1:9:12:12:12:9:9:7:6:0:11:9:17:11:7:9:15:14:19:5:14:10:14:19:15:19:9:7:17:9:7:14:15:7:15:17:15:10:17:11:5:9:19:14:19:11:14:17:10:4
3246138,53,16,0,35,0:1:6:3:4:5:4:4:3:5:3:6:2:6:1:3:6:6:4:3:6:5:1:0:3:1:2:0:2:4:1:1:0:5:2:4:3:7:2:1:9:11:10:0:11:12:2:12:5:12:10:10:11:0:4:1:0:2:12:10:1:9:12:12:12:9:9:7:6:0:11:9:17:11:7:9:15:14:19:5:14:10:14:19:15:19:9:7:17:9:7:14:15:7:15:17:15:10:17:11:5:9:19:14:19:11:14:17:10:4
#2022-10-12 09:08:47
