#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 07:59:10,wvcp,R100_5gb,local_search,9,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,22,0,274,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:8:8:7:6:9:10:9:6:10:7:6:11:11:5:2:10:6:11:12:10:1:11:11:5:12:9:9:8:13:14:15:15:10:13:13:14:15:14:12:9:16:1:16:17:17:18:4:16:19:17:9:2:5:15:16:18:19:13:20:7:19:12:20:0:18:21:16:21:3:21:6:17:20
3,0,22,0,273,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:8:8:7:6:9:10:9:4:10:7:6:6:11:5:2:10:6:11:12:10:1:11:11:5:12:9:9:8:13:14:15:15:10:13:13:14:15:14:12:9:16:1:16:17:17:18:4:16:19:17:9:2:5:15:16:15:19:13:20:7:19:12:20:0:18:21:16:21:3:21:6:17:20
5,0,22,0,272,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:8:8:7:6:9:10:9:4:10:7:6:6:11:5:2:10:6:11:12:10:1:11:11:5:0:9:9:8:13:14:15:15:10:13:13:14:15:14:12:9:16:1:16:17:17:18:4:16:12:17:9:2:5:15:16:15:19:13:20:7:19:12:20:0:18:21:16:21:3:21:6:17:20
6,0,22,0,271,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:8:8:7:6:9:10:9:4:10:7:6:6:11:5:2:10:6:11:14:10:1:11:11:5:0:9:9:8:13:14:15:15:10:13:13:14:15:14:12:9:16:1:16:17:17:18:4:16:12:17:9:2:5:15:16:15:19:13:20:7:19:12:20:0:18:21:16:21:3:21:6:17:20
12,0,22,0,270,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:8:8:7:6:9:10:9:4:8:7:6:6:11:5:2:4:6:11:14:10:1:11:11:5:0:9:9:8:13:14:15:15:10:13:13:14:15:8:12:9:16:1:16:17:17:18:4:16:12:17:18:2:5:15:16:15:14:13:20:7:19:12:12:0:18:21:16:21:3:21:6:17:20
13,0,21,0,267,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:8:8:7:6:9:10:9:4:8:7:6:6:11:5:2:4:6:11:14:10:1:11:11:5:0:9:9:8:13:14:15:15:10:13:13:14:15:8:12:9:16:1:16:17:17:18:4:16:12:17:18:2:5:15:16:15:14:13:20:7:10:12:12:0:18:21:16:21:3:21:6:17:20
16,0,21,0,266,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:8:8:7:6:9:10:9:4:8:7:6:6:11:5:2:4:6:11:14:10:1:11:11:5:0:14:9:8:9:14:15:15:10:13:13:13:15:8:12:9:16:1:16:17:17:18:4:16:12:17:18:2:5:15:16:15:14:13:20:7:10:12:12:0:18:21:16:21:3:21:6:17:20
30,0,21,0,265,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:8:8:7:6:9:10:9:0:8:7:6:6:11:5:2:4:0:11:14:10:1:11:11:5:0:14:9:8:9:14:15:9:10:13:13:13:15:8:18:10:16:1:9:17:17:18:4:16:12:17:18:14:5:20:16:15:14:13:20:15:10:12:12:0:13:21:16:2:3:15:6:21:10
60,0,21,0,263,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:8:8:7:6:9:10:9:4:10:7:6:6:11:5:2:8:7:11:14:10:1:11:14:5:0:14:9:8:9:14:15:5:9:13:13:13:15:14:18:10:20:1:9:17:10:18:4:13:12:17:12:2:5:15:5:14:11:10:20:4:18:12:12:0:13:21:16:16:3:15:10:21:16
72,0,21,0,261,0:1:1:0:1:2:0:3:2:3:4:4:3:5:5:2:3:6:1:4:5:7:7:6:3:8:1:3:8:7:6:9:10:9:4:10:7:6:6:11:5:8:8:6:11:14:10:1:11:14:5:0:14:9:11:9:14:15:15:9:13:13:13:15:14:2:9:20:20:9:17:10:18:4:13:12:17:12:2:5:4:5:18:11:10:20:4:18:12:12:0:13:21:16:16:17:15:10:17:16
