#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 07:54:38,wvcp,R75_9g,local_search,9,110,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,38,0,117,0:1:2:3:4:5:4:2:6:7:1:8:7:9:10:8:10:11:12:9:3:13:5:11:14:15:12:15:13:16:17:18:18:19:20:17:21:16:6:21:14:20:8:22:23:24:22:5:25:26:27:28:29:30:31:20:23:26:32:27:31:33:19:25:33:34:29:34:35:36:24:37:30:21:37
9,0,37,0,116,0:1:2:3:4:5:4:2:6:7:1:8:7:9:10:8:10:11:12:9:3:13:5:11:14:15:12:15:13:16:17:18:0:36:20:17:21:16:6:21:14:20:8:22:23:24:22:5:25:26:27:28:29:30:19:20:23:26:32:18:27:33:19:25:33:34:34:28:35:36:24:37:30:21:37
19,0,37,0,115,0:1:2:3:4:5:4:2:6:7:1:8:7:9:10:8:10:11:12:9:3:13:5:11:14:15:12:15:13:16:17:18:0:36:20:17:22:16:6:0:14:20:8:22:23:24:24:5:25:26:27:28:29:30:19:29:23:26:32:18:27:33:19:25:33:34:34:28:35:36:37:37:30:21:36
264,0,36,0,114,0:1:2:3:4:19:4:2:13:7:1:8:7:11:10:8:10:35:36:11:3:18:19:35:14:15:36:15:18:16:17:23:0:21:24:17:22:16:5:0:14:5:8:22:31:20:21:32:37:9:32:13:5:25:34:24:31:25:24:23:26:38:34:37:27:29:6:9:6:21:19:26:29:39:38
882,0,36,0,113,0:1:2:3:4:5:4:2:38:7:13:27:7:13:35:1:9:21:19:27:3:35:5:9:14:37:19:37:18:21:17:20:0:36:33:17:8:38:16:0:14:33:21:8:23:32:32:5:29:39:35:13:31:16:15:33:23:25:12:10:15:6:34:29:6:25:26:39:26:30:7:36:31:18:30
883,0,35,0,112,0:1:2:3:4:5:4:2:38:7:13:27:7:13:35:1:9:21:19:27:3:35:5:9:14:37:19:37:18:21:17:20:0:36:33:17:8:38:16:0:14:33:21:8:23:32:32:5:29:39:35:13:31:16:15:33:23:25:12:20:15:6:34:29:6:25:26:39:26:30:7:36:31:18:30
888,0,34,0,111,0:1:2:3:4:5:4:2:38:7:13:27:7:13:35:1:9:21:19:27:3:35:5:9:14:37:19:37:18:21:17:20:0:30:33:17:8:38:16:0:14:33:21:8:23:32:32:5:29:39:35:13:10:16:34:33:23:25:12:20:15:6:34:29:6:25:26:39:26:30:7:15:10:18:30
1037,0,33,0,110,0:1:2:3:4:5:4:2:11:7:13:39:7:13:10:1:9:21:25:38:3:10:5:9:14:26:25:26:37:21:17:22:0:38:18:17:39:11:33:0:14:33:21:12:20:32:32:5:28:15:10:13:33:23:30:18:20:15:18:22:31:35:30:28:35:19:8:19:8:38:7:31:23:37:12
1037,0,33,0,110,0:1:2:3:4:5:4:2:11:7:13:39:7:13:10:1:9:21:25:38:3:10:5:9:14:26:25:26:37:21:17:22:0:38:18:17:39:11:33:0:14:33:21:12:20:32:32:5:28:15:10:13:33:23:30:18:20:15:18:22:31:35:30:28:35:19:8:19:8:38:7:31:23:37:12
#2022-10-12 07:54:38
