#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 09:26:42,wvcp,inithx.i.2,local_search,18,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,33,0,353,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:0:3:3:4:3:4:3:2:0:0:3:0:0:3:5:5:4:3:6:4:6:6:6:4:4:6:6:6:6:0:3:6:2:0:7:7:0:8:6:8:6:2:8:2:8:2:8:2:2:6:6:0:7:6:8:9:10:8:10:4:6:2:0:6:7:6:4:0:4:3:7:4:9:7:8:6:3:11:12:13:14:12:11:13:14:3:3:14:3:14:4:6:8:15:15:16:8:15:6:3:9:6:14:8:17:17:8:16:10:7:6:16:16:6:6:3:18:18:16:19:7:19:8:3:19:19:7:6:8:20:21:22:21:23:23:14:8:2:8:24:24:19:23:22:19:19:24:25:19:20:16:23:26:27:25:16:19:6:23:4:27:4:28:27:23:7:23:0:8:0:19:6:29:30:31:30:4:30:19:26:31:29:32:20:9:14:32:27:28:27:8
83,0,33,0,352,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:0:4:3:4:3:4:3:2:0:2:3:0:2:0:5:5:4:3:6:4:6:6:3:4:6:6:3:6:6:0:6:6:2:0:7:7:4:8:6:8:6:3:8:6:8:8:8:2:2:0:6:0:7:8:7:9:10:8:9:2:6:3:7:3:6:3:4:2:4:3:7:4:8:4:6:10:7:11:12:13:14:12:11:13:14:3:3:7:3:14:14:6:2:15:15:16:8:15:6:3:9:6:6:3:17:17:8:16:10:7:6:6:0:0:6:15:18:18:16:19:7:19:8:8:19:0:7:0:8:30:21:22:21:23:23:16:8:3:19:24:24:19:8:22:16:19:15:25:19:22:19:8:26:27:25:16:19:14:8:27:14:19:28:27:23:7:23:27:19:8:16:8:29:30:31:6:7:23:4:26:31:29:32:20:0:14:32:4:28:27:23
91,0,32,0,350,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:0:4:3:4:3:4:3:2:0:2:3:0:2:0:5:5:4:3:6:4:6:6:3:4:6:6:3:6:6:0:6:6:2:0:7:7:4:8:6:8:6:3:8:6:8:8:8:2:2:0:6:0:7:8:7:9:10:8:9:2:6:3:7:0:6:3:4:2:4:3:7:4:8:4:6:9:3:11:12:13:14:12:11:13:14:3:3:7:3:14:14:6:8:15:15:16:8:15:6:3:9:0:6:3:17:17:8:16:10:7:6:6:0:0:6:15:18:18:16:19:7:19:8:8:19:0:7:0:8:30:21:22:21:23:23:16:8:3:19:24:24:19:8:22:16:19:2:25:19:22:19:8:26:27:25:16:19:14:8:27:14:19:28:27:23:7:23:27:19:8:16:8:29:30:31:6:7:23:4:26:31:29:32:10:0:14:14:4:28:27:23
152,0,32,0,349,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:3:4:3:4:3:4:3:2:0:2:3:0:2:0:5:5:4:3:6:4:6:6:3:6:3:6:4:6:0:2:6:6:2:2:7:7:4:8:6:0:6:3:8:8:8:8:8:2:2:0:6:0:8:7:6:9:10:8:9:2:6:3:3:0:3:3:4:3:4:3:7:4:9:0:6:6:8:11:12:13:14:12:11:13:14:3:3:7:6:14:14:8:8:15:15:16:8:15:6:16:9:0:6:4:17:17:8:16:10:16:6:3:7:6:8:15:18:18:16:19:7:19:8:8:0:0:0:0:2:30:21:22:21:23:22:16:8:3:19:24:24:19:8:6:14:8:14:25:19:22:19:8:26:27:25:16:19:14:6:27:27:3:28:27:23:7:23:23:27:6:4:3:29:30:23:6:14:19:23:26:31:29:32:10:0:32:14:23:28:32:27
153,0,32,0,348,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:3:4:3:4:3:4:3:2:0:2:3:0:2:0:5:5:4:3:6:4:6:6:3:6:3:6:4:6:0:2:6:6:2:2:7:7:4:8:6:0:6:3:8:8:8:8:8:2:2:0:6:0:8:7:6:9:10:8:9:2:6:3:3:0:3:3:4:3:4:3:7:4:9:0:6:6:8:11:12:13:14:12:11:13:14:3:3:7:6:14:14:8:8:15:15:16:8:15:6:16:9:0:6:4:17:17:8:16:10:16:6:3:7:6:8:15:18:18:16:19:7:19:8:8:0:0:0:0:2:30:21:22:21:23:22:16:8:3:19:24:24:19:8:6:14:8:14:25:19:22:19:8:26:27:25:16:19:14:6:27:27:3:31:27:23:7:23:23:27:6:4:3:29:30:23:6:14:19:23:26:31:29:32:10:0:32:14:23:28:32:27
1603,0,32,0,347,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:4:0:3:4:4:0:0:2:0:2:3:0:0:3:5:5:4:3:6:4:3:6:3:6:0:2:3:3:0:6:3:2:6:6:7:7:0:8:4:0:6:4:0:0:0:0:8:2:2:3:7:8:7:8:6:9:10:6:8:2:3:8:7:3:7:7:2:8:4:6:3:7:8:7:0:2:8:11:12:13:14:12:11:13:14:8:8:3:3:3:7:14:3:15:15:16:8:15:3:8:9:0:6:3:17:17:8:16:10:8:3:3:7:0:8:3:18:18:16:19:19:16:3:7:6:0:8:14:0:30:21:22:21:19:9:16:16:16:14:24:24:23:4:6:23:23:19:25:4:22:23:14:26:27:25:27:6:7:19:16:7:4:31:27:23:19:23:27:6:3:14:6:29:30:23:27:19:19:8:26:31:29:32:10:22:14:6:19:28:19:14
1770,0,32,0,344,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:4:0:3:4:4:0:0:2:0:2:0:3:0:0:5:5:4:3:6:6:3:6:3:6:6:2:6:0:0:0:0:2:0:0:7:7:0:8:4:0:6:4:2:0:6:8:8:2:8:3:7:0:8:7:6:9:10:6:8:7:3:8:7:7:0:3:6:8:4:3:3:0:9:7:8:2:6:11:12:13:14:12:11:13:14:8:14:3:3:7:14:14:3:15:15:16:8:15:3:8:9:0:16:3:17:17:8:6:10:8:3:3:16:3:8:2:18:18:16:19:19:19:3:14:19:0:19:14:0:30:21:22:21:19:9:4:16:19:19:24:24:16:4:6:6:8:15:25:4:22:16:14:26:27:25:27:6:27:19:27:7:6:31:27:16:19:23:23:8:23:8:8:29:30:23:8:19:4:7:26:31:29:32:10:22:14:32:6:28:32:32
3525,0,32,0,342,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:3:0:3:4:4:3:3:2:0:2:0:3:0:3:5:5:4:3:6:4:0:6:3:3:4:0:3:0:2:6:3:2:2:6:7:7:0:8:8:0:7:2:2:2:0:8:8:2:8:0:7:2:7:8:8:9:10:8:8:2:3:7:3:3:4:3:8:2:4:3:6:0:6:6:0:9:4:11:12:13:14:12:11:13:14:8:14:14:0:7:14:6:3:15:15:6:3:15:4:6:9:8:7:4:17:17:8:14:10:6:8:8:8:6:15:4:18:18:16:19:6:7:3:6:19:0:19:19:6:30:21:22:21:19:9:16:16:4:16:24:24:4:8:6:6:19:6:25:16:22:3:14:26:27:25:19:27:3:7:19:14:3:31:23:23:4:23:27:7:0:7:7:29:30:23:16:4:3:23:26:31:29:32:10:22:27:27:19:28:16:27
3625,0,32,0,341,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:3:0:3:4:4:3:3:2:0:0:0:3:0:0:5:5:4:3:6:4:0:6:3:6:4:2:3:4:0:6:4:6:0:0:7:7:4:8:8:8:7:6:0:2:0:2:8:2:2:3:7:8:3:6:8:9:10:8:8:2:8:6:6:0:3:3:8:3:4:3:6:0:9:6:6:8:3:11:12:13:14:12:11:13:14:8:14:14:0:7:14:4:0:15:15:6:3:15:4:3:9:8:6:6:17:17:8:14:10:6:8:8:8:3:4:2:18:18:16:19:8:19:3:4:16:16:16:19:6:30:21:22:21:19:9:16:6:6:14:24:24:4:16:6:6:19:15:25:16:22:16:7:26:27:25:19:16:3:7:7:27:19:31:27:7:27:0:14:19:0:7:16:29:30:23:23:6:16:8:26:31:29:32:10:22:19:23:19:28:27:8
3774,0,31,0,340,0:0:0:0:0:0:0:0:0:0:0:0:0:0:1:2:1:2:0:3:0:3:4:4:3:3:2:0:2:0:3:2:2:5:5:4:3:6:4:0:6:0:4:4:0:3:3:0:2:4:2:2:0:7:7:3:8:8:3:4:3:8:2:6:6:8:2:2:0:8:0:4:3:4:9:10:8:8:2:6:6:7:7:3:6:4:0:4:3:6:0:6:6:9:8:7:11:12:13:14:12:11:13:14:8:14:3:0:6:14:14:4:15:15:6:3:15:4:3:9:8:0:4:17:17:8:14:10:6:8:6:8:3:6:14:18:18:16:19:19:19:7:14:16:0:16:7:6:30:21:22:21:19:9:16:16:6:16:24:24:16:8:6:6:3:24:25:16:22:16:7:26:27:25:19:16:27:7:14:6:3:31:27:16:27:0:27:19:0:4:19:29:30:23:27:14:3:8:26:31:29:32:10:22:6:19:27:23:27:32
