#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 06:41:12,wvcp,le450_25a,local_search,13,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,31,0,356,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:3:6:4:5:1:3:3:6:2:5:6:2:3:4:3:5:2:6:2:6:0:3:3:0:6:4:1:6:1:7:7:6:4:6:1:7:4:1:5:2:0:5:7:4:7:0:0:5:3:5:2:5:2:3:7:4:7:8:8:6:9:10:9:8:3:10:10:9:10:8:9:2:7:7:3:0:11:12:10:8:11:7:8:0:11:10:9:9:11:13:5:10:1:6:9:13:13:7:13:12:4:11:10:1:8:4:0:2:12:6:7:12:10:3:9:9:8:10:13:13:11:4:12:12:7:12:0:2:13:0:4:3:1:9:14:13:15:2:4:5:14:15:12:11:15:2:12:12:4:14:12:11:2:6:15:16:15:16:12:16:16:12:2:9:16:9:14:3:0:10:0:17:17:14:16:13:14:15:16:17:2:18:9:14:18:13:18:16:13:15:6:18:16:15:14:19:18:17:14:17:8:15:17:19:19:4:4:2:1:18:20:19:18:19:0:20:10:20:20:18:19:13:7:10:15:21:22:23:21:22:21:8:10:23:23:20:24:25:17:25:8:22:22:23:17:25:12:21:3:16:18:18:19:19:24:20:23:21:24:10:15:0:23:15:10:18:25:24:22:24:12:21:19:24:20:20:7:16:22:9:7:24:2:25:21:19:9:20:26:27:19:8:23:27:20:26:26:25:22:16:9:9:12:26:27:26:22:26:13:25:27:21:27:27:23:12:28:29:23:29:30:30:30:28:30:28:27:0:1:28
232,0,31,0,354,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:3:6:4:5:1:3:3:6:2:1:6:2:4:0:3:5:2:6:2:6:0:3:2:0:6:4:6:2:1:7:7:6:4:6:1:7:4:1:5:6:0:5:7:4:7:5:0:5:5:5:0:4:2:0:1:4:7:8:8:6:9:10:9:8:9:10:0:9:10:4:9:2:7:2:3:1:11:12:10:8:8:7:8:0:11:10:11:1:11:13:5:10:1:6:9:13:13:11:13:3:13:13:9:1:8:12:1:2:9:6:12:12:10:3:9:0:5:10:13:13:11:4:7:11:7:10:9:2:13:8:7:10:8:9:14:13:15:2:4:5:14:15:11:15:12:14:12:3:4:15:6:8:3:5:15:16:15:8:13:16:6:12:2:9:16:10:15:2:0:9:16:17:17:14:16:13:14:15:16:17:2:18:9:12:18:13:18:10:13:15:14:0:4:7:14:19:18:17:4:17:8:15:18:19:19:4:8:2:14:18:20:19:19:19:19:20:10:20:20:18:19:13:17:0:20:21:22:4:21:22:21:1:10:14:12:13:24:25:17:25:8:22:22:20:17:12:25:21:3:16:20:23:17:19:21:22:13:23:16:3:4:22:0:24:20:12:25:24:11:25:25:15:20:24:24:9:7:16:22:23:16:23:2:25:23:19:23:17:26:27:19:24:9:27:21:26:26:14:21:3:10:18:27:26:27:26:22:21:13:25:25:19:18:27:22:24:28:29:28:29:30:30:23:27:29:23:30:23:30:16
456,0,31,0,353,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:3:6:4:5:1:3:3:6:2:1:4:1:4:0:3:5:2:6:2:6:0:3:3:0:6:2:0:2:6:7:7:6:4:6:1:7:4:1:5:6:0:5:5:4:7:5:0:5:5:5:6:4:0:1:1:4:7:8:8:6:9:10:9:10:9:10:0:9:10:6:9:2:7:6:3:1:11:12:10:8:11:7:10:0:7:8:6:6:11:13:5:10:1:6:9:13:13:11:13:2:13:13:11:7:8:10:2:6:6:8:1:12:10:3:9:0:5:10:13:13:11:4:9:13:7:7:9:11:13:8:7:0:4:9:14:5:15:2:4:5:14:15:2:12:12:13:12:3:8:14:11:8:3:1:15:16:15:8:11:16:14:12:7:9:16:10:13:3:0:15:0:17:17:14:16:13:14:15:16:17:2:18:9:12:18:13:13:14:14:15:13:18:9:9:14:19:18:17:4:17:8:12:17:19:19:15:8:6:14:18:20:19:19:19:19:20:9:20:20:18:19:14:20:16:12:21:22:4:0:22:21:1:20:18:21:14:24:25:17:25:8:22:22:24:25:15:18:21:3:16:20:13:18:16:25:22:9:0:17:7:17:0:18:18:12:18:21:24:11:21:25:15:23:22:24:9:7:23:22:25:16:20:7:18:23:19:12:23:26:27:19:24:9:27:2:26:26:10:19:11:10:21:18:26:27:26:25:26:13:21:25:27:22:12:27:24:28:29:30:29:30:29:20:28:28:20:24:24:27:3
495,0,30,0,352,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:3:6:4:5:1:3:3:6:2:1:4:1:4:6:3:5:2:6:2:6:0:3:3:4:6:1:0:2:6:7:7:6:4:6:1:7:4:1:5:6:0:5:5:4:7:5:0:5:5:5:6:4:0:1:1:4:7:8:8:6:9:10:9:10:9:10:0:9:10:6:9:2:7:6:3:1:11:12:10:8:11:7:10:0:7:8:6:6:11:13:5:10:1:6:9:13:13:11:13:2:13:13:11:7:8:10:2:4:6:8:1:12:10:3:9:0:5:10:13:13:10:4:12:13:7:7:9:13:13:8:7:0:4:9:14:5:15:2:3:5:14:15:2:6:12:13:8:3:11:14:10:15:1:1:15:16:15:8:11:16:14:12:7:9:16:10:10:3:0:14:0:17:17:14:16:13:14:15:16:17:2:18:9:12:18:13:13:14:14:15:13:18:18:8:14:19:18:17:4:17:8:12:17:19:19:15:8:6:14:18:20:19:19:19:19:20:9:20:20:18:19:14:20:16:4:21:22:4:0:22:21:1:20:18:21:14:24:25:17:25:8:22:22:24:25:15:18:21:3:16:20:13:18:16:25:22:9:0:17:7:24:0:21:18:22:15:21:24:11:16:25:15:23:22:24:9:7:23:22:25:16:20:7:18:23:2:20:23:26:27:19:21:9:27:20:26:26:10:19:11:6:27:18:26:27:14:25:23:13:21:25:22:22:12:4:24:28:29:26:29:23:29:19:28:26:20:24:28:27:3
1788,0,30,0,351,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:0:6:4:5:1:3:3:6:2:5:4:1:4:6:3:5:2:6:2:6:2:3:3:4:6:4:2:6:0:7:7:6:4:6:1:7:4:0:5:6:0:5:6:7:4:5:0:3:3:5:7:2:1:1:5:4:7:8:8:6:9:10:9:9:9:10:0:1:10:4:9:10:10:2:3:4:11:12:10:8:8:12:12:0:10:2:9:7:11:13:5:10:1:6:9:13:13:11:13:7:13:11:2:11:8:6:2:3:13:11:1:12:10:3:9:0:5:0:13:13:12:10:12:9:12:0:10:1:2:1:10:4:0:9:14:5:15:2:12:5:14:12:11:6:9:3:9:3:7:15:8:8:1:14:15:16:2:9:7:16:7:8:7:15:14:15:13:4:1:16:12:17:17:14:16:13:14:15:16:17:2:18:9:12:14:13:14:5:14:9:15:12:14:7:14:19:18:17:4:17:8:13:17:4:3:11:8:18:9:18:20:19:19:18:17:20:18:11:20:15:12:15:20:11:19:21:22:4:20:22:19:20:10:20:9:18:24:25:17:25:21:15:12:8:24:15:6:21:3:16:22:18:21:22:21:22:20:20:24:5:19:15:13:1:22:12:25:24:11:16:24:15:13:19:23:24:2:14:19:19:16:22:16:19:7:23:25:25:23:27:10:25:10:23:22:27:27:2:27:14:21:18:7:26:20:19:25:23:8:27:26:14:27:21:15:21:28:29:29:28:27:23:23:27:20:24:26:25:12:29
1953,0,30,0,350,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:0:6:4:5:1:3:3:6:2:5:6:0:6:6:3:5:2:6:2:6:2:3:3:1:6:4:5:6:0:7:7:6:4:6:1:7:4:0:5:6:0:5:6:7:4:5:0:3:3:5:1:2:0:0:5:0:7:8:8:6:9:10:9:9:9:10:0:1:10:4:9:10:3:1:3:4:11:12:10:8:10:12:12:0:8:11:11:2:11:13:5:10:1:6:9:13:3:11:13:7:13:11:9:3:8:7:2:4:11:12:11:12:12:3:9:0:5:0:13:13:12:10:12:13:12:4:10:1:2:1:1:6:10:9:14:5:15:2:12:5:14:12:11:15:3:3:11:3:9:15:7:15:0:7:15:16:2:8:7:16:7:8:7:13:14:16:13:9:16:12:8:17:17:14:16:13:14:15:16:17:2:18:9:12:14:13:14:5:14:9:13:12:14:16:14:19:18:17:4:17:8:13:17:4:3:11:8:18:9:18:20:19:19:18:17:20:18:11:20:15:12:15:20:17:1:21:22:4:20:22:19:20:10:20:9:18:24:25:17:25:21:24:12:8:16:15:18:21:21:16:22:18:21:22:18:22:7:6:17:5:10:21:4:15:22:19:25:24:11:21:24:15:22:19:23:24:2:19:19:9:23:21:10:19:23:18:4:25:23:27:19:16:19:23:20:25:27:2:27:14:14:18:17:27:20:24:25:23:13:18:8:6:18:21:24:20:28:29:29:29:27:23:21:29:27:26:29:28:9:3
1954,0,29,0,349,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:0:6:4:5:1:3:3:6:2:5:6:0:6:6:3:5:2:6:2:6:2:3:3:1:6:4:5:6:0:7:7:6:4:6:1:7:4:0:5:6:0:5:6:7:4:5:0:3:3:5:1:2:0:0:5:0:7:8:8:6:9:10:9:9:9:10:0:1:10:4:9:10:3:1:3:4:11:12:10:8:10:12:12:0:8:11:11:2:11:13:5:10:1:6:9:13:3:11:13:7:13:11:9:3:8:7:2:4:11:12:11:12:12:3:9:0:5:0:13:13:12:10:12:13:12:4:10:1:2:1:1:6:10:9:14:5:15:2:12:5:14:12:11:15:3:3:11:3:9:15:7:15:0:7:15:16:2:8:7:16:7:8:7:13:14:16:13:9:16:12:8:17:17:14:16:13:14:15:16:17:2:18:9:12:14:13:14:5:14:9:13:12:14:16:14:19:18:17:4:17:8:13:17:4:3:11:8:18:9:18:20:19:19:18:17:20:18:11:20:15:12:15:20:17:1:21:22:4:20:22:19:20:10:20:9:18:24:25:17:25:21:24:12:8:16:15:18:21:21:16:22:18:21:22:18:22:7:6:17:5:10:21:4:15:22:19:25:24:11:21:24:15:22:19:23:24:2:19:19:9:23:21:10:19:23:18:4:25:23:27:19:16:19:23:20:25:27:2:27:14:14:18:17:27:20:24:25:23:13:18:8:6:18:21:24:20:28:29:29:29:27:23:21:29:27:28:29:28:9:3
2227,0,29,0,348,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:0:6:4:5:1:3:4:6:2:1:6:6:6:5:3:5:2:6:2:6:2:3:3:1:0:5:3:4:1:7:7:6:4:6:1:7:4:0:5:6:0:5:5:7:4:5:0:5:1:5:7:7:0:1:5:2:7:8:8:6:9:10:9:9:9:10:0:1:10:4:9:10:9:2:3:2:11:12:10:8:8:12:12:0:11:2:9:6:11:13:5:10:1:6:9:13:3:11:13:7:13:12:2:3:8:7:1:12:13:6:5:12:12:3:9:0:10:0:13:13:11:3:9:13:8:10:10:12:8:6:12:2:3:9:14:5:15:2:12:15:14:12:14:15:15:14:11:15:4:14:3:15:1:3:15:16:2:8:13:16:7:9:7:13:9:15:3:6:13:14:13:17:17:14:16:13:14:15:16:3:2:3:8:12:16:13:11:16:17:9:10:16:14:4:14:19:18:17:4:17:19:15:17:4:16:11:8:18:19:18:20:19:18:18:17:20:8:11:20:15:12:14:17:20:1:21:22:4:20:22:19:20:22:20:19:19:24:25:17:25:21:22:12:8:16:15:13:21:21:16:22:7:18:16:8:22:22:16:25:10:10:15:8:15:10:18:25:24:11:21:25:14:22:22:23:4:2:15:19:25:23:20:10:5:22:18:10:24:23:27:19:24:19:23:18:27:10:23:27:16:14:18:20:27:20:24:25:23:13:23:19:6:27:14:10:9:28:29:29:21:27:23:21:29:10:13:6:22:10:25
2315,0,29,0,347,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:0:6:4:5:1:3:4:6:2:1:6:6:5:0:3:5:2:6:2:6:2:5:3:1:6:2:4:4:4:7:7:6:4:6:1:7:4:0:5:6:0:5:5:7:4:5:0:5:1:5:7:7:4:6:5:3:7:8:8:6:9:10:9:10:9:10:0:9:10:4:9:10:9:2:3:4:11:12:10:8:8:12:12:0:11:2:9:7:11:13:5:10:1:6:9:13:3:11:13:7:13:12:2:3:8:0:1:12:13:11:5:12:12:3:9:0:10:0:13:8:9:3:9:10:8:10:12:9:8:6:1:4:3:9:14:5:15:2:12:15:14:12:14:15:10:10:11:15:4:14:12:12:1:8:15:16:2:8:13:16:6:9:7:13:0:15:3:12:2:13:14:17:17:14:16:13:14:15:16:3:2:3:8:12:7:13:11:5:17:9:10:15:14:17:14:19:18:17:4:17:19:15:17:4:16:11:8:18:8:18:20:19:18:18:17:20:8:11:20:15:12:11:17:20:9:21:22:4:20:22:19:20:22:20:20:0:24:25:17:25:21:22:12:8:16:15:25:21:21:16:22:13:21:16:25:22:11:8:25:10:10:2:1:9:7:18:25:24:11:21:25:14:22:24:21:4:2:22:19:25:14:20:10:5:22:18:17:24:23:27:19:24:19:23:18:25:10:23:27:24:14:25:20:27:20:24:25:16:13:23:19:6:17:27:21:19:28:29:29:28:27:23:21:29:27:20:3:28:27:25
2431,0,29,0,346,0:0:1:2:3:3:1:1:2:1:4:0:4:5:5:5:0:6:4:5:1:3:4:6:2:1:6:0:5:0:3:5:2:6:2:6:2:5:2:1:6:2:4:2:2:7:7:6:4:6:1:7:4:0:5:6:0:5:5:7:4:5:0:5:1:5:7:7:4:3:2:1:7:8:8:6:9:10:9:10:9:10:0:1:10:4:9:5:9:10:3:3:11:12:10:8:8:12:12:0:8:12:6:7:11:13:5:10:1:6:9:13:3:11:3:7:13:12:10:7:5:0:13:3:12:11:3:12:12:3:9:0:3:0:13:8:9:3:9:5:8:7:9:9:0:6:2:4:7:9:14:15:15:2:12:15:14:12:1:15:10:13:11:15:8:14:10:3:9:8:15:16:2:8:13:16:16:9:7:13:0:15:6:14:10:6:10:17:17:14:16:13:14:15:16:3:2:3:8:12:7:13:11:5:3:14:10:15:17:17:14:19:18:17:4:17:19:15:17:4:16:11:8:18:8:18:20:19:18:18:18:20:8:11:20:15:12:7:15:20:17:21:22:4:20:22:19:20:22:20:8:12:24:25:17:25:21:22:12:10:24:15:24:21:21:13:22:18:21:16:24:22:6:8:22:18:11:21:2:13:25:19:25:24:19:21:25:14:22:24:21:4:2:15:19:7:16:20:10:9:7:18:17:20:23:25:18:24:9:23:22:25:10:25:13:20:23:13:20:27:20:24:25:16:13:23:27:6:17:23:19:19:28:29:29:29:27:23:21:29:20:20:28:18:2:28
