#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 06:41:51,wvcp,le450_25b,local_search,16,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,30,0,340,0:0:0:0:1:2:0:0:1:2:1:1:2:2:0:2:0:2:3:2:1:1:1:3:3:3:1:3:0:2:4:4:3:1:2:0:0:1:4:4:2:5:4:1:5:3:5:2:6:6:1:2:6:3:5:6:6:5:6:2:0:2:5:4:6:7:7:6:5:7:8:6:5:8:7:4:2:3:0:5:6:3:7:6:9:9:6:0:10:10:7:3:5:7:8:4:10:7:0:3:11:11:5:8:8:12:5:9:11:13:9:8:9:10:10:11:13:13:14:13:11:12:14:13:2:14:12:9:11:12:10:7:11:7:11:12:15:16:16:15:8:12:9:16:10:5:9:2:7:4:9:9:0:15:7:7:16:10:14:10:15:14:15:12:6:9:3:3:6:5:15:16:15:5:14:15:8:10:8:8:13:9:7:7:16:11:17:6:15:10:4:12:17:18:17:16:18:13:17:1:13:9:18:17:17:13:13:11:2:18:13:19:17:19:18:12:19:14:14:19:18:13:18:14:12:19:5:12:4:14:18:20:20:19:8:14:12:19:17:15:8:4:21:8:17:19:21:22:21:22:22:21:9:22:0:8:21:20:19:21:20:20:23:17:23:22:18:22:24:22:24:24:23:20:24:11:15:20:24:24:4:21:20:18:25:23:11:4:23:25:25:25:6:4:23:19:20:22:13:2:26:27:27:25:27:28:21:24:28:15:27:26:2:27:26:24:29:20:21:28:29:25:29:25:22:1:10:26:19:26:24:1:28:11:23:28:7:25:10:29:23:24:21:25:27
112,0,30,0,339,0:0:0:0:1:2:0:0:1:2:1:1:2:2:0:0:2:2:3:2:1:1:1:3:3:3:1:3:2:2:4:4:3:0:4:0:0:0:4:4:2:5:4:1:5:3:5:2:6:6:1:2:6:3:5:6:6:5:6:6:0:2:5:4:6:7:7:6:5:7:8:6:5:8:7:4:2:3:0:5:1:3:7:6:9:9:6:0:10:10:9:3:5:7:8:4:10:0:0:3:11:11:5:8:8:12:5:9:10:13:10:12:9:10:10:13:13:13:14:13:6:12:14:13:2:14:12:1:11:12:4:12:11:7:10:7:15:16:16:15:8:12:9:16:4:5:9:2:7:14:15:9:15:15:7:0:16:10:14:10:15:14:15:12:6:9:3:3:6:5:15:16:1:5:14:15:11:13:7:10:13:9:7:7:16:2:17:17:8:10:4:12:17:18:17:7:11:13:17:1:13:9:18:17:8:13:13:12:2:18:2:19:17:19:18:12:19:14:14:19:18:13:18:14:12:8:4:12:4:11:11:20:20:19:8:14:12:19:17:15:9:4:22:8:17:18:21:22:21:22:22:21:9:22:5:22:8:20:19:21:15:20:23:17:23:22:18:22:24:22:24:24:23:20:24:11:24:3:17:16:20:18:24:18:25:23:11:4:21:24:25:25:18:11:23:19:23:23:19:2:26:27:27:25:27:16:25:24:26:17:27:22:19:25:27:23:29:20:21:28:29:28:29:25:26:1:17:11:25:29:18:1:28:17:23:28:29:27:26:29:23:16:27:29:27
205,0,30,0,338,0:0:0:0:1:2:0:0:1:2:1:1:1:2:0:0:0:1:3:2:1:1:1:3:3:3:1:3:2:2:4:4:3:0:4:0:0:4:4:4:2:5:4:1:5:3:5:2:6:4:1:6:6:3:5:6:6:5:6:6:2:2:5:2:6:7:7:6:5:7:8:6:5:8:7:4:2:3:0:5:1:3:8:6:9:9:6:0:10:10:9:3:5:7:8:4:10:7:7:3:11:11:5:8:8:12:5:9:10:13:10:12:10:12:1:8:6:13:14:13:6:12:14:13:2:14:12:9:11:12:4:8:11:7:1:5:15:16:16:15:8:12:9:16:4:5:9:2:7:14:15:13:15:11:7:8:16:10:14:10:15:14:15:12:3:9:3:15:9:5:15:16:1:5:0:15:2:10:7:8:13:9:7:14:16:2:14:8:14:10:12:12:9:18:17:7:10:13:17:1:13:9:18:17:12:13:13:12:2:18:17:19:17:19:18:12:12:14:7:19:18:13:18:14:12:8:4:16:4:11:13:20:20:19:8:14:20:19:17:15:9:4:22:22:17:18:21:22:21:3:22:21:9:22:12:22:2:20:19:20:3:24:23:17:23:22:18:24:24:22:24:19:23:20:11:11:17:3:17:16:20:23:22:18:25:23:11:10:21:25:25:25:18:11:23:25:23:21:13:2:26:27:27:25:27:16:25:24:26:17:21:15:0:27:27:26:29:20:21:28:29:28:22:25:28:1:8:11:15:29:26:1:23:29:26:28:29:28:26:29:23:6:14:7:27
240,0,30,0,337,0:0:0:0:1:2:0:0:1:2:1:1:1:2:0:0:0:1:3:2:1:1:1:3:3:3:1:3:2:2:4:4:3:0:4:0:0:4:4:4:2:5:4:1:5:3:5:2:6:4:1:6:6:3:5:6:6:5:6:6:2:0:4:2:6:7:7:6:5:7:8:6:0:8:8:4:2:3:0:5:1:3:8:8:9:9:6:0:10:10:9:3:5:7:8:4:10:7:7:3:11:11:5:8:8:12:5:9:10:13:10:12:12:12:1:10:4:13:14:13:6:12:14:13:2:14:12:9:11:12:4:8:11:7:1:5:15:16:16:15:8:12:9:16:4:5:9:2:7:14:15:13:12:11:7:10:16:10:14:10:15:14:15:12:3:9:3:15:9:5:15:16:1:5:0:15:10:0:8:8:13:9:7:14:16:2:14:8:14:10:12:9:9:18:17:7:10:13:17:1:13:9:18:17:12:13:13:12:2:18:2:19:17:19:18:12:12:14:7:19:18:13:18:14:12:8:5:16:4:8:13:20:20:19:8:14:20:19:17:15:9:4:17:14:17:18:21:22:21:3:22:21:9:22:12:22:4:20:19:20:3:24:23:17:23:22:18:24:24:22:24:19:23:20:6:11:17:3:17:16:4:23:5:20:25:23:11:10:21:25:25:25:20:11:23:25:15:21:13:2:26:27:27:25:27:16:25:24:25:17:21:11:0:27:26:26:29:20:21:28:21:28:22:25:28:1:8:11:10:29:29:1:23:29:23:28:29:28:26:15:23:6:14:8:27
685,0,30,0,336,0:0:0:0:1:2:0:0:0:2:1:1:1:2:2:0:0:1:3:2:1:1:1:3:3:3:1:3:2:2:4:4:3:0:1:0:2:0:4:4:2:5:4:1:5:3:5:2:6:2:1:2:6:3:5:6:6:5:4:2:4:1:4:2:6:7:7:6:5:7:8:1:0:8:8:5:2:3:0:5:5:3:7:2:9:9:6:0:10:10:9:3:5:7:8:4:2:7:8:9:11:11:5:8:8:12:5:9:10:13:9:4:10:7:6:6:12:13:14:13:6:12:10:13:2:14:12:1:11:12:10:5:11:7:12:8:15:16:16:15:8:12:9:10:4:5:9:2:7:14:6:7:12:11:4:5:16:10:14:10:15:14:15:14:3:11:3:15:6:8:6:16:7:0:0:15:13:7:16:15:13:9:7:14:16:6:14:4:12:10:12:7:14:18:17:7:10:13:16:17:1:9:16:17:4:13:13:12:7:18:18:19:17:19:18:12:12:14:14:19:18:13:18:14:18:8:15:4:17:17:7:20:20:19:8:20:20:19:17:15:4:8:17:14:17:17:21:22:21:22:22:21:9:19:21:1:15:20:19:20:3:24:23:17:23:23:18:24:24:22:24:18:23:20:8:11:24:3:17:15:18:13:21:20:25:23:11:4:21:2:16:14:15:4:25:25:20:23:18:5:26:27:27:23:26:16:25:25:25:26:21:13:24:9:27:17:29:20:21:25:24:27:25:19:26:25:26:22:15:18:22:10:29:12:23:28:28:26:23:29:18:21:26:29:29
694,0,29,0,335,0:0:0:0:1:2:0:0:0:2:1:1:1:2:2:0:0:1:3:2:1:1:1:3:3:3:1:3:2:2:4:4:3:0:1:0:2:0:4:4:2:5:4:1:5:3:5:2:6:2:1:2:6:3:5:6:6:5:4:2:4:1:4:2:6:7:7:6:5:7:8:1:0:8:8:5:2:3:0:5:5:3:7:2:9:9:6:0:10:10:9:3:5:7:8:4:2:7:8:9:11:11:5:8:8:12:5:9:10:13:9:4:10:7:6:6:12:13:14:13:6:12:10:13:2:14:12:1:11:12:10:5:11:7:12:8:15:16:16:15:8:12:9:10:4:5:9:2:7:14:6:7:12:11:4:5:16:10:14:10:15:14:15:14:3:11:3:15:16:8:6:16:7:0:0:15:13:7:16:15:13:9:7:14:16:6:14:4:11:10:12:7:14:18:17:7:10:13:16:17:1:9:16:17:4:13:13:12:7:18:18:19:17:19:18:12:12:14:14:19:18:13:18:14:18:8:15:4:17:17:7:20:20:19:8:20:20:19:17:15:4:8:17:14:17:17:21:22:21:22:22:21:9:19:21:1:15:20:19:20:3:24:23:17:23:23:18:24:24:22:24:18:23:20:8:11:24:3:17:15:18:13:21:20:25:23:11:4:21:2:16:14:15:10:25:25:20:23:18:5:26:27:27:23:26:16:25:25:25:26:21:13:24:9:27:17:29:20:21:25:24:27:25:19:26:25:26:22:19:18:29:10:29:12:17:27:9:26:23:29:18:21:24:29:29
1439,0,29,0,334,0:0:0:0:1:2:0:1:0:2:1:1:1:2:0:2:0:1:3:2:1:1:1:3:3:3:1:3:2:2:4:4:0:0:4:0:0:1:4:4:2:5:4:1:4:3:5:2:6:0:1:6:6:3:5:6:6:2:6:2:6:1:5:5:6:7:7:5:5:7:8:1:0:8:5:3:7:3:1:8:0:7:3:0:9:9:6:0:10:10:9:3:5:7:8:4:4:7:10:7:11:11:5:8:8:12:5:9:10:13:6:0:10:10:2:6:6:13:14:13:6:7:9:13:2:14:7:1:14:12:10:5:11:7:7:5:15:16:16:15:8:12:9:10:4:5:9:2:10:14:6:7:12:15:4:5:16:10:14:10:15:5:15:14:1:11:3:15:9:10:15:16:7:9:0:15:13:14:14:10:13:9:7:13:10:3:14:8:16:10:12:1:3:18:17:8:10:13:13:17:14:9:16:18:13:17:15:16:12:16:17:19:17:19:18:12:12:14:12:19:18:18:18:13:11:17:12:4:17:14:18:20:15:12:20:20:20:19:17:19:2:17:17:15:14:18:21:22:21:22:22:21:9:20:1:1:8:20:19:2:18:24:23:17:21:23:11:24:7:22:20:18:23:22:21:6:5:3:19:16:2:24:14:8:24:23:11:4:19:24:16:24:15:23:19:16:24:24:13:6:26:27:25:27:26:12:25:25:27:15:21:11:13:10:23:21:29:24:29:25:22:27:22:27:2:26:26:12:29:23:4:3:2:17:27:27:9:26:12:26:26:18:18:8:8
1499,0,29,0,333,0:0:0:0:1:2:0:1:0:2:1:1:1:2:0:2:2:1:3:2:1:1:1:3:3:3:1:3:2:2:4:4:0:0:4:0:0:4:4:4:2:5:4:1:4:3:5:2:6:0:1:6:6:3:6:6:6:2:4:2:4:1:5:5:6:7:7:5:5:7:8:1:0:8:5:3:7:3:1:8:0:7:3:8:9:9:6:0:10:10:7:3:5:7:8:4:4:2:10:7:11:11:5:8:8:12:5:9:10:13:6:0:10:10:10:11:6:13:14:13:6:7:9:13:2:14:11:1:14:12:10:6:11:7:0:6:15:16:16:15:8:12:9:10:4:5:3:2:10:14:9:7:2:15:4:15:16:10:14:10:15:5:15:14:8:11:3:15:9:10:15:16:7:9:0:15:15:1:8:14:13:9:7:13:7:3:14:8:16:10:12:1:11:18:17:3:10:13:13:17:14:9:16:18:13:17:15:16:7:16:17:19:17:19:18:12:12:14:12:19:18:19:18:13:11:17:12:4:17:14:18:20:15:12:20:20:20:2:17:19:5:17:17:15:14:18:21:22:21:14:22:21:9:20:1:6:8:20:19:2:10:24:23:17:21:23:11:24:7:22:20:18:23:22:21:6:23:19:18:16:2:17:21:8:24:23:11:4:21:24:16:24:11:23:19:16:24:21:13:6:26:19:25:19:26:12:25:25:25:15:21:26:13:9:23:25:29:24:29:25:22:27:22:23:14:26:24:21:29:26:4:3:0:17:27:27:9:26:12:26:25:29:29:8:8
1500,0,29,0,332,0:0:0:0:1:2:0:1:0:2:1:1:1:2:0:2:2:1:3:2:1:1:1:3:3:3:1:3:2:2:4:4:0:0:4:0:0:4:4:4:2:5:4:1:4:3:5:2:6:0:1:6:6:3:6:6:6:2:4:2:4:1:5:5:6:7:7:5:5:7:8:1:0:8:5:3:7:3:1:8:0:7:3:8:9:9:6:0:10:10:7:3:5:7:8:4:4:2:10:7:11:11:5:8:8:12:5:9:10:13:6:0:10:10:10:11:6:13:14:13:6:7:9:13:2:14:11:1:14:12:10:6:11:7:0:6:15:16:16:15:8:12:9:10:4:5:3:2:10:14:9:7:2:15:4:15:16:10:14:10:15:5:15:14:8:11:3:15:9:10:15:16:7:9:0:15:15:1:8:14:13:9:7:13:7:3:14:8:16:10:12:1:11:18:17:3:10:13:13:17:14:9:16:18:13:17:15:16:7:16:17:19:17:19:18:12:12:14:12:19:18:19:18:13:11:17:12:4:17:14:18:20:15:12:20:20:20:2:17:19:5:17:17:15:14:18:21:22:21:14:22:21:9:20:1:6:8:20:19:2:10:24:23:17:21:23:11:24:7:22:20:18:23:22:21:6:23:19:18:16:2:17:21:8:24:23:11:4:21:24:16:24:11:23:19:16:24:21:13:6:26:19:25:19:26:12:25:25:25:15:21:26:13:9:23:25:29:24:29:25:22:23:22:23:14:26:24:21:29:26:4:3:0:17:27:27:9:26:12:26:25:29:29:8:8
2136,0,28,0,331,0:0:0:0:1:2:0:1:1:2:1:1:2:2:2:2:0:2:3:2:1:1:1:3:3:3:1:3:2:2:4:4:0:0:3:0:0:3:4:4:2:5:4:1:4:3:5:2:6:6:1:2:6:3:5:6:6:5:4:2:4:1:1:4:6:7:7:5:5:7:8:1:1:8:5:0:4:3:4:4:0:6:8:5:9:9:6:0:10:10:9:3:5:7:8:4:5:0:0:6:11:11:5:8:8:12:5:9:10:13:6:8:1:7:0:0:6:13:14:13:6:7:0:12:2:14:2:3:10:12:8:8:11:7:14:9:15:16:16:15:8:12:9:10:4:5:15:2:10:14:7:7:3:15:12:8:16:10:14:10:15:5:15:7:1:11:6:8:9:10:13:16:12:9:0:15:11:10:8:8:13:12:7:14:16:3:14:8:15:10:12:15:11:18:17:3:13:13:17:13:10:9:16:18:4:16:15:8:11:12:9:19:17:19:18:12:12:14:12:19:18:19:18:13:11:8:12:4:11:1:13:20:15:20:20:20:19:2:17:19:11:4:17:14:14:10:21:22:21:22:22:20:9:22:6:7:6:19:16:14:19:24:23:17:21:18:23:24:7:22:20:18:23:22:5:10:22:19:17:12:15:17:23:5:24:23:11:24:21:17:24:11:18:10:21:19:21:23:23:24:26:19:25:19:21:16:22:25:24:17:7:15:0:7:26:23:29:24:29:25:29:26:2:23:14:6:24:3:24:17:16:21:26:13:25:21:9:26:18:26:25:25:13:26:23
