#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 06:43:13,wvcp,le450_25c,local_search,1,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,39,0,434,0:0:1:0:0:1:1:1:2:2:0:2:1:0:2:0:1:1:1:2:3:1:3:3:2:2:2:4:0:4:3:3:3:2:5:3:5:4:6:6:7:6:7:6:4:0:7:4:7:7:3:8:3:7:4:2:5:5:8:9:5:7:10:10:10:8:8:10:7:5:6:3:9:9:10:6:6:11:11:5:11:10:6:8:2:9:11:7:0:5:5:12:1:3:9:10:7:9:9:12:1:2:10:12:7:12:13:2:13:8:5:9:6:8:4:13:12:9:11:5:2:7:12:11:14:13:8:13:15:15:14:3:14:4:10:13:14:11:11:15:12:15:15:6:2:11:14:8:15:16:12:17:17:13:11:16:17:14:16:4:16:15:18:17:17:10:13:18:4:6:18:16:6:19:19:16:12:15:17:4:9:13:19:1:15:8:14:19:7:6:2:20:18:20:20:21:5:4:17:11:19:20:19:1:21:18:12:14:20:18:12:14:1:17:21:19:21:17:22:18:16:18:14:22:22:20:20:18:3:8:21:17:18:8:23:20:22:22:23:17:24:15:0:4:21:16:15:0:22:8:24:10:9:24:24:8:21:16:23:6:24:25:9:19:24:16:23:25:25:7:3:24:25:24:13:20:25:19:18:2:17:13:26:24:8:26:0:21:27:27:6:25:20:26:23:11:24:24:25:14:27:25:26:28:27:5:22:25:12:23:26:11:1:28:23:16:28:0:28:27:29:25:30:28:29:31:30:30:31:31:18:30:7:9:21:30:29:27:26:25:18:19:29:5:31:29:32:31:32:26:32:27:28:26:11:19:13:30:29:21:24:10:22:33:30:33:31:23:34:34:32:34:32:32:26:24:33:34:33:29:31:16:13:33:28:22:30:30:33:35:35:35:36:36:36:37:35:23:37:28:37:36:12:23:33:7:34:37:25:12:30:19:32:1:28:24:32:38:38:38:30:19:34:14:0:27:32:3:25:38:34:6:0:31:28:38:33:19:5:24
172,0,39,0,433,0:0:1:0:0:1:1:1:2:2:0:2:2:0:2:0:1:1:1:2:3:1:3:3:2:2:0:4:0:4:3:3:3:2:5:3:5:4:6:6:7:6:7:6:0:0:7:6:1:7:2:8:3:7:4:2:5:5:8:9:5:7:10:10:10:8:8:10:7:5:6:10:9:1:10:6:6:11:11:5:11:10:6:8:2:9:11:7:11:9:8:12:1:3:9:10:7:9:9:12:1:2:6:12:7:10:13:2:13:8:5:9:6:8:4:12:12:9:11:4:2:7:12:11:14:13:8:13:15:15:14:3:14:4:9:13:9:11:11:15:12:15:15:6:2:14:6:12:15:16:12:17:17:16:11:16:17:14:16:10:16:15:18:17:17:10:13:18:16:2:18:16:6:19:19:16:12:15:17:4:19:13:14:1:15:8:4:19:19:12:3:20:18:20:20:21:5:4:17:11:19:20:19:1:21:18:8:14:14:18:6:14:8:17:21:19:21:17:22:18:16:18:15:22:22:20:20:2:3:8:22:20:21:2:23:20:22:22:23:17:24:15:0:5:21:16:15:0:22:24:24:10:9:11:24:16:21:16:23:6:24:6:9:3:24:15:23:25:25:7:3:24:25:24:19:24:4:4:18:2:17:13:26:24:8:26:0:21:27:27:26:25:18:16:20:11:24:17:25:14:27:25:26:26:23:5:22:26:25:23:26:11:10:3:13:17:6:25:28:27:29:25:30:28:29:31:30:30:31:31:18:30:7:9:13:13:29:27:26:27:27:16:0:18:31:29:32:31:32:13:20:19:28:26:32:12:13:30:30:22:16:10:29:33:30:33:31:23:34:34:32:34:32:32:11:24:33:34:33:28:31:16:13:28:22:2:8:26:33:35:35:35:36:36:37:37:35:23:37:28:37:36:35:23:21:1:36:12:7:3:29:22:31:4:28:15:32:38:38:38:30:19:34:14:0:33:37:35:31:25:34:6:8:36:8:36:29:5:21:24
647,0,39,0,432,0:0:1:0:0:1:1:1:2:2:0:2:2:0:2:0:1:1:1:2:3:1:3:3:2:0:1:4:0:4:3:3:3:2:5:3:5:4:6:6:7:4:2:6:0:0:7:6:1:7:3:8:3:7:4:2:5:5:8:9:5:7:10:10:10:9:8:10:7:5:6:10:9:1:10:4:6:11:11:5:11:10:6:8:2:9:11:7:0:7:5:12:1:3:9:10:7:9:9:12:1:2:6:12:7:12:13:2:13:5:6:9:6:8:4:8:12:5:0:4:9:7:6:11:14:13:8:13:15:15:14:3:14:4:3:13:9:11:11:15:12:5:15:6:14:5:11:14:15:16:12:17:17:16:18:16:17:14:16:10:6:15:18:16:17:10:13:18:0:7:18:16:6:19:19:19:8:15:17:4:19:13:14:1:14:2:14:8:7:5:4:20:18:20:20:21:5:19:17:11:19:21:19:1:21:18:16:2:7:13:7:2:11:17:21:19:21:17:22:18:16:18:15:22:20:20:20:21:14:10:21:19:0:19:23:20:22:22:23:17:24:15:4:14:21:4:15:12:17:20:24:10:9:3:13:8:21:16:23:6:24:24:9:19:25:21:23:25:25:18:7:10:21:9:2:11:15:17:18:2:17:13:26:24:8:11:0:21:27:0:26:26:27:16:17:18:16:4:25:14:27:25:26:26:27:27:22:26:25:23:26:11:9:3:13:26:4:25:28:27:29:24:30:28:29:27:22:25:25:13:18:30:23:9:8:29:16:21:8:24:16:29:14:13:31:29:32:28:32:13:32:18:23:26:22:12:12:12:20:22:28:27:28:33:25:33:31:20:34:31:32:34:32:32:30:24:33:34:33:33:31:14:28:28:0:29:16:29:12:35:34:34:26:37:37:36:36:20:29:28:33:36:35:33:30:35:30:17:10:12:36:37:22:20:29:24:38:38:30:36:30:19:38:29:25:33:35:3:36:25:34:38:20:37:14:38:33:32:2:14
699,0,39,0,431,0:0:1:0:0:1:1:1:2:2:0:2:2:0:2:0:1:1:1:2:3:1:3:3:2:0:1:4:0:4:3:3:3:2:5:3:5:4:6:6:7:4:2:6:0:0:7:4:4:7:3:8:3:7:4:2:5:5:8:9:5:7:10:10:10:9:8:10:7:5:6:3:9:9:10:4:6:11:11:5:11:10:6:8:2:9:11:7:0:5:5:12:1:3:9:10:7:9:9:12:1:2:6:12:7:12:13:2:13:5:6:9:6:8:4:8:12:5:0:4:9:7:6:11:14:13:8:13:15:15:14:3:14:4:3:13:9:11:11:15:12:5:15:6:14:5:11:14:15:16:12:17:17:16:18:16:17:14:16:10:6:15:18:16:17:10:13:18:0:0:18:16:6:19:19:19:8:15:17:4:19:13:14:1:12:2:11:8:16:0:4:20:18:20:20:21:5:19:17:11:19:21:19:1:21:18:21:2:7:13:7:2:11:17:21:19:21:17:22:18:16:18:15:22:20:20:20:21:14:10:21:21:0:19:23:20:22:22:23:17:24:15:4:14:21:4:15:12:17:10:24:10:9:3:13:8:21:16:23:6:24:24:9:19:25:21:23:25:25:18:7:10:8:9:2:11:4:13:18:2:17:13:26:24:8:11:0:21:27:0:26:19:27:16:14:18:15:1:25:14:27:25:26:26:27:27:22:26:25:23:26:11:9:3:13:26:2:23:28:27:29:24:30:28:29:27:22:25:25:13:18:30:23:27:25:29:16:21:8:24:16:29:24:7:31:29:32:28:32:13:14:18:23:26:8:12:12:12:20:22:28:27:28:33:25:33:31:20:34:31:32:34:32:32:30:24:33:34:33:30:31:14:28:22:34:29:31:22:31:35:34:34:26:30:35:36:36:20:29:28:33:36:35:22:30:35:30:35:10:3:36:18:26:30:29:24:38:38:36:36:35:19:38:29:25:33:35:23:36:25:11:38:20:37:13:28:33:32:33:12
700,0,38,0,430,0:0:1:0:0:1:1:1:2:2:0:2:2:0:2:0:1:1:1:2:3:1:3:3:2:0:1:4:0:4:3:3:3:2:5:3:5:4:6:6:7:4:2:6:0:0:7:4:4:7:3:8:3:7:4:2:5:5:8:9:5:7:10:10:10:9:8:10:7:5:6:3:9:9:10:4:6:11:11:5:11:10:6:8:2:9:11:7:0:5:5:12:1:3:9:10:7:9:9:12:1:2:6:12:7:12:13:2:13:5:6:9:6:8:4:8:12:5:0:4:9:7:6:11:14:13:8:13:15:15:14:3:14:4:3:13:9:11:11:15:12:5:15:6:14:5:11:14:15:16:12:17:17:16:18:16:17:14:16:10:6:15:18:16:17:10:13:18:0:0:18:16:6:19:19:19:8:15:17:4:19:13:14:1:12:2:11:8:16:0:4:20:18:20:20:21:5:19:17:11:19:21:19:1:21:18:21:2:7:13:7:2:11:17:21:19:21:17:22:18:16:18:15:22:20:20:20:21:14:10:21:21:0:19:23:20:22:22:23:17:24:15:4:14:21:4:15:12:17:10:24:10:9:3:13:8:21:16:23:6:24:24:9:19:25:21:23:25:25:18:7:10:8:9:2:11:4:13:18:2:17:13:26:24:8:11:0:21:27:0:26:19:27:16:14:18:15:1:25:14:27:25:26:26:27:27:22:26:25:23:26:11:9:3:13:26:2:23:28:27:29:24:30:28:29:27:22:25:25:13:18:30:23:27:25:29:16:21:8:24:16:29:24:7:31:29:32:28:32:13:14:18:23:26:8:12:12:12:20:22:28:27:28:33:25:33:31:20:34:31:32:34:32:32:30:24:33:34:33:30:31:14:28:22:34:29:31:22:31:35:34:34:26:30:35:36:36:20:29:28:33:36:35:22:30:35:30:35:10:3:36:18:26:30:29:24:38:38:36:36:35:19:38:29:25:33:35:23:36:25:11:38:20:38:13:28:33:32:33:12
923,0,38,0,429,0:0:1:0:0:1:1:1:2:2:0:2:2:0:2:0:1:1:1:2:3:1:3:3:2:2:1:4:0:4:3:3:3:2:5:3:5:4:6:6:7:4:7:6:0:0:7:4:4:3:2:8:3:7:4:2:5:5:8:9:5:7:10:10:10:9:8:10:7:5:6:3:9:1:10:7:6:11:11:5:11:10:6:8:2:9:11:7:6:5:5:12:1:3:9:10:7:9:9:12:1:2:10:12:7:12:13:2:13:8:6:9:6:8:4:12:13:5:0:4:12:7:6:11:14:13:8:13:15:15:14:3:14:4:3:13:1:11:9:15:12:5:15:6:14:10:12:10:15:16:12:17:17:16:18:16:17:14:16:4:16:15:18:14:17:10:13:18:7:17:18:16:6:19:19:16:8:15:17:4:19:13:14:1:15:11:10:10:4:5:8:20:18:14:20:21:5:19:7:11:19:15:17:1:10:12:8:2:21:4:7:2:6:17:21:19:21:17:22:18:16:18:15:22:20:20:20:21:19:20:10:17:21:12:23:20:22:22:23:17:24:15:4:14:21:16:5:12:17:24:24:2:9:22:24:20:21:16:23:6:24:24:9:19:25:21:23:25:25:18:3:23:20:16:13:19:15:17:18:2:17:13:26:24:8:11:0:21:27:0:26:19:27:16:14:11:16:27:25:23:27:25:26:26:23:27:26:26:25:23:26:24:9:24:5:26:8:14:28:27:29:24:30:28:29:27:22:30:22:13:18:30:7:25:25:10:16:21:8:17:21:15:16:18:31:29:32:28:32:13:14:18:31:26:8:12:17:30:31:22:16:12:29:33:25:33:33:28:34:31:32:34:32:31:34:24:33:34:33:30:31:24:28:22:27:9:26:21:19:34:34:34:26:30:28:36:36:20:28:28:33:36:8:33:7:36:25:11:24:15:36:27:32:32:25:9:29:38:36:36:35:19:35:29:25:38:35:26:30:38:4:6:8:31:13:38:6:38:2:29
1071,0,38,0,428,0:0:1:0:0:1:1:1:2:2:0:2:2:0:2:0:1:1:1:2:3:1:3:3:2:2:2:4:0:4:3:3:3:2:5:3:5:4:6:6:7:4:7:6:0:2:7:6:4:3:2:8:3:7:4:2:5:5:8:9:5:7:10:10:10:9:8:10:7:5:6:3:9:1:10:7:6:11:11:5:11:10:6:8:2:9:11:7:0:5:5:12:1:3:9:10:7:9:9:12:1:2:10:12:7:12:13:2:13:8:6:9:6:13:4:12:13:5:11:8:12:7:6:11:14:13:8:13:15:15:14:3:14:4:12:13:1:11:11:15:12:5:15:6:14:6:13:4:15:16:12:17:17:16:18:16:17:14:16:10:16:15:18:14:17:10:13:18:7:11:18:16:6:19:19:16:8:15:17:4:19:1:14:1:15:11:10:11:4:5:8:20:18:14:20:4:5:19:7:17:19:15:17:1:10:18:20:2:13:4:7:2:1:17:21:20:21:17:22:18:16:18:15:22:20:20:20:19:14:20:10:10:17:8:23:20:22:22:23:17:24:15:4:14:21:16:5:12:17:24:24:8:5:23:24:23:21:16:23:6:24:24:9:19:25:16:23:25:25:18:3:13:20:16:13:25:9:19:18:2:17:13:26:24:8:11:0:21:27:0:26:19:27:25:26:11:15:22:25:23:27:25:26:26:23:5:26:26:19:23:26:24:9:3:22:3:18:11:28:27:29:24:30:28:29:9:27:30:22:13:21:13:7:18:25:10:16:22:8:26:19:12:12:30:31:29:32:28:32:22:14:18:31:26:32:12:17:28:31:27:27:19:20:33:25:33:33:28:34:31:32:34:32:31:34:24:30:34:33:33:31:29:14:33:0:19:11:30:20:34:34:34:26:30:28:36:36:20:28:28:33:36:8:23:7:32:25:31:21:3:25:22:26:22:5:10:29:38:36:36:35:19:38:29:25:38:32:3:38:22:6:38:36:38:8:15:35:34:32:24
1085,0,37,0,427,0:0:1:0:0:1:1:1:2:2:0:2:2:0:2:0:1:1:1:2:3:1:3:3:2:2:2:4:0:4:3:3:3:2:5:3:5:4:6:6:7:4:7:6:0:2:7:6:4:3:2:8:3:7:4:2:5:5:8:9:5:7:10:10:10:9:8:10:7:5:6:3:9:1:10:7:6:11:11:5:11:10:6:8:2:9:11:7:0:5:5:12:1:3:9:10:7:9:9:12:1:2:10:12:7:12:13:2:13:8:6:9:6:13:4:12:13:5:11:7:12:7:6:11:14:13:8:13:15:15:14:3:14:4:12:13:1:11:11:15:12:5:15:6:14:6:13:4:15:16:12:17:17:16:18:16:17:14:16:10:16:15:18:14:17:10:13:18:7:11:18:16:6:19:19:16:8:15:17:4:19:1:14:1:15:11:10:11:4:4:8:20:18:14:20:4:5:19:7:17:19:15:17:1:10:18:20:2:13:4:7:2:1:17:21:20:21:17:22:18:16:18:15:22:20:20:20:19:14:20:10:10:17:8:23:20:22:22:23:17:24:15:4:14:21:16:5:12:17:24:24:8:5:23:24:23:21:16:23:6:24:24:9:19:25:16:23:25:25:18:3:13:20:20:13:17:9:19:18:2:17:13:26:24:8:11:0:21:27:0:26:19:27:25:26:11:15:21:25:23:27:25:26:26:23:5:26:26:19:23:26:24:9:3:22:3:18:11:28:27:29:24:30:28:29:9:27:30:22:13:21:13:7:18:25:10:16:22:8:26:19:16:24:30:31:29:32:28:32:22:14:18:31:26:32:12:17:28:31:27:27:22:20:33:25:33:33:28:34:31:32:34:32:31:34:24:30:34:33:33:31:24:14:33:0:4:11:30:20:34:34:34:26:30:28:36:36:20:28:28:33:36:8:23:7:32:25:31:21:3:25:22:26:22:5:10:29:38:36:36:30:19:38:29:25:38:32:3:38:22:6:8:36:38:8:15:13:34:38:24
1101,0,37,0,426,0:0:1:0:0:1:1:1:2:2:0:2:2:0:2:0:0:1:1:2:3:1:3:3:2:2:2:4:0:4:3:3:3:2:5:3:5:4:6:6:7:4:7:6:4:2:7:4:4:3:2:8:3:7:4:2:5:5:8:9:5:7:10:10:10:9:8:10:7:5:6:3:9:1:10:7:6:11:11:5:11:10:6:8:2:9:11:7:0:5:5:12:1:3:9:10:7:9:9:12:1:2:10:12:7:12:13:2:13:8:6:9:6:13:4:12:13:5:11:7:12:7:6:11:14:13:8:13:15:15:14:3:14:4:12:13:1:11:11:15:12:5:15:6:14:9:13:4:15:16:12:17:17:16:18:16:17:14:12:10:16:15:18:14:17:10:13:18:7:11:18:16:6:19:19:16:8:15:17:4:19:1:14:1:12:11:1:11:4:4:8:20:18:14:20:4:5:19:7:17:19:15:17:1:10:15:20:2:13:4:7:2:1:17:21:20:21:17:21:18:16:18:15:15:20:20:20:19:14:20:10:10:17:8:23:20:22:22:23:17:24:15:4:14:21:16:5:12:17:24:24:8:5:23:24:23:21:16:23:6:24:24:9:19:25:16:23:25:25:18:3:13:20:20:13:17:9:19:18:2:17:13:26:24:8:11:0:21:27:0:26:19:27:25:26:11:15:21:25:23:27:25:26:26:23:5:26:26:19:23:26:24:9:3:22:3:18:11:28:27:29:24:30:28:29:9:27:30:22:13:21:13:7:9:25:10:16:22:8:26:19:16:24:20:31:29:32:28:32:22:14:18:31:21:32:12:17:28:31:27:27:22:20:33:25:33:33:28:34:31:32:34:32:31:34:24:30:34:33:33:31:24:14:33:0:4:11:30:20:34:34:34:26:30:28:36:6:20:28:28:24:36:8:23:7:32:25:31:21:3:25:27:26:22:5:10:29:38:36:36:30:19:38:29:25:38:32:3:38:22:6:8:36:38:8:15:13:34:38:24
1430,0,37,0,425,0:0:1:0:0:1:1:1:2:2:0:2:2:0:2:0:0:1:1:2:3:1:3:3:2:2:1:4:0:4:3:3:3:2:5:3:5:4:6:7:7:4:2:6:4:2:7:4:4:5:2:8:3:7:4:2:5:5:8:9:5:7:10:10:10:8:8:10:7:5:6:6:9:1:10:7:6:11:11:5:11:10:6:8:2:9:11:7:7:5:8:12:1:3:9:10:7:9:9:12:1:2:10:12:7:12:13:2:13:5:13:9:0:13:6:12:13:1:0:9:12:7:6:11:14:13:9:13:15:15:14:3:14:4:3:13:1:11:11:15:12:5:6:6:13:11:11:4:15:16:12:17:18:16:18:16:17:14:12:10:16:15:18:14:17:10:11:18:4:8:18:16:6:19:18:16:8:15:17:4:19:13:14:1:15:10:1:10:4:14:12:20:18:14:20:4:5:19:7:11:19:15:17:1:14:18:16:2:5:12:8:2:8:17:21:20:21:17:21:18:16:18:15:15:20:20:5:2:14:10:9:10:17:19:23:20:22:22:23:17:24:15:0:14:21:16:5:18:17:8:24:8:19:11:24:22:21:16:23:6:24:24:9:19:25:16:23:25:12:18:3:23:22:3:13:11:9:4:18:2:17:13:26:24:8:11:0:21:27:20:25:19:20:10:17:11:23:21:13:26:4:27:26:26:23:5:26:26:22:23:24:24:1:27:12:3:10:23:28:19:29:24:30:28:29:9:30:21:22:21:22:13:23:9:22:27:16:22:6:27:16:23:23:13:31:29:32:30:32:22:20:3:32:21:32:12:13:12:31:32:27:9:20:33:25:33:33:28:34:31:22:34:32:31:34:24:26:34:30:33:14:30:14:27:0:2:26:22:34:34:34:34:26:0:33:28:6:23:28:28:17:27:29:24:32:30:3:34:32:10:12:19:21:30:19:34:29:38:36:36:30:19:38:28:25:38:29:26:38:22:25:20:28:33:8:36:31:27:38:23
