#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 06:43:52,wvcp,le450_25d,local_search,12,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,39,0,430,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:2:3:5:4:5:5:1:6:5:0:2:4:0:5:6:4:5:6:6:1:2:6:3:7:7:1:4:0:3:4:6:6:2:2:8:8:8:4:1:9:0:9:1:4:7:7:3:8:9:8:7:9:2:8:10:11:10:8:8:9:12:10:11:12:12:12:7:12:5:0:10:7:12:8:13:11:13:13:10:11:6:4:7:13:11:12:11:7:0:9:11:3:13:10:3:9:12:9:4:3:4:6:14:10:15:9:14:10:15:14:16:15:14:14:12:5:13:16:15:13:16:7:10:3:13:15:9:13:16:16:15:2:17:14:5:16:12:1:17:17:16:15:9:17:9:17:8:8:9:14:4:16:11:11:8:5:4:18:18:19:20:20:17:18:19:20:19:19:21:21:1:16:17:21:15:20:7:18:12:18:21:13:3:17:14:10:22:19:5:17:14:15:22:22:21:22:21:6:12:2:22:18:13:9:7:22:15:2:23:18:3:23:23:23:24:15:21:22:23:0:22:9:20:20:23:24:17:10:5:14:21:24:6:25:8:25:25:24:15:2:25:22:4:26:25:20:26:25:15:4:6:4:19:4:18:18:27:27:23:24:26:27:25:6:5:18:27:16:21:21:25:12:26:16:19:26:28:29:29:28:20:30:30:29:28:31:27:31:19:30:31:20:9:26:8:29:31:14:31:9:28:23:18:16:32:29:23:27:24:31:24:32:13:28:1:1:26:10:11:19:31:33:28:26:28:21:18:19:19:33:1:33:17:29:32:32:33:14:3:33:18:32:8:33:32:34:34:34:25:27:33:26:29:32:20:34:12:26:30:30:11:31:25:24:34:31:29:32:8:35:30:36:36:37:35:37:33:30:35:36:36:37:31:37:20:31:22:8:24:35:32:24:0:12:14:23:22:22:23:5:36:37:37:38:35:36:4:34:38:38:36:38:38:37:32:9:18:13:35:27:14:17:21
505,0,39,0,429,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:2:4:4:4:1:5:5:6:5:0:2:4:0:4:6:4:5:6:6:1:2:6:3:7:7:1:4:0:3:4:6:6:1:5:8:8:8:4:1:9:2:9:1:4:7:7:3:8:9:8:7:4:9:6:10:11:10:8:8:9:12:10:11:12:12:12:7:12:5:0:10:7:4:8:13:11:3:13:10:11:6:12:7:13:11:12:11:7:0:9:11:3:13:10:3:9:1:10:1:12:4:5:14:10:15:9:14:10:15:14:16:15:14:14:12:5:13:16:15:5:16:7:10:3:13:16:9:1:16:16:15:2:17:14:5:16:12:1:17:17:16:15:9:17:0:8:15:8:9:14:5:16:9:12:15:13:4:18:18:19:20:20:17:18:19:20:19:19:21:21:1:16:17:21:16:20:7:18:12:10:7:13:3:18:11:4:22:19:5:17:14:23:22:22:21:22:21:19:12:8:23:13:23:5:7:22:15:10:23:13:11:23:23:24:24:17:17:20:9:5:9:11:20:11:2:24:19:10:15:14:23:11:0:25:8:25:25:24:15:2:25:22:21:26:21:20:16:13:24:26:22:4:25:25:3:20:27:27:23:24:26:27:25:6:5:18:27:25:21:8:18:20:17:24:0:26:28:29:29:28:20:30:31:29:28:31:27:28:22:30:31:20:30:30:15:0:31:27:30:9:26:13:19:5:32:29:23:27:14:32:31:32:19:29:30:25:27:25:26:13:31:0:28:32:28:29:18:19:19:14:30:23:19:20:31:28:23:25:8:18:21:29:18:33:32:34:34:34:34:17:26:26:29:21:20:34:12:26:27:7:11:5:32:6:24:32:21:19:33:35:30:33:36:15:35:37:37:28:35:36:36:6:31:13:14:35:33:10:28:35:13:25:29:35:7:36:30:28:3:21:36:37:37:38:35:36:4:34:33:37:30:38:38:35:31:9:36:28:35:21:5:35:4
954,0,39,0,428,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:3:4:4:4:1:1:5:6:5:0:2:4:0:4:6:4:5:6:6:1:2:6:3:7:7:1:4:0:3:4:6:6:1:3:8:8:8:4:1:9:2:9:1:4:7:7:3:5:9:8:7:3:3:5:10:11:10:8:8:9:12:10:11:12:12:12:7:12:5:0:10:7:1:11:13:11:3:13:10:11:6:12:7:8:11:12:11:7:0:9:11:5:13:10:1:6:1:10:5:12:4:8:14:10:15:9:14:10:15:14:16:15:7:7:12:5:13:16:15:5:16:7:10:3:13:15:8:4:16:16:15:2:17:14:5:16:12:1:17:17:16:15:9:17:6:13:15:0:9:14:6:2:5:13:17:11:7:18:18:19:20:20:17:18:19:20:19:19:21:21:1:16:17:21:16:20:18:18:20:10:7:13:3:20:5:5:22:19:5:17:14:8:22:22:21:0:21:19:12:23:23:19:13:5:7:22:15:15:23:22:22:23:23:24:24:17:21:20:23:5:9:11:20:11:3:15:22:22:15:14:15:11:5:25:8:25:23:24:15:2:25:22:21:26:17:16:14:20:24:26:6:4:9:13:18:6:27:27:23:24:26:10:2:6:0:18:27:20:17:24:18:6:17:13:11:24:28:29:29:28:27:30:30:29:28:31:27:28:22:30:31:14:21:23:0:3:31:22:21:23:31:9:25:14:32:26:23:27:14:32:11:24:25:14:30:25:21:7:18:0:31:0:28:32:28:26:18:28:19:14:21:10:16:20:30:28:19:28:28:18:23:7:15:33:32:34:34:34:34:17:18:1:32:21:25:29:12:26:27:26:33:28:32:32:19:13:31:11:22:35:30:33:26:31:35:9:32:30:22:36:36:33:33:24:24:35:22:9:34:33:30:27:26:35:35:16:36:34:32:3:36:33:37:13:35:37:4:34:36:38:37:38:15:35:38:38:2:13:18:21:32:3:31
1527,0,39,0,427,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:2:1:4:4:5:4:5:6:5:0:2:4:0:4:6:4:5:3:6:4:2:6:3:7:7:1:4:0:3:4:1:6:1:6:8:8:8:4:1:9:2:9:1:4:7:7:3:5:9:8:7:9:8:3:10:11:10:8:8:9:12:3:11:12:12:12:7:12:5:0:10:7:9:11:13:11:3:13:10:11:6:12:7:8:11:8:10:7:0:9:11:7:13:10:1:13:12:10:6:13:10:1:14:10:15:9:14:10:15:14:16:15:7:14:12:5:13:16:15:5:16:7:10:9:13:15:2:0:16:16:15:13:17:14:5:16:12:1:17:17:16:15:9:16:5:10:15:0:9:6:5:16:5:7:6:11:4:18:18:19:20:20:17:18:19:21:6:19:21:21:1:16:17:21:13:20:19:6:20:10:7:13:3:15:14:13:22:19:5:11:11:8:22:6:21:0:21:19:14:23:19:11:23:21:7:22:17:15:8:12:5:23:23:24:24:17:17:20:23:18:9:11:22:20:16:15:14:22:15:14:24:13:23:25:8:25:26:24:15:2:25:22:18:26:17:20:14:13:22:12:22:20:9:12:20:6:27:27:23:24:26:25:2:8:0:18:27:20:20:21:25:3:3:23:27:24:28:29:29:28:27:30:30:13:28:31:27:28:22:9:21:14:16:30:19:0:31:7:25:9:13:25:18:7:32:26:23:27:24:32:11:26:19:28:20:21:29:26:31:13:31:0:28:29:20:32:29:28:19:32:21:27:24:20:32:25:32:14:5:25:23:8:18:33:32:34:34:10:28:17:18:29:18:33:25:28:12:31:30:30:12:25:31:29:34:22:17:11:34:35:30:33:35:31:34:16:35:30:28:26:19:33:33:24:24:35:33:6:33:18:26:26:4:30:15:25:30:26:32:4:34:33:37:38:35:5:4:25:36:38:23:38:15:35:33:31:36:37:32:38:36:1:5
1623,0,38,0,426,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:2:1:4:4:5:5:5:6:5:0:2:4:0:4:6:4:5:3:6:4:2:6:3:7:7:1:4:0:3:4:1:6:0:6:8:8:8:4:1:9:2:9:1:4:7:7:3:5:9:8:7:3:8:7:10:11:10:8:6:9:12:3:11:12:12:12:7:12:5:0:10:7:9:11:13:11:3:13:10:11:6:12:7:8:11:8:10:7:8:9:11:7:13:10:1:13:12:10:6:13:10:8:14:10:15:9:14:10:15:14:16:15:7:14:12:5:13:16:15:5:16:7:10:14:13:15:2:0:16:16:15:13:17:14:5:16:12:1:17:17:16:14:9:16:6:10:15:11:9:6:5:16:5:7:6:11:14:18:18:19:20:20:17:18:19:21:6:19:21:21:1:16:17:21:13:20:19:18:20:12:7:13:3:15:4:13:22:19:5:11:11:8:22:6:21:14:21:19:14:23:23:11:23:21:7:22:17:18:8:21:5:23:23:24:24:17:17:20:9:18:9:11:22:20:16:15:18:19:1:14:14:13:0:25:8:25:26:24:15:2:25:22:18:26:17:20:14:13:22:12:22:20:9:12:20:11:27:27:23:24:26:25:2:8:0:18:26:20:20:21:25:3:3:23:16:24:28:29:29:28:27:30:30:13:28:31:27:28:22:9:21:14:16:30:19:0:31:7:24:9:31:25:15:0:32:26:23:27:24:30:11:26:13:32:11:27:29:7:22:18:31:0:31:29:20:10:29:28:19:23:21:27:24:20:32:26:32:24:26:25:19:15:12:33:32:12:34:10:34:27:18:29:29:33:25:28:12:31:30:19:30:4:17:32:4:17:22:5:13:35:30:33:35:34:34:16:35:30:28:28:34:25:33:28:17:35:33:34:33:18:26:26:4:30:35:25:30:11:20:31:34:33:37:38:35:5:4:25:37:38:23:26:15:37:38:31:38:35:32:35:4:33:16
1691,0,38,0,425,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:2:1:4:4:5:5:5:6:5:0:2:4:0:4:6:4:5:3:6:4:2:6:3:7:7:1:4:0:3:4:1:6:0:6:8:8:8:4:1:9:2:9:1:4:7:7:3:5:9:8:7:9:8:7:10:11:10:8:6:9:12:3:11:12:12:12:7:12:5:0:10:7:9:11:13:11:3:13:10:11:6:12:7:8:11:8:10:7:8:9:11:7:13:10:1:13:12:2:1:13:10:8:14:10:15:9:14:10:15:14:16:15:7:14:12:5:13:16:15:5:16:7:10:14:13:15:16:0:16:16:15:13:17:14:5:16:12:1:17:17:16:14:9:16:5:10:15:11:9:6:6:16:5:7:6:11:14:18:18:19:20:20:17:18:19:21:6:19:21:21:1:16:17:21:13:20:19:18:15:12:7:19:3:21:4:9:22:19:5:11:11:8:22:6:21:14:21:19:14:23:23:11:23:21:7:22:17:18:8:21:8:23:23:24:24:17:17:20:9:20:9:11:22:20:16:15:18:19:5:14:24:13:0:25:8:25:23:24:15:2:25:22:18:26:17:20:14:13:22:12:22:20:15:12:20:26:27:27:23:24:26:25:2:8:0:18:26:20:0:21:25:3:17:23:5:24:28:29:29:28:27:30:30:13:28:31:27:28:22:9:21:20:16:29:22:0:30:7:24:9:14:2:4:19:32:26:23:27:24:30:11:29:21:32:24:1:29:13:11:31:31:0:31:29:20:10:29:28:19:25:21:27:30:20:32:26:32:24:26:27:22:8:17:32:32:12:34:10:34:27:18:2:29:18:25:28:12:31:30:19:30:31:17:34:15:30:29:26:32:35:30:33:35:34:34:16:35:30:28:28:29:25:33:28:17:22:33:34:33:18:13:26:35:30:32:16:30:25:34:31:34:38:37:38:35:5:4:25:37:38:23:38:15:37:38:31:38:35:32:22:4:26:10
1696,0,38,0,424,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:2:1:4:4:5:5:5:6:5:0:2:4:0:4:6:4:5:3:6:4:2:6:3:7:7:1:4:0:3:4:1:6:0:6:8:8:8:4:1:9:2:9:1:4:7:7:3:5:9:8:7:9:8:7:10:11:10:8:6:9:12:3:11:12:12:12:7:12:5:0:10:7:9:11:13:11:3:13:10:11:6:12:7:8:11:8:10:7:0:9:11:7:13:10:1:13:12:2:1:13:10:8:14:10:15:9:14:10:15:14:16:15:7:14:12:5:13:16:15:5:16:7:10:14:13:15:16:0:16:16:15:13:17:14:5:16:12:1:17:17:16:14:9:16:5:10:15:11:9:6:6:16:5:7:6:11:14:18:18:19:20:20:17:18:19:21:6:19:21:21:1:16:17:21:13:20:19:18:15:12:7:19:3:21:4:9:22:19:5:11:11:8:22:6:21:14:21:19:14:23:23:11:23:21:7:22:17:18:8:21:8:23:23:24:24:17:17:20:9:20:9:11:22:20:16:15:18:19:5:14:24:13:0:25:8:25:23:24:15:2:25:22:18:26:17:20:14:13:22:12:22:20:15:12:20:26:27:27:23:24:26:25:2:8:0:18:26:20:0:21:25:3:17:23:5:24:28:29:29:28:27:30:30:13:28:32:27:28:22:9:21:20:16:29:22:0:30:7:24:9:14:2:4:19:32:26:23:27:24:30:11:29:21:32:24:1:29:13:11:0:31:0:31:29:20:10:29:28:19:25:21:27:30:20:32:26:32:24:26:27:22:8:17:32:32:12:34:10:34:27:18:2:29:18:25:28:12:31:30:32:30:31:17:34:15:30:29:26:32:35:30:33:35:34:34:16:35:30:28:28:29:25:33:28:17:22:33:34:33:18:13:26:35:30:32:16:30:25:34:31:34:38:37:38:35:5:4:25:37:38:23:38:15:34:38:31:38:35:32:22:4:26:10
1791,0,38,0,423,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:2:1:4:4:5:5:5:6:5:0:2:4:0:4:6:4:5:3:6:4:2:6:3:7:7:1:4:0:3:4:6:6:0:6:8:8:8:4:1:9:2:9:1:4:7:7:3:5:9:3:7:9:2:4:10:11:10:8:6:9:12:3:11:12:12:12:7:12:5:1:10:7:9:2:13:11:3:13:10:11:6:12:7:8:11:8:10:7:0:9:11:7:13:10:1:13:12:2:1:13:12:8:14:10:15:9:14:10:15:14:16:15:7:14:12:5:13:16:15:5:16:7:10:14:13:15:16:0:16:16:15:13:17:14:5:16:12:1:17:17:16:14:9:16:9:10:15:11:9:6:6:13:5:7:6:11:4:18:18:19:20:20:17:18:19:21:6:19:21:21:1:16:17:21:13:20:19:18:15:19:7:19:3:21:3:9:22:19:5:11:11:8:22:6:21:14:21:19:14:23:13:11:23:21:7:22:17:0:8:21:15:23:23:24:24:17:17:20:9:0:9:11:19:20:14:15:18:19:5:14:24:24:0:25:8:25:23:24:26:2:25:22:18:26:17:20:14:13:24:12:22:20:15:12:20:6:27:27:23:24:26:25:15:8:0:18:26:20:17:21:25:3:13:15:26:24:28:26:19:28:27:30:30:13:28:32:27:28:22:30:21:20:16:32:22:3:30:7:17:9:13:13:5:32:32:26:23:27:24:10:11:26:29:32:24:30:29:21:11:0:31:0:31:29:20:10:29:28:31:25:21:23:30:20:30:25:32:24:5:8:16:8:15:32:22:12:34:10:34:27:18:2:29:18:25:28:12:31:30:32:12:31:17:34:15:30:29:26:22:35:31:33:35:34:34:16:29:30:28:28:29:25:33:28:17:22:33:34:17:33:33:27:4:30:31:32:15:7:15:31:34:33:37:38:35:5:4:25:37:38:25:38:15:34:24:31:38:12:18:22:38:1:38
1805,0,37,0,422,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:2:1:4:4:5:5:5:6:5:0:2:4:0:4:6:4:5:3:6:4:2:6:3:7:7:1:4:0:3:4:6:6:0:6:8:8:8:4:1:9:2:9:1:4:7:7:3:5:9:3:7:9:2:4:10:11:10:8:6:9:12:3:11:12:12:12:7:12:5:1:10:7:9:2:13:11:3:13:10:11:6:12:7:8:11:8:10:7:0:9:11:7:13:10:1:13:12:2:1:13:12:8:14:10:15:9:14:10:15:14:16:15:7:14:12:5:13:16:15:5:16:7:10:14:13:15:16:0:16:16:15:13:17:14:5:16:12:1:17:17:16:14:9:16:5:10:15:11:9:6:6:13:5:7:6:11:4:18:18:19:20:20:17:18:19:21:6:19:21:21:1:16:17:21:13:20:19:18:15:19:7:19:11:21:3:9:22:19:5:11:11:8:22:6:21:14:21:19:14:23:13:11:23:21:7:22:17:0:8:21:15:23:23:24:24:17:17:20:9:0:9:11:19:20:14:15:18:19:5:14:24:24:0:25:8:25:23:24:26:2:25:22:18:26:17:20:14:13:24:12:4:20:15:12:20:6:27:27:23:24:26:25:15:8:0:18:26:20:17:21:25:3:13:15:8:24:28:26:19:28:27:30:30:13:28:32:27:28:22:30:21:20:16:32:2:3:30:7:17:9:13:13:5:32:32:26:23:27:24:10:11:26:29:32:24:30:29:21:29:8:31:0:31:29:20:10:29:28:31:25:21:23:30:20:30:25:32:24:5:8:16:24:15:32:22:12:34:10:34:27:18:2:29:18:25:28:12:31:30:32:12:31:17:34:15:30:29:26:22:35:31:33:35:34:34:16:29:30:28:28:29:25:33:28:17:22:33:34:17:33:33:27:4:30:31:32:15:7:30:18:34:33:22:38:35:5:4:25:38:38:25:35:15:34:24:31:38:12:18:26:38:1:38
1842,0,37,0,421,0:1:2:0:2:1:3:3:1:2:3:2:3:0:4:1:4:5:1:2:1:4:4:5:5:5:6:5:0:2:4:0:4:6:4:5:3:6:4:2:6:3:7:7:1:4:0:3:4:6:6:0:6:8:8:8:4:1:9:2:9:1:4:7:7:3:5:9:3:7:9:9:5:10:11:10:8:6:9:12:3:11:12:12:12:7:12:5:1:10:7:9:2:13:11:3:13:10:11:6:12:7:8:11:8:10:7:0:9:11:7:13:10:1:13:12:2:4:13:11:1:14:10:15:9:14:10:15:14:16:15:7:14:12:5:13:16:15:5:16:7:10:14:13:15:16:0:16:16:15:13:17:14:5:16:12:1:17:17:16:14:9:16:5:10:15:11:9:6:6:13:5:7:15:11:4:18:18:19:20:20:17:18:19:21:6:19:21:21:1:16:17:21:13:20:19:18:15:19:7:19:11:21:4:9:22:19:5:11:11:8:22:6:21:14:21:19:14:23:13:11:23:21:7:22:17:0:8:21:18:23:23:24:24:17:17:20:9:0:9:11:19:20:14:15:18:19:5:14:24:1:0:25:8:25:23:24:26:2:25:22:18:26:23:20:14:13:24:12:4:20:15:12:20:6:27:27:23:24:26:25:15:8:0:18:26:25:19:15:25:3:13:23:8:24:28:26:19:28:27:30:30:13:28:32:27:28:22:30:21:20:16:32:2:3:9:7:17:9:13:13:30:14:32:26:23:27:24:10:11:26:29:32:24:30:29:7:22:8:31:0:31:26:20:10:29:28:31:25:21:23:30:20:30:25:32:24:5:8:27:24:15:32:22:12:34:10:26:27:18:2:29:18:25:28:12:31:30:32:26:31:17:34:15:23:31:5:19:22:31:33:32:34:34:16:29:30:28:28:29:33:33:28:17:22:33:34:17:33:33:27:4:30:17:32:14:7:30:18:34:33:22:38:35:5:4:25:38:38:25:35:15:35:24:38:38:35:18:26:38:6:11
