#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 06:45:44,wvcp,miles1000,local_search,3,431,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,46,0,457,0:1:1:1:0:2:2:0:3:4:5:6:5:7:8:9:7:10:6:11:6:9:10:4:8:12:13:14:14:7:15:16:17:13:18:17:16:19:15:19:16:6:20:21:18:11:3:10:22:22:23:19:24:24:25:24:26:11:27:28:29:26:25:30:31:32:32:33:34:26:29:35:36:37:31:36:30:0:12:38:39:40:41:33:21:42:43:44:41:40:45:42:35
46,0,46,0,450,0:1:0:1:0:2:2:0:3:4:5:6:5:7:8:9:7:10:9:11:6:9:10:3:0:12:13:14:14:4:15:16:17:13:18:12:6:16:15:17:16:16:20:21:18:8:11:2:22:22:23:11:24:4:25:14:26:24:27:28:29:24:28:30:31:32:33:33:34:19:33:35:36:37:30:32:34:29:31:38:39:40:41:10:19:42:43:44:44:37:45:41:17
47,0,46,0,448,0:1:0:1:0:2:2:0:3:4:5:6:5:7:8:9:7:10:9:11:6:9:10:3:0:12:13:14:14:4:15:16:17:13:18:12:6:16:15:17:16:16:20:21:18:8:11:2:22:22:23:11:24:4:25:14:26:24:27:28:29:24:28:30:31:32:33:33:34:26:33:35:36:37:30:32:34:29:31:38:39:40:41:10:19:42:43:44:44:37:45:41:17
48,0,45,0,447,0:1:0:1:0:2:2:0:3:4:5:6:5:7:8:9:7:10:9:11:6:9:10:3:0:12:13:14:14:4:15:16:17:13:18:12:6:16:15:17:16:16:20:21:18:8:11:2:22:22:23:11:24:4:25:14:26:24:27:28:29:24:28:30:31:32:33:33:34:26:33:35:36:37:30:32:34:29:31:38:39:40:41:10:19:42:43:44:44:37:19:41:17
49,0,45,0,445,0:1:0:1:0:2:2:0:3:4:5:6:5:7:8:9:7:10:9:11:6:9:10:3:0:12:13:14:14:4:15:16:17:13:18:12:6:16:15:17:16:16:20:21:18:8:11:2:22:22:23:11:24:4:25:14:26:24:27:28:29:24:28:30:31:32:33:33:34:26:33:35:36:37:30:32:34:29:31:38:39:40:41:10:21:42:43:44:44:37:19:41:17
53981,1,45,0,444,0:1:1:1:0:2:2:0:3:4:5:6:5:16:8:9:7:10:9:43:6:9:10:3:43:30:13:14:14:7:15:16:37:13:18:30:6:16:15:37:41:41:20:41:18:30:8:4:31:31:23:37:38:40:40:14:7:0:27:28:17:33:38:26:44:34:26:33:42:10:43:32:12:25:38:34:12:17:28:22:21:11:24:33:32:46:47:36:24:47:19:45:45
53997,1,45,0,443,0:1:0:1:0:2:2:0:3:4:5:6:5:16:8:9:7:10:16:43:6:9:10:3:8:30:13:14:14:7:15:16:37:13:18:30:6:16:15:37:41:41:20:41:18:30:8:20:31:31:23:37:38:4:40:14:7:38:27:28:17:33:2:26:44:34:34:33:42:33:43:32:12:25:38:34:12:25:28:22:21:11:24:1:32:46:47:36:24:47:19:36:45
54005,1,45,0,442,0:1:0:1:0:2:2:0:3:4:5:6:5:16:8:9:7:10:16:43:6:9:10:0:8:30:13:14:14:7:15:16:37:13:18:30:6:16:15:37:41:41:20:41:18:30:4:20:31:31:23:37:38:4:40:14:7:38:27:28:17:38:2:26:44:34:34:33:42:33:43:32:12:25:44:34:40:25:28:22:21:11:24:1:32:46:47:36:42:47:19:36:45
54013,1,44,0,441,0:1:0:1:0:2:2:0:3:4:5:6:5:16:8:9:7:10:16:43:6:9:10:0:8:30:13:14:14:10:15:16:37:13:18:43:6:16:15:37:41:41:20:41:18:30:4:20:31:31:23:37:38:4:40:14:7:38:27:28:17:38:2:26:44:34:34:33:42:33:44:32:12:25:44:34:40:25:28:22:21:11:24:1:23:46:47:36:42:47:19:36:32
54424,1,44,0,440,0:1:0:1:0:2:2:0:3:4:5:6:5:16:8:9:38:10:9:43:6:9:10:0:38:30:13:14:14:8:15:16:37:13:18:30:6:16:15:37:41:10:20:41:18:16:3:20:31:31:23:43:38:4:40:14:45:38:27:28:17:45:28:26:44:34:44:35:42:10:44:7:12:25:34:43:17:34:40:22:21:11:33:1:23:46:47:36:33:47:19:12:7
333967,10,44,0,439,0:1:0:1:0:2:2:0:31:21:5:6:5:16:8:9:4:10:9:45:13:9:10:31:13:35:16:14:14:21:15:6:37:13:13:45:6:16:15:37:17:8:38:17:18:45:35:10:36:36:24:1:4:21:11:14:40:37:27:33:39:18:31:43:22:19:22:3:30:10:19:41:12:44:43:30:44:11:12:25:46:7:20:3:24:28:34:47:34:47:23:39:41
387535,12,43,0,438,0:1:1:1:0:2:2:0:31:28:45:6:12:16:8:9:24:10:12:34:13:12:10:8:31:18:16:14:14:24:15:6:12:13:13:9:6:16:15:43:17:6:38:17:43:18:31:10:36:36:46:34:24:28:25:14:44:0:27:33:5:44:2:39:11:45:11:47:22:47:25:21:35:37:47:34:39:44:33:41:32:42:40:10:46:20:19:4:37:40:26:22:21
387926,12,43,0,436,0:1:0:1:0:2:2:0:31:28:24:6:12:16:8:9:45:10:8:34:13:9:10:12:45:18:16:14:14:2:15:6:12:13:13:18:6:16:15:12:17:6:38:17:43:18:31:43:36:36:46:1:24:28:25:14:45:24:27:33:5:21:38:30:11:21:11:22:39:21:22:40:35:37:22:5:30:45:34:41:32:42:44:10:46:20:47:3:47:32:26:20:40
388500,12,43,0,435,0:1:0:1:0:2:2:0:31:28:24:6:12:16:8:9:45:10:8:34:13:9:10:12:10:18:16:14:14:8:15:6:12:13:13:10:6:16:15:12:17:17:38:17:43:31:38:34:36:36:46:34:24:28:25:14:45:1:27:33:5:43:28:42:11:21:32:32:39:21:5:35:20:37:21:11:25:38:2:41:19:44:40:32:46:4:22:3:40:39:26:22:35
116726398,12,43,0,435,0:1:1:1:0:2:2:0:44:42:28:6:45:10:8:36:9:11:8:13:5:36:9:45:0:21:10:6:14:44:15:14:45:5:5:11:14:10:15:45:41:13:26:41:4:21:26:2:16:16:40:13:28:42:39:6:11:28:27:20:32:4:20:3:22:35:17:17:31:35:39:12:34:38:35:3:32:0:31:24:25:29:43:9:40:37:7:47:38:24:33:34:12
#2022-10-12 07:45:45
