#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 06:45:53,wvcp,mulsol.i.5,local_search,17,367,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,35,0,378,0:1:1:2:3:4:5:5:4:3:3:2:5:4:3:4:0:6:7:8:4:7:9:10:9:5:11:3:5:4:8:3:12:13:9:4:5:6:11:14:15:16:17:5:8:0:15:6:13:18:19:7:4:14:0:16:20:18:4:10:3:21:20:22:15:17:12:14:15:6:19:22:23:24:0:3:15:24:22:23:21:25:25:16:26:26:27:17:28:29:18:30:31:28:26:32:33:33:34:34:32:5:4:15
7,0,34,0,375,0:1:1:2:3:4:5:5:4:3:3:2:5:4:3:4:0:6:7:8:4:7:9:10:9:5:11:3:5:4:8:3:12:13:9:4:5:6:11:14:15:16:17:5:8:0:15:9:13:18:19:7:15:14:0:16:20:0:4:10:3:21:20:22:3:17:12:14:8:6:19:22:23:24:0:3:15:24:22:23:21:25:25:16:26:26:27:17:28:4:18:30:31:28:26:32:33:33:34:34:32:5:28:15
30,0,33,0,374,0:1:1:2:3:4:5:5:0:0:3:2:5:4:4:4:1:6:7:8:4:1:9:10:3:5:11:3:5:4:6:4:12:13:9:4:5:8:11:14:15:16:17:5:8:0:15:9:13:18:19:7:15:17:7:16:20:0:0:10:3:21:20:22:3:7:12:14:8:6:19:22:23:24:9:15:15:24:22:23:21:25:25:18:26:26:27:17:28:4:0:30:31:28:26:32:33:33:18:32:30:24:28:8
52,0,33,0,373,0:1:1:2:3:4:5:5:0:0:0:2:5:4:4:4:1:6:7:8:4:1:9:10:4:5:11:8:5:4:6:4:12:13:9:4:5:8:11:14:15:16:17:5:3:3:16:15:13:30:19:7:15:17:7:16:20:6:0:10:4:21:20:22:8:22:12:14:8:3:19:22:23:24:9:15:24:15:14:23:21:25:25:7:27:26:27:17:28:4:0:30:31:31:27:32:33:33:18:32:26:24:10:8
53,0,33,0,372,0:1:1:2:3:4:5:5:0:0:0:2:5:4:4:4:1:6:7:8:4:1:9:10:4:5:11:8:5:4:6:4:12:13:9:4:5:8:11:14:15:16:17:5:3:3:16:15:13:28:19:7:15:17:7:16:20:6:0:10:4:21:20:22:8:22:12:14:8:3:19:22:23:24:9:15:24:15:14:23:21:25:25:7:27:26:27:17:28:4:0:30:31:31:27:32:33:33:18:32:26:24:10:8
103,0,32,0,371,0:1:1:2:3:4:5:4:0:3:1:2:5:4:0:4:4:6:7:8:4:3:9:10:6:5:11:6:5:4:0:8:12:13:9:4:5:3:11:14:15:16:17:5:16:15:3:4:13:28:19:7:0:28:16:16:20:15:7:10:3:21:20:22:9:9:12:14:0:6:19:22:23:24:8:8:3:8:0:23:21:25:25:24:27:26:27:17:28:4:15:30:31:31:30:32:33:26:24:33:32:30:31:3
131,0,32,0,370,0:1:1:2:3:4:5:4:3:0:1:2:5:4:4:4:4:6:7:8:4:1:9:10:1:5:11:6:5:4:8:6:12:13:9:4:5:7:11:14:15:16:17:5:9:15:3:7:13:28:19:7:15:8:14:16:20:15:7:10:3:21:20:22:8:1:12:14:15:3:19:22:23:30:4:8:6:0:22:23:21:25:25:28:27:26:27:17:28:4:3:30:31:31:27:32:33:26:24:33:32:4:24:6
158,0,32,0,369,0:1:1:2:3:4:5:5:3:0:3:2:5:4:1:0:4:6:7:8:4:3:9:10:0:5:11:8:5:4:8:6:12:13:9:4:5:3:11:14:15:16:17:5:9:8:0:4:13:28:19:7:15:3:6:16:20:8:6:10:3:21:20:22:8:4:12:14:6:3:19:22:23:26:14:0:6:0:15:23:21:25:25:28:27:26:27:17:28:4:3:30:31:31:27:32:33:33:24:24:32:31:5:15
216,0,31,0,367,0:1:1:2:3:4:5:4:0:3:0:2:5:4:4:1:1:6:7:8:4:0:9:10:8:5:11:8:5:4:8:3:12:13:9:4:5:4:11:14:15:16:17:5:15:0:17:8:13:28:19:7:0:16:3:17:20:0:9:10:4:21:20:22:9:1:12:14:0:8:19:22:23:26:8:15:3:8:7:23:21:6:25:14:27:26:27:25:4:16:15:28:31:31:27:32:33:33:24:24:32:27:3:8
216,0,31,0,367,0:1:1:2:3:4:5:4:0:3:0:2:5:4:4:1:1:6:7:8:4:0:9:10:8:5:11:8:5:4:8:3:12:13:9:4:5:4:11:14:15:16:17:5:15:0:17:8:13:28:19:7:0:16:3:17:20:0:9:10:4:21:20:22:9:1:12:14:0:8:19:22:23:26:8:15:3:8:7:23:21:6:25:14:27:26:27:25:4:16:15:28:31:31:27:32:33:33:24:24:32:27:3:8
#2022-10-12 06:45:53
