#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 06:46:53,wvcp,myciel6gb,local_search,0,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,10,0,134,0:0:0:0:0:0:0:1:1:1:1:0:0:0:1:2:2:1:0:0:3:3:3:1:1:2:2:4:3:3:1:3:0:4:4:3:4:1:3:5:5:0:5:5:4:6:6:5:0:4:4:5:1:2:6:5:3:4:7:5:7:1:7:6:1:1:4:0:0:5:5:8:7:3:7:3:8:8:9:7:3:8:4:9:6:6:1:9:7:6:7:9:1:6:0
8,0,10,0,133,0:0:0:0:0:0:0:1:1:1:1:0:0:0:1:2:2:1:0:0:3:3:1:1:1:2:2:3:3:3:1:3:0:4:4:3:4:1:3:5:5:0:5:5:4:6:6:5:0:4:4:5:1:2:6:5:3:4:7:5:7:1:7:0:0:1:6:0:0:5:5:8:7:3:7:8:7:8:9:7:3:8:4:9:3:6:1:9:7:6:7:9:1:6:0
59,0,10,0,131,0:0:0:0:0:0:0:1:1:1:1:0:0:0:1:2:2:1:0:0:3:3:1:0:0:2:2:3:3:3:1:3:0:4:4:3:4:1:3:5:5:0:5:3:4:6:6:5:1:2:4:5:1:2:0:1:3:4:7:1:7:5:7:0:6:1:6:5:6:6:0:5:7:5:7:6:3:8:9:4:9:3:8:3:5:6:2:1:8:6:9:8:6:4:0
60,0,10,0,130,0:0:0:0:0:0:0:1:1:1:1:0:0:0:1:2:2:1:0:0:3:3:1:0:0:2:2:3:3:3:1:3:0:4:4:3:4:1:3:5:5:0:5:3:4:6:6:5:1:2:4:5:1:2:0:1:3:4:7:1:7:5:7:0:6:1:6:5:6:6:0:5:7:5:7:6:3:6:9:4:9:3:8:3:5:6:2:1:8:6:9:8:6:4:0
61,0,10,0,129,0:0:0:0:0:0:0:1:1:1:1:0:0:0:1:2:2:1:0:0:3:3:1:0:0:2:2:3:3:3:1:3:0:4:4:3:4:1:3:5:5:0:5:3:4:6:6:5:1:2:4:5:1:2:0:1:3:4:7:1:7:5:7:0:6:1:6:5:6:6:0:5:7:5:7:6:3:6:9:4:9:3:9:3:5:6:2:1:8:6:9:8:6:4:0
62,0,10,0,128,0:0:0:0:0:0:0:1:1:1:1:0:0:0:1:2:2:1:0:0:3:3:1:0:0:2:2:3:3:3:1:3:0:4:4:3:4:1:3:5:5:0:5:3:4:6:6:5:1:2:4:5:1:2:0:1:3:4:7:1:7:5:7:0:6:1:6:5:6:6:0:5:7:5:7:6:3:6:9:4:9:3:9:3:5:6:2:1:7:6:9:8:6:4:0
63,0,9,0,127,0:0:0:0:0:0:0:1:1:1:1:0:0:0:1:2:2:1:0:0:3:3:1:0:0:2:2:3:3:3:1:3:0:4:4:3:4:1:3:5:5:0:5:3:4:6:6:5:1:2:4:5:1:2:0:1:3:4:7:1:7:5:7:0:6:1:6:5:6:6:0:5:7:5:7:6:3:6:9:4:9:3:9:3:5:6:2:1:7:6:9:5:6:4:0
112,0,8,0,123,0:0:0:0:0:0:0:1:1:1:1:1:0:1:0:2:2:1:0:0:3:3:1:0:0:3:2:3:3:3:1:3:0:4:4:3:4:1:3:5:5:0:5:5:4:6:1:0:0:2:4:3:1:2:5:1:0:4:7:5:7:1:7:1:6:1:0:0:6:6:5:5:7:0:2:5:7:6:5:4:7:6:3:7:0:6:7:0:3:1:6:5:6:4:0
252,0,8,0,122,0:0:0:0:0:0:0:1:1:1:1:0:0:1:0:2:2:1:0:1:3:3:1:0:0:2:1:3:3:0:3:1:3:4:4:3:4:1:0:1:1:0:3:0:4:6:5:3:0:2:6:3:1:1:4:6:3:4:1:1:7:6:6:7:0:1:0:6:0:7:0:3:7:5:7:5:6:6:5:7:0:0:4:0:0:7:2:5:1:1:6:5:1:6:1
253,0,8,0,115,0:0:0:0:0:0:0:1:1:1:1:0:0:1:0:2:2:1:0:1:3:3:1:0:0:2:1:3:3:0:3:1:3:4:4:3:4:1:0:1:1:0:3:0:4:6:1:3:0:2:6:3:1:1:4:6:3:4:1:1:7:6:6:7:0:1:0:6:0:7:0:3:7:5:7:5:6:6:5:7:0:0:4:0:0:7:2:5:1:1:6:5:1:6:1
