#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 06:49:15,wvcp,myciel7g,local_search,1,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,12,0,43,0:0:0:1:1:0:1:2:0:1:1:1:2:2:3:3:2:3:3:2:1:1:3:3:0:1:2:1:1:2:3:3:2:1:2:2:2:3:1:3:3:4:4:4:0:3:3:3:5:5:5:2:4:0:5:3:6:1:6:6:1:5:3:5:6:4:3:3:5:1:2:2:5:6:6:3:2:1:5:7:7:4:7:0:0:7:7:4:8:0:6:1:8:2:2:8:1:0:3:8:8:1:6:8:3:8:1:3:3:6:1:6:5:5:1:8:9:9:9:9:9:7:10:10:10:0:8:6:6:10:5:1:7:7:10:9:10:7:8:6:8:8:2:3:1:10:10:3:2:6:2:6:7:6:7:11:11:7:9:2:9:10:11:9:8:4:5:7:2:4:11:10:5:11:11:1:6:5:5:1:1:10:11:1:6:3:8:11:5:5:2
1745,0,12,0,42,0:0:0:1:1:0:1:2:0:1:2:1:2:2:3:1:2:1:3:0:2:1:2:3:0:3:0:1:2:1:3:1:1:1:1:2:2:3:1:3:2:4:4:2:4:3:0:6:6:4:1:0:2:0:5:3:6:2:6:3:6:2:3:6:6:5:3:3:0:3:3:5:5:1:6:3:3:6:5:7:7:4:7:0:0:7:7:4:5:4:6:7:1:7:1:5:3:5:6:5:5:7:7:5:3:5:5:3:1:2:2:7:2:1:2:3:9:9:9:9:9:7:10:6:1:8:9:0:10:10:5:8:7:10:8:5:9:3:8:2:10:10:4:2:3:6:1:10:10:5:2:2:7:0:7:11:11:0:1:5:0:8:11:9:5:2:3:8:2:1:8:8:2:8:2:10:3:10:5:2:10:10:5:5:10:3:2:8:11:11:6
2566,0,12,0,41,0:0:0:1:1:0:1:2:0:1:2:1:2:2:3:3:2:1:3:0:2:1:2:3:0:1:0:3:3:2:2:3:3:1:2:3:2:2:3:3:3:4:4:2:0:3:0:1:6:2:1:3:6:3:5:6:6:6:4:0:5:2:1:3:4:5:3:5:0:1:2:5:6:3:5:5:5:6:2:7:7:4:7:0:4:7:7:4:5:5:3:6:1:7:1:5:6:5:3:5:5:2:6:5:3:6:5:6:3:2:1:7:5:5:1:5:9:9:4:9:9:7:4:8:1:5:9:7:6:1:1:1:7:6:6:1:8:6:1:0:5:1:2:3:3:9:6:2:0:5:5:5:7:0:8:6:4:7:10:11:8:10:6:11:11:3:3:3:5:4:8:5:11:0:11:10:3:2:1:11:2:11:8:8:3:10:11:8:5:8:11
2672,0,12,0,40,0:0:0:1:1:0:1:2:0:1:2:1:2:2:3:3:2:1:3:0:2:1:2:3:0:1:0:3:3:2:2:3:3:3:2:3:2:3:3:3:3:4:4:2:0:3:0:1:6:2:1:3:4:3:5:6:3:6:5:0:5:2:1:3:4:5:3:5:0:6:3:6:2:6:5:5:5:6:1:7:7:4:7:0:4:7:7:4:5:5:3:6:1:2:1:5:6:5:3:5:5:2:7:3:5:6:6:3:2:2:1:7:6:5:6:5:9:9:4:9:5:7:4:6:1:9:9:0:6:1:1:1:7:6:6:5:1:6:1:0:2:3:4:5:3:6:1:6:3:5:5:5:7:9:8:6:4:7:1:10:8:11:8:11:11:3:3:11:1:2:10:6:11:3:6:6:3:2:6:11:11:10:3:10:8:11:11:3:6:1:5
2721,0,11,0,39,0:0:0:1:1:0:1:2:0:1:2:1:2:2:3:3:2:1:3:0:2:1:2:3:0:1:2:3:3:2:2:3:3:3:2:3:2:3:3:3:3:4:4:2:0:3:0:1:6:2:5:3:4:3:5:6:6:1:5:0:5:2:3:3:4:5:2:3:0:6:2:6:2:5:3:6:5:1:1:7:7:4:7:0:4:7:7:4:5:5:3:6:1:2:1:5:6:5:3:5:5:2:7:0:5:6:6:3:2:2:3:7:2:2:3:5:9:9:4:9:5:7:4:6:1:5:9:0:6:1:1:1:7:6:6:5:1:7:1:0:2:5:6:5:6:6:2:6:3:5:5:5:7:11:6:6:10:7:1:10:0:7:11:6:2:3:3:11:1:5:10:5:11:3:6:1:3:10:6:1:11:11:2:2:6:3:2:3:6:11:5
2886,0,10,0,38,0:0:0:1:1:0:1:2:0:1:2:1:2:2:3:3:2:3:3:0:1:2:2:3:0:1:2:3:3:2:1:3:3:3:1:1:2:2:3:3:1:4:4:2:0:3:0:1:6:2:5:3:2:3:5:6:6:6:4:3:6:6:1:3:4:5:2:6:5:6:2:6:1:5:1:2:6:3:1:7:7:4:7:0:0:6:7:4:5:4:3:7:1:2:1:5:1:5:3:5:5:1:7:5:5:5:5:3:2:3:3:5:3:5:1:3:9:9:4:9:9:7:4:6:1:9:9:0:4:1:1:1:7:6:6:5:1:6:3:2:2:1:5:5:3:6:5:6:5:3:5:3:1:11:6:6:4:0:9:4:0:7:5:5:2:3:11:11:1:4:5:6:2:3:6:1:9:1:1:2:6:0:11:11:2:11:5:3:2:3:5
3073,0,10,0,37,0:0:0:1:1:0:1:2:0:1:2:1:2:2:3:1:2:3:3:0:1:2:2:3:0:1:2:1:3:1:2:3:2:3:2:1:2:3:3:3:1:4:4:2:0:3:0:1:6:2:1:3:4:3:6:6:3:1:4:3:6:2:1:3:6:4:3:3:3:3:6:3:1:6:1:6:6:3:6:7:7:4:7:0:4:6:7:4:5:4:3:6:1:7:1:4:6:0:3:5:5:7:2:3:3:1:5:5:1:2:7:3:3:1:6:3:9:9:4:9:9:7:4:6:1:5:9:0:4:7:1:1:7:7:6:6:1:6:1:2:2:5:5:3:6:5:6:6:5:1:3:2:7:3:11:6:11:7:7:5:5:11:6:11:2:6:9:1:1:1:11:6:2:11:3:6:9:5:11:2:1:11:3:3:2:2:5:11:1:1:5
4293,0,10,0,36,0:0:0:1:1:0:1:2:2:1:2:1:2:2:3:3:3:1:3:0:1:2:2:3:0:1:2:3:3:1:3:1:2:3:1:1:3:1:1:3:3:4:4:2:0:1:3:1:6:2:1:0:6:0:6:6:6:4:4:3:1:2:6:6:6:2:3:6:0:1:2:6:1:3:6:3:3:6:1:7:7:2:7:0:0:7:4:4:1:2:3:7:1:2:1:4:1:6:2:4:1:7:7:0:3:1:6:6:1:2:1:7:2:4:2:2:9:9:9:9:5:3:4:6:1:5:9:0:6:1:1:7:7:6:6:5:9:7:1:2:2:5:6:5:3:5:1:1:5:5:5:6:1:3:7:6:4:0:1:5:0:11:5:6:2:4:9:11:5:5:11:5:5:3:11:1:3:6:2:1:2:3:6:6:2:11:6:6:6:5:11
12304,0,9,0,35,0:0:0:1:1:0:1:2:2:1:2:1:2:2:3:3:2:3:3:0:1:2:2:3:0:1:0:3:2:1:3:3:2:1:1:1:3:1:1:3:1:4:4:2:0:1:3:1:6:4:1:0:2:3:2:3:3:6:6:6:1:2:3:3:6:2:2:3:3:3:2:6:3:6:6:6:6:1:3:7:0:4:7:0:0:7:7:4:1:4:3:7:4:2:6:4:1:3:2:6:6:6:0:2:3:6:2:3:1:2:1:7:6:6:2:6:9:1:4:5:9:3:5:5:1:9:4:9:5:1:1:7:9:7:6:6:3:9:6:3:2:1:6:2:5:5:2:3:3:5:3:5:9:3:9:2:2:9:1:4:9:6:9:5:6:6:3:7:1:6:5:2:9:0:3:3:3:5:5:7:6:5:6:9:6:1:3:6:3:3:5
18972,0,9,0,34,0:0:0:2:2:3:1:0:0:1:2:2:2:2:3:3:3:3:1:3:2:2:2:3:0:1:3:1:2:2:2:2:2:1:3:2:2:3:3:3:1:4:0:2:0:1:3:2:1:2:1:0:6:0:4:1:3:1:0:6:4:2:2:3:1:4:2:3:0:6:3:3:6:2:2:2:6:2:2:7:7:4:7:0:0:7:7:4:1:4:3:7:2:2:2:6:6:3:3:0:6:2:6:0:3:2:4:6:2:7:6:3:3:2:3:3:9:1:4:9:9:7:0:4:6:0:4:3:6:7:4:7:7:7:9:9:9:1:1:3:6:6:4:3:1:6:2:3:3:6:2:3:7:9:5:5:4:3:1:6:9:6:9:9:6:4:9:3:6:6:1:5:5:5:3:3:6:6:5:2:5:6:3:6:3:3:6:2:5:5:2
