#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 05:42:53,wvcp,p17,local_search,9,3281,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,7,0,3643,0:0:1:0:0:2:0:1:1:2:3:3:0:1:2:1:3:4:2:4:3:0:4:3:4:2:4:2:5:5:6:4:6:3:5:6:6
8,0,7,0,3590,0:0:1:0:0:2:0:1:1:2:3:3:0:1:2:1:3:4:1:2:3:0:4:4:4:2:4:2:5:4:5:5:3:3:5:5:6
58973,0,7,0,3575,0:0:1:1:0:2:0:2:1:2:3:3:2:1:2:0:3:7:2:7:3:0:7:7:7:1:7:2:3:0:5:5:1:3:5:5:4
99252465,354,7,0,3532,7:7:1:1:1:2:1:2:7:2:3:3:1:1:2:7:3:7:2:0:7:0:5:0:0:0:2:3:5:5:3:5:3:7:5:5:8
99252569,354,7,0,3519,7:7:1:1:1:2:1:2:2:2:3:3:1:1:2:7:3:7:2:7:3:0:5:0:0:0:2:5:5:5:6:6:3:3:6:6:5
99252572,354,7,0,3518,7:7:1:1:1:2:1:2:2:2:3:3:1:1:2:7:3:7:2:7:3:5:5:0:0:0:2:7:5:0:6:6:3:3:6:6:5
99252573,354,7,0,3511,7:7:1:1:1:2:1:2:2:2:3:3:1:1:2:7:3:7:2:7:3:5:5:3:0:0:2:7:5:0:6:6:3:3:6:6:5
99252575,354,7,0,3503,7:7:1:1:1:2:1:2:2:2:3:3:1:1:2:7:3:7:2:7:3:5:5:3:0:0:2:7:5:0:7:0:3:3:6:6:5
99252581,354,7,0,3458,7:7:1:1:1:2:1:2:2:2:3:3:1:1:2:7:3:7:2:7:3:5:5:3:0:0:2:7:5:5:7:0:3:0:5:5:8
99252640,354,7,0,3450,7:7:1:1:1:2:1:2:2:2:3:3:1:1:2:7:3:7:2:7:3:5:5:3:5:0:2:7:0:5:7:0:3:0:5:0:6
99272889,354,7,0,3448,7:7:1:1:1:2:7:1:2:2:3:3:1:1:2:7:3:7:2:7:3:5:5:5:5:2:8:3:3:5:8:8:8:7:5:8:6
1013936137,354,7,0,3448,7:7:1:1:1:2:7:1:2:2:3:3:1:1:2:7:3:7:2:7:3:4:4:4:4:2:5:3:5:4:5:5:3:7:4:5:6
#2022-10-12 06:42:54
