#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 07:26:53,wvcp,queen11_11,local_search,18,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,17,0,213,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:3:2:6:8:8:7:5:7:7:0:3:8:8:9:5:1:9:9:2:7:9:3:4:9:2:2:8:6:3:4:10:10:7:10:10:8:10:1:0:9:10:4:9:6:5:11:11:11:11:12:13:13:12:12:12:13:6:4:14:1:14:5:10:4:14:13:12:7:15:8:11:16:15:6:15:16:14:11:14:16:12:15:16:14:13:16:15:14:11:16:7:8:3:9
4,0,17,0,211,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:3:2:6:8:8:7:5:7:7:0:3:8:8:9:5:1:9:9:2:7:9:3:4:9:2:2:8:6:3:4:10:10:7:10:10:8:10:1:0:9:10:4:9:6:5:11:11:11:11:12:13:13:13:12:12:13:6:4:14:1:14:5:10:4:14:13:12:15:15:8:11:12:15:6:15:15:14:11:14:16:12:15:16:14:13:16:15:14:11:16:7:8:3:9
10,0,17,0,210,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:3:2:6:8:8:7:5:7:7:6:3:8:8:9:5:1:9:9:2:6:9:3:4:9:2:2:8:6:3:4:10:10:7:10:10:8:10:1:0:9:10:4:9:6:5:11:11:11:11:12:13:13:13:12:12:13:6:4:14:1:12:5:10:4:14:13:12:15:15:8:11:12:15:6:15:15:14:11:14:12:12:15:0:14:13:16:15:14:11:16:7:8:3:16
21,0,17,0,209,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:5:2:6:8:8:7:5:7:7:6:3:8:8:9:5:1:9:9:2:6:9:3:4:9:2:2:8:6:7:4:10:10:7:10:10:8:5:1:0:9:10:4:9:6:5:11:11:11:11:12:13:13:13:12:12:3:6:4:14:1:12:5:10:8:14:13:12:7:14:8:15:12:15:6:15:15:14:11:14:12:12:15:0:14:13:15:15:14:9:16:7:10:3:16
22,0,17,0,208,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:5:2:6:8:8:7:5:7:7:6:3:8:8:9:5:1:9:9:2:6:9:3:4:9:2:2:8:6:7:4:10:10:7:10:10:8:5:1:0:9:10:4:9:6:5:11:11:11:11:12:13:13:13:12:12:3:6:4:14:1:12:5:10:8:14:13:12:7:14:8:11:12:15:6:15:15:14:11:14:12:12:15:0:14:13:15:15:14:9:16:7:10:3:16
25,0,16,0,207,0:1:1:0:0:1:1:2:0:2:3:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:5:2:6:8:8:7:5:7:7:6:3:8:8:9:5:1:9:9:2:6:9:3:4:9:2:2:8:6:7:4:10:10:7:10:10:8:5:1:0:9:10:4:9:6:5:11:11:11:11:12:13:13:13:12:12:3:6:4:0:1:12:5:10:8:14:13:12:7:14:8:11:12:15:6:15:15:14:11:14:12:12:15:0:14:13:15:15:14:9:13:7:10:3:13
120,0,16,0,206,0:1:1:0:0:1:1:2:0:2:5:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:5:2:6:8:8:7:5:7:1:2:3:8:8:9:5:1:9:9:2:6:9:7:4:9:3:2:8:6:3:7:10:8:7:10:10:7:5:10:0:9:10:4:9:6:5:11:11:13:10:12:11:13:3:12:12:13:6:4:3:1:12:13:10:4:8:8:11:13:14:14:11:12:15:6:15:15:14:11:14:12:12:14:13:14:0:15:15:13:11:13:7:10:15:9
125,0,16,0,205,0:1:1:0:0:1:1:2:0:2:5:4:2:1:4:3:2:5:0:5:4:0:6:5:4:6:7:5:2:3:8:8:7:5:7:1:2:3:8:8:9:5:1:9:9:2:6:9:7:4:6:3:2:8:6:3:7:10:8:7:10:10:7:5:10:0:9:10:4:9:6:5:11:11:13:10:6:11:13:3:12:12:13:6:4:3:1:12:13:10:4:8:8:11:13:14:14:11:12:15:6:15:15:14:11:14:12:12:14:0:14:0:12:15:13:11:13:7:10:15:9
170,0,16,0,204,0:1:1:0:0:1:1:2:0:2:5:4:2:3:4:3:2:5:0:5:4:0:6:1:4:6:7:5:3:3:8:8:7:5:6:7:4:3:8:8:9:5:1:9:9:2:6:9:7:4:9:3:2:8:6:3:7:4:8:7:3:10:7:5:1:0:9:3:4:2:10:5:11:11:13:13:6:10:13:11:12:12:10:6:12:0:6:12:13:10:4:8:8:12:13:15:11:2:12:15:13:15:15:12:10:14:15:12:14:0:9:14:14:14:11:10:13:7:8:15:9
209,0,16,0,203,0:1:1:0:0:1:1:2:0:2:5:4:2:3:4:3:2:5:0:5:4:0:6:5:4:6:7:5:3:3:8:8:7:5:6:7:4:3:8:8:9:5:1:9:9:2:4:9:7:4:9:3:2:8:6:3:7:10:10:7:3:10:7:5:0:0:9:3:4:2:10:5:11:11:13:1:6:10:13:11:11:12:13:6:4:0:6:12:1:10:8:4:8:11:15:15:11:15:12:15:7:15:15:13:12:12:12:7:15:1:9:14:14:15:13:8:13:7:8:13:9
217,0,16,0,202,0:1:1:0:0:1:1:2:0:2:5:4:2:3:4:3:2:5:0:5:4:0:6:5:4:6:7:5:2:3:8:8:7:5:6:7:4:3:8:8:9:5:1:9:9:2:4:9:7:4:9:3:2:8:6:3:7:10:10:7:3:10:7:5:0:0:9:3:4:2:10:5:11:11:13:1:6:10:13:11:11:12:13:6:4:0:6:12:1:10:8:4:8:11:15:15:11:15:12:15:7:15:15:13:13:12:12:7:15:13:9:12:9:15:10:8:13:7:8:6:14
218,0,15,0,201,0:1:1:0:0:1:1:2:0:2:5:4:2:3:4:3:2:5:0:5:4:0:6:5:4:6:7:5:2:3:8:8:7:5:6:7:4:3:8:8:9:5:1:9:9:2:4:9:7:4:9:3:2:8:6:3:7:10:10:7:3:10:7:5:0:0:9:3:4:2:10:5:11:11:13:1:6:10:13:11:11:12:13:6:4:0:6:12:1:10:8:4:8:11:15:15:11:15:12:15:7:15:15:13:13:12:12:7:15:13:9:12:9:15:10:8:13:7:8:6:9
250,0,15,0,200,0:1:1:0:0:1:1:2:0:2:5:4:2:3:4:3:2:5:0:5:4:0:6:5:1:6:7:5:3:3:8:8:7:5:2:7:2:3:8:8:9:5:1:9:9:2:4:9:7:4:9:3:2:7:6:3:7:10:10:10:3:1:7:5:0:0:9:10:4:9:6:5:8:4:13:1:6:10:13:3:11:11:13:6:11:0:6:12:13:10:11:4:4:11:8:15:11:15:12:15:6:7:15:13:13:12:11:1:15:13:12:12:12:15:10:8:13:7:8:6:9
261,0,15,0,197,0:1:1:0:0:1:1:2:0:2:5:4:2:3:4:3:2:5:0:5:4:0:6:5:1:6:7:5:3:3:8:8:7:5:2:7:2:3:8:8:9:5:1:9:9:2:4:9:7:4:9:3:2:7:6:3:7:10:10:10:3:1:7:5:0:0:9:10:4:9:6:5:8:10:13:13:6:10:13:3:11:11:13:6:11:0:6:11:13:10:8:4:4:11:15:15:8:1:1:15:6:7:15:13:13:12:12:11:15:13:12:12:12:15:1:8:13:7:8:6:9
370,0,15,0,196,0:1:1:0:0:1:1:2:0:2:5:4:2:3:4:3:2:5:0:5:4:6:6:5:1:4:7:5:3:1:8:8:7:5:2:7:4:2:8:2:4:5:3:8:8:6:4:1:9:4:9:3:0:1:6:9:7:10:2:10:3:1:7:5:0:0:0:10:13:9:7:5:8:10:3:13:6:10:13:3:11:11:13:9:11:0:4:11:13:10:11:4:3:11:15:15:8:6:11:15:6:7:15:11:10:12:15:12:12:12:15:12:12:13:2:8:13:7:9:15:9
