#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 06:58:51,wvcp,queen9_9g,local_search,10,0,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,13,0,48,0:1:1:1:0:2:2:3:2:3:4:1:0:4:5:3:4:5:3:0:5:4:5:2:6:2:7:7:1:0:6:6:5:7:6:8:8:8:7:4:1:6:4:8:9:10:10:4:2:9:7:0:9:3:5:11:10:6:10:6:11:8:10:9:12:8:7:12:7:3:0:5:8:9:12:11:9:2:12:3:1
24,0,13,0,47,0:1:1:1:0:2:2:3:2:3:4:1:0:4:5:3:4:5:3:0:5:4:5:2:6:2:7:7:0:7:6:6:5:7:8:8:8:7:7:4:0:6:1:9:9:10:10:4:1:7:11:11:9:3:10:11:10:6:9:6:11:8:8:5:4:8:7:12:7:3:0:4:8:9:12:11:11:9:9:3:1
245,0,12,0,46,0:1:1:1:0:2:2:3:0:3:4:1:0:4:5:3:4:5:5:0:2:4:5:2:6:2:7:7:3:3:6:6:5:7:7:8:8:3:5:7:1:8:4:8:6:10:10:4:11:7:11:11:9:9:1:2:10:6:5:10:0:8:5:9:10:9:11:10:3:0:11:4:6:9:8:11:6:2:7:3:1
1236,0,12,0,45,0:1:3:1:0:1:4:3:0:3:5:5:4:2:7:3:4:5:5:0:7:3:5:2:2:1:7:7:4:5:6:6:8:7:7:6:4:3:0:7:0:1:8:8:6:12:11:11:1:12:11:1:9:11:2:9:2:12:9:11:8:3:11:6:12:2:8:5:12:3:6:12:0:8:4:11:9:6:9:5:2
3509,0,12,0,44,0:1:3:1:0:1:2:3:0:3:5:5:5:2:7:3:4:2:5:0:7:3:5:2:4:1:7:4:1:5:6:8:4:7:7:6:8:8:0:6:0:7:6:11:4:7:8:11:5:2:9:4:9:11:4:7:8:2:8:11:9:3:8:7:11:9:13:6:13:3:1:9:0:13:6:13:2:9:11:1:13
6183,0,12,0,43,0:1:3:1:0:1:4:3:0:3:5:5:5:4:2:3:4:2:5:0:2:3:5:2:4:1:7:7:1:5:8:8:2:7:7:8:2:3:0:7:4:1:8:6:7:11:6:5:9:7:9:1:9:9:1:4:7:11:6:11:0:3:11:4:2:9:11:12:7:12:8:2:8:12:8:9:6:8:12:12:4
71525,0,11,0,42,0:1:5:1:4:1:12:5:4:4:5:1:0:12:7:4:12:7:1:0:5:7:5:13:12:13:7:7:0:0:8:7:13:8:7:13:4:5:8:13:0:8:8:6:10:11:5:4:12:6:10:10:6:12:10:7:12:6:6:12:8:10:5:4:13:11:8:11:13:4:0:10:11:11:6:7:10:11:1:1:12
84470,0,11,0,41,0:1:5:1:4:1:12:5:4:4:5:1:0:12:7:4:12:7:1:0:5:7:5:13:12:13:7:7:0:5:2:7:13:2:7:13:4:5:2:13:0:2:2:6:6:11:5:4:12:6:2:11:6:12:11:7:12:6:6:12:2:11:5:4:13:8:2:8:13:4:1:11:8:0:8:7:6:8:0:1:12
375858848,0,11,0,41,2:5:9:1:1:5:13:9:13:1:9:5:13:3:13:12:2:1:5:3:9:1:5:13:12:13:9:1:2:9:6:6:12:3:6:6:12:12:2:13:9:3:1:7:6:0:9:3:13:0:3:0:7:13:0:3:5:6:12:6:7:2:6:3:9:10:0:10:12:1:5:2:10:7:10:7:12:7:0:5:2
#2022-10-12 07:58:52
