#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 02:57:19,wvcp,r15,local_search,10,8021,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,16,0,8076,0:0:0:0:0:1:1:1:0:1:0:2:0:2:1:2:1:2:1:1:3:3:3:3:0:2:3:2:3:4:4:2:4:4:2:4:4:3:4:5:4:3:4:6:1:2:6:6:7:7:5:2:5:1:6:0:7:5:5:7:7:8:6:6:8:4:5:5:0:3:4:5:8:3:8:8:5:5:5:6:6:8:8:6:1:7:7:8:6:6:6:6:0:9:9:9:0:4:2:9:3:5:2:1:9:9:10:9:4:10:10:7:11:9:5:11:10:10:6:12:12:8:13:12:10:10:11:1:0:12:11:3:9:0:10:9:11:12:12:3:2:4:9:8:2:8:12:10:5:8:4:13:13:11:13:11:11:8:14:14:13:13:11:3:13:14:10:7:14:12:7:1:13:9:6:1:12:13:14:11:11:12:12:1:7:7:13:15:10:10:15:14:15:7:10:11:15:14
9,0,16,0,8061,0:0:0:0:0:1:1:1:0:1:0:2:0:2:1:2:1:2:1:1:3:3:3:3:0:2:3:2:3:4:4:2:4:4:2:4:4:3:4:5:4:3:4:6:1:2:6:6:7:7:5:2:5:1:6:0:7:5:5:7:7:8:6:6:8:4:5:5:0:3:6:5:8:3:8:8:5:5:4:6:6:8:8:6:1:7:7:8:6:6:6:6:0:9:9:9:0:4:2:9:3:5:2:1:9:9:10:9:4:10:10:7:11:9:5:11:10:10:6:12:12:9:13:12:10:10:11:1:0:12:11:3:9:0:10:9:11:12:12:3:2:2:9:8:2:8:12:10:5:0:4:13:13:11:13:13:11:8:14:14:13:13:11:3:13:14:10:7:14:12:7:1:13:9:6:1:12:13:14:11:11:12:12:1:7:14:7:8:10:10:15:14:15:7:10:11:15:14
10,0,16,0,8059,0:0:0:0:0:1:1:1:0:1:0:2:0:2:1:2:1:2:1:1:3:3:3:3:0:2:3:2:3:4:4:2:4:4:2:4:4:3:4:5:4:3:4:6:1:2:6:6:7:7:5:2:5:1:6:0:7:5:5:7:7:8:6:6:8:4:5:5:0:3:6:5:8:3:8:8:5:5:4:6:6:8:8:6:1:7:7:8:6:6:6:6:0:9:9:9:0:4:2:9:3:5:2:1:9:9:10:9:4:10:10:7:11:9:5:11:10:10:6:12:12:9:13:12:10:10:11:1:0:12:11:3:9:0:10:9:11:12:12:3:2:2:9:8:2:8:12:10:5:0:4:13:13:11:13:13:11:8:14:14:13:13:11:3:13:14:10:7:14:12:7:1:13:9:6:1:12:13:14:11:11:12:12:1:7:14:7:8:10:10:11:14:15:7:10:11:15:14
11,0,16,0,8054,0:0:0:0:0:1:1:1:0:1:0:2:0:2:1:2:1:2:1:1:3:3:3:3:0:2:3:2:3:4:4:2:4:4:2:4:4:3:4:5:4:3:4:6:1:2:6:6:7:7:5:2:5:1:6:0:7:5:5:7:7:8:6:6:8:4:5:5:0:3:6:5:8:3:8:8:5:5:4:6:6:8:8:6:1:7:7:8:6:6:6:6:0:9:9:9:0:4:2:9:3:5:2:1:9:9:10:9:4:10:10:7:11:9:5:11:10:10:6:12:12:9:13:12:10:10:11:1:0:12:11:3:9:0:10:9:11:12:12:3:2:2:9:8:2:8:12:10:5:0:4:13:13:11:13:13:11:8:14:14:13:13:11:3:13:14:10:7:14:12:7:1:13:9:6:1:12:13:14:11:11:12:12:1:7:14:7:8:10:10:11:14:3:7:10:11:15:14
36,0,16,0,8052,0:0:0:0:0:1:1:1:0:1:0:2:0:2:1:2:1:2:1:1:3:3:3:3:0:2:3:2:3:4:4:2:4:4:2:4:4:3:4:5:4:3:4:6:1:2:6:6:7:7:5:2:7:1:6:0:7:5:3:7:7:8:6:6:8:4:5:5:0:0:6:5:8:3:5:8:5:5:4:6:6:5:8:6:1:7:5:8:6:6:2:7:0:8:9:9:0:4:2:6:3:5:2:8:9:9:10:9:4:10:10:7:11:9:11:11:10:10:6:12:12:9:13:12:10:10:12:1:6:12:11:3:9:0:11:9:11:12:12:3:9:2:5:13:2:8:12:10:5:3:11:13:13:11:13:13:11:8:14:14:1:13:11:8:13:14:10:7:14:14:7:1:13:9:6:1:12:13:14:11:11:12:12:1:7:14:7:8:10:10:11:14:3:7:10:11:15:14
54,0,16,0,8049,0:0:0:0:0:1:1:1:0:1:0:2:0:2:1:2:1:2:1:1:3:3:3:3:0:2:3:2:3:4:4:2:4:4:2:4:4:3:4:5:4:3:4:6:1:2:6:6:7:7:5:2:5:1:6:0:7:5:3:7:7:8:6:6:8:4:5:5:0:5:6:5:8:3:5:8:5:5:4:6:6:5:8:6:1:7:5:8:6:6:2:7:0:8:8:9:0:4:4:6:3:5:2:9:0:9:10:9:4:10:10:7:11:9:11:11:10:10:4:12:9:9:13:12:10:10:12:12:6:12:11:3:9:8:11:9:11:12:12:3:9:13:5:13:2:8:12:8:5:3:11:13:13:11:13:13:11:2:14:14:1:13:11:8:13:14:10:7:14:14:7:1:8:14:11:1:12:13:14:11:11:12:12:1:7:14:13:8:10:10:11:14:3:7:10:11:15:12
3777,0,16,0,8048,0:0:0:0:0:1:1:1:1:1:0:2:0:1:1:2:1:2:1:1:3:2:2:3:1:2:3:2:3:4:4:2:4:0:3:4:4:3:4:5:5:4:4:6:3:5:3:6:7:7:2:4:6:7:6:0:7:5:3:6:1:7:4:8:8:7:5:0:8:6:6:5:8:6:4:8:3:5:5:6:5:8:5:6:3:2:0:1:6:8:1:4:2:8:8:9:5:9:5:6:1:7:8:8:1:9:10:10:2:10:7:5:11:10:9:11:10:3:6:12:10:12:13:11:10:13:9:3:12:12:12:12:12:0:10:10:13:13:13:10:8:11:4:9:3:2:11:12:6:0:7:12:12:9:10:9:13:13:14:14:2:12:10:10:5:13:11:9:4:7:12:8:14:9:11:13:13:12:0:13:14:14:6:2:14:5:7:13:5:2:12:14:3:11:14:6:15:14
3800,0,16,0,8047,0:0:0:0:0:1:1:1:1:1:0:2:0:1:1:2:1:2:1:1:3:2:2:3:1:2:3:2:3:4:4:2:4:0:3:4:4:3:4:5:5:4:4:6:3:5:3:6:7:7:2:4:6:7:6:0:7:5:3:6:1:7:4:5:8:7:5:3:8:6:6:5:8:6:4:8:3:5:5:6:5:8:5:6:7:6:0:1:6:8:1:7:2:8:8:9:5:9:5:6:9:7:8:8:1:9:10:10:2:10:7:0:11:10:9:11:10:3:6:12:10:12:13:11:10:13:13:3:0:12:12:12:12:0:10:10:13:13:13:10:12:11:7:9:3:2:11:11:6:0:7:12:12:9:10:9:13:4:14:14:2:12:10:6:5:13:11:8:4:7:12:11:11:9:11:13:4:12:0:13:9:14:6:2:14:1:7:13:11:2:12:14:7:11:14:11:15:14
4097,0,16,0,8045,0:0:0:0:0:1:1:1:1:1:0:2:0:1:1:2:1:2:1:1:3:2:0:3:1:3:3:2:3:4:4:2:4:0:3:4:4:3:4:5:4:4:4:6:3:5:3:6:7:7:2:3:6:7:6:0:7:5:3:6:4:7:4:6:2:8:5:3:6:2:1:5:8:5:4:8:7:5:0:6:5:8:5:6:4:2:0:1:6:5:1:6:0:8:8:9:5:2:7:7:4:9:9:9:1:0:10:9:10:10:7:0:11:10:5:11:2:7:4:12:9:3:13:11:10:13:5:3:6:12:11:11:13:0:11:10:13:2:5:10:12:12:8:13:9:9:9:13:7:11:12:12:7:3:10:13:6:6:14:4:11:12:10:10:13:8:11:8:10:8:14:14:9:3:12:2:5:12:12:13:14:14:12:7:14:14:12:13:8:4:12:14:9:7:14:8:15:14
4098,0,16,0,8031,0:0:0:0:0:1:1:1:1:1:0:2:0:1:1:2:1:2:1:1:3:2:0:3:1:3:3:2:3:4:4:2:4:0:3:4:4:3:4:5:4:4:4:6:3:5:3:6:7:7:2:3:6:7:6:0:7:5:3:6:4:7:4:6:2:6:5:3:6:2:1:5:8:5:4:8:7:5:0:6:5:8:5:6:4:2:0:1:6:5:1:6:0:8:8:9:5:2:7:7:4:9:9:9:1:0:10:9:10:10:7:0:11:10:5:11:2:7:4:12:9:3:13:11:10:13:5:3:6:12:11:11:13:0:11:10:13:2:5:10:12:12:8:13:9:9:9:13:7:11:12:12:7:3:10:13:6:6:14:4:11:12:10:10:13:8:11:8:10:8:14:14:9:3:12:2:5:12:12:13:14:14:12:7:14:14:12:13:8:4:12:14:9:7:14:8:15:14
