#date,problem,instance,method,rand_seed,target,use_target,objective,time_limit,nb_max_iterations,initialization,nb_iter_local_search,max_time_local_search,local_search,adaptive,window_size,coeff_exploi_explo,simulation,O_time,P_time
#2022-10-12 05:34:48,wvcp,zeroin.i.3,local_search,11,298,false,reached,3600,9223372036854775807,constrained,9000000000000000000,3600,tabu_weight,pursuit,50,1,always_ls,0,0.02
turn,time,nb_colors,penalty,score,solution
0,0,31,0,317,0:1:2:3:3:3:3:3:2:4:3:4:1:4:4:5:6:0:6:5:7:7:8:3:8:8:4:3:9:9:4:8:10:10:11:12:10:12:3:11:13:10:10:4:2:4:3:14:13:8:3:15:16:17:16:15:2:16:8:3:18:19:12:12:3:18:20:1:21:19:21:22:22:21:17:23:14:3:24:25:3:2:12:10:26:8:23:27:28:29:30:30:10:27:29
8,0,31,0,316,0:1:2:3:3:3:3:3:2:4:3:4:2:4:4:5:6:0:6:5:7:7:8:3:8:8:4:3:9:9:4:8:10:10:11:12:10:12:3:11:13:10:10:4:2:4:3:14:13:8:3:15:16:17:16:15:2:16:8:4:1:19:12:12:3:18:20:6:21:19:21:22:23:21:17:23:14:3:24:25:3:2:12:14:26:8:20:27:28:29:30:30:10:27:26
55,0,31,0,315,0:1:2:3:3:3:3:3:3:4:4:4:3:4:4:5:6:0:6:5:7:7:8:3:3:3:4:6:9:9:4:8:10:4:1:12:10:12:10:11:13:10:10:4:3:12:8:14:13:8:12:15:16:17:17:16:14:6:8:4:15:19:12:17:3:18:20:19:21:2:21:22:23:21:22:23:18:8:24:25:25:4:8:12:26:3:24:27:28:29:30:27:3:20:14
79,0,31,0,314,0:1:2:3:3:3:3:3:2:4:4:4:3:3:4:5:6:0:6:5:7:7:8:6:3:3:4:4:9:9:4:8:10:4:1:12:4:12:8:11:13:10:10:4:3:12:12:14:13:8:4:15:16:17:17:16:14:10:8:3:15:19:12:19:3:18:20:4:21:2:21:22:11:21:22:3:18:8:24:25:23:3:8:14:26:10:25:27:28:29:30:29:10:20:23
80,0,30,0,311,0:1:2:3:3:3:3:3:2:4:4:4:3:3:4:5:6:0:6:5:7:7:8:6:3:3:4:4:9:9:4:8:10:4:1:12:4:12:8:11:13:10:10:4:3:12:12:14:13:8:4:15:16:17:17:16:14:10:8:3:15:19:12:19:3:18:20:4:21:2:21:22:11:21:22:3:18:8:24:25:23:3:8:14:23:10:25:27:28:29:30:29:10:20:23
81,0,30,0,310,0:1:2:3:3:3:3:3:2:4:4:4:3:3:4:5:6:0:6:5:7:7:8:6:3:3:4:4:9:9:4:8:10:4:1:12:4:12:8:11:13:10:10:4:3:12:12:14:13:8:4:15:16:17:17:16:14:10:8:3:15:19:12:19:3:18:20:4:21:2:21:22:11:21:22:3:18:8:24:25:19:3:8:14:23:10:25:27:28:29:30:29:10:20:23
87,0,30,0,308,0:1:2:3:3:3:3:3:2:4:4:4:2:3:4:5:6:0:6:5:7:7:8:6:3:3:4:4:9:9:4:8:8:4:1:12:4:12:8:11:13:10:10:4:3:12:12:14:13:8:4:15:16:17:17:16:14:10:17:3:15:19:12:19:3:18:20:4:21:2:21:22:11:21:22:3:18:8:24:25:19:3:12:14:23:10:25:27:28:29:30:29:10:24:23
100,0,30,0,306,0:1:2:3:3:3:3:3:2:4:3:4:2:3:4:5:6:0:6:4:7:7:5:2:3:3:2:4:9:9:4:8:8:4:1:12:4:12:8:11:13:10:10:4:3:8:4:14:11:8:4:15:16:17:17:16:6:17:17:3:15:19:12:12:3:18:20:4:21:14:21:22:20:21:22:3:18:8:24:25:19:3:12:14:23:10:25:27:28:29:30:29:10:24:23
177,0,30,0,303,0:1:2:3:3:3:3:3:3:4:4:4:4:3:4:5:6:0:6:4:7:7:5:3:3:4:2:3:9:9:4:8:8:4:1:12:4:12:8:11:13:8:21:4:3:12:4:14:14:8:12:15:16:17:16:11:17:16:3:4:15:19:12:14:3:18:20:17:21:21:18:22:13:21:19:3:20:8:24:25:25:4:17:17:23:10:23:27:28:29:30:22:10:27:24
151564836,0,30,0,303,30:6:7:3:3:3:3:3:7:4:4:4:7:4:4:27:22:6:3:22:10:4:10:3:3:4:7:3:19:30:4:8:8:8:19:12:8:12:8:17:20:11:11:4:8:4:3:21:21:8:12:26:15:23:23:17:11:15:3:12:20:29:12:21:3:1:5:15:11:5:29:16:26:11:27:3:1:4:0:25:15:25:3:25:31:2:16:24:18:9:14:18:2:24:22
#2022-10-12 06:34:49
