Instances,afisa_original,dsatur,ilsts,redls,tabu_weight,best_heuristic,Results,num_vertices,num_edges,ratio,density,min_count,max_count,mean,median,q1,q3,variation_coefficient,entropy
C2000.5,210,222,203,198,202,"redls,",101:110:123:123:46:67:75:63:28:63:90:101:87:112:34:15:80:98:45:112:123:31:80:31:41:17:75:90:73:116:15:101:31:33:73:6:123:45:0:87:15:44:0:44:6:98:28:41:67:116:98:63:110:75:33:123:80:42:67:17:28:87:44:51:42:6:15:28:31:98:33:41:50:46:44:63:33:0:80:41:51:46:73:101:45:110:90:31:6:110:80:42:33:80:46:63:47:39:110:50:94:34:54:47:116:28:44:109:107:109:34:50:42:39:116:15:28:90:109:73:46:73:0:67:6:73:34:75:71:90:71:31:98:112:51:98:17:54:45:22:110:87:42:37:107:112:67:54:75:45:109:110:67:42:110:22:107:73:109:112:41:28:41:22:44:51:80:107:34:87:39:63:15:51:94:54:39:42:42:46:75:22:109:28:107:109:107:94:107:51:0:0:109:17:22:17:80:42:123:67:50:116:43:0:162:37:110:73:41:33:47:51:47:53:101:37:71:80:31:17:138:30:69:118:91:45:73:54:44:43:54:54:47:97:97:90:75:15:34:34:37:138:71:94:97:63:91:31:54:30:69:22:94:53:73:80:15:94:109:69:138:90:75:69:138:91:37:74:35:39:67:98:101:162:162:123:112:30:51:80:162:98:53:69:46:46:69:90:53:67:116:35:116:118:47:80:123:43:63:6:37:94:53:73:87:97:33:54:34:47:87:118:84:95:112:2:177:74:83:33:14:97:90:95:90:6:28:83:45:97:53:118:62:94:43:83:17:87:22:59:62:148:74:39:6:148:51:91:71:2:74:148:84:83:14:30:43:84:148:101:62:118:6:17:39:46:62:15:71:62:39:0:43:95:47:32:14:39:95:59:33:59:30:35:53:94:44:138:17:177:84:50:2:162:107:91:75:74:95:91:43:53:148:32:22:162:59:101:83:63:53:95:50:84:87:54:39:34:44:50:177:162:91:43:97:15:112:67:31:78:177:6:62:77:59:25:35:8:47:89:78:2:77:74:47:24:59:38:50:44:150:32:138:84:118:37:118:89:78:89:83:90:71:38:89:89:123:38:51:8:45:84:8:28:62:14:38:62:31:109:38:32:77:74:25:148:83:83:14:177:25:150:32:150:2:24:38:25:14:162:17:35:162:89:138:91:35:118:32:46:54:77:35:84:95:98:150:37:24:102:177:47:57:240:107:131:71:161:27:33:10:131:146:37:67:138:102:25:134:123:63:14:57:148:102:2:28:69:41:177:10:10:32:78:240:97:25:161:45:102:102:15:54:28:150:57:10:74:133:133:8:62:240:177:240:69:133:27:25:24:4:84:34:24:45:75:57:161:13:118:24:34:84:30:8:27:240:38:57:50:134:131:44:8:77:27:10:2:87:69:27:53:162:77:71:83:240:59:116:101:161:25:120:16:2:133:74:66:66:148:29:240:6:16:107:83:66:122:57:66:122:4:13:122:122:14:182:66:122:122:20:102:240:66:94:122:129:182:30:91:78:20:13:20:182:4:146:71:182:94:134:161:177:9:42:112:74:182:97:118:16:183:120:4:183:129:20:134:146:146:9:102:146:30:146:29:122:182:13:51:134:182:29:161:10:138:120:4:31:8:13:183:120:183:31:4:120:102:240:101:27:146:41:9:50:182:78:129:33:150:120:240:38:118:64:77:29:75:91:68:154:47:104:133:154:16:9:30:37:169:32:95:68:20:138:64:64:13:43:26:16:9:28:78:26:10:20:171:79:35:20:64:50:183:79:25:94:78:177:8:150:59:29:150:134:29:133:122:15:95:129:79:131:102:131:133:146:64:131:183:78:64:76:44:8:131:129:24:101:24:26:120:104:14:129:26:104:171:41:148:91:66:68:129:32:26:131:26:26:161:177:154:131:76:120:104:35:131:2:102:76:78:107:77:77:122:171:45:79:79:154:101:13:120:64:20:102:133:16:112:53:116:9:10:162:240:18:155:64:18:132:176:169:179:22:129:53:60:17:86:20:24:154:77:4:104:66:120:79:24:14:181:176:132:132:111:68:76:155:76:86:169:155:179:179:35:161:171:179:176:82:27:138:149:79:32:86:149:122:18:66:18:13:149:14:97:111:161:66:171:181:169:82:155:155:16:181:8:133:40:22:22:171:16:179:181:29:132:24:68:86:40:116:40:181:82:45:183:76:63:104:46:51:82:171:18:182:60:169:179:146:154:60:104:155:111:86:38:41:64:31:167:55:104:175:86:181:167:178:187:82:178:21:8:176:182:148:139:171:21:176:51:132:154:175:171:55:167:27:60:1:27:29:86:150:95:18:155:21:125:178:178:59:187:175:139:76:139:183:18:132:187:133:179:180:180:131:60:43:1:167:21:139:82:179:146:1:116:210:57:30:104:37:40:129:154:76:21:68:125:171:139:178:89:180:55:187:57:39:40:60:129:133:64:55:38:60:176:132:21:68:180:134:91:1:40:86:82:180:210:167:84:187:66:162:167:125:176:161:18:10:125:10:89:171:139:55:160:76:18:29:111:210:210:20:187:82:0:110:23:22:132:182:23:167:68:40:167:112:175:9:178:95:139:43:210:55:176:13:75:86:55:181:82:180:1:104:68:160:139:175:175:175:183:149:89:169:187:12:125:12:125:187:169:12:23:86:139:26:123:132:21:26:23:149:160:111:111:23:181:134:13:180:57:125:98:180:55:16:10:202:11:144:186:160:52:134:160:173:149:91:52:193:193:173:108:144:11:52:134:202:149:21:108:178:193:45:1:108:35:167:134:11:144:144:202:108:1:89:173:144:202:55:12:155:52:59:173:108:178:108:60:160:125:4:186:12:144:193:12:193:111:173:167:144:186:108:12:176:77:64:173:186:30:52:84:187:202:187:108:120:83:155:23:178:181:9:52:12:11:119:193:156:188:114:175:100:100:100:72:179:155:232:139:193:188:210:60:5:5:5:208:114:13:9:156:188:111:188:142:100:114:27:100:88:177:55:208:142:165:169:186:114:0:100:72:119:72:40:119:119:125:156:187:165:23:119:144:1:27:232:100:165:129:11:188:165:188:60:72:88:97:11:208:142:5:160:202:72:193:74:160:114:210:149:63:21:232:72:232:72:186:72:232:149:88:144:114:52:111:119:120:88:154:4:188:173:100:5:232:208:40:179:200:179:5:165:200:173:152:186:208:188:170:152:174:175:200:65:139:152:59:208:7:156:186:200:200:119:24:29:142:170:142:7:170:58:215:165:7:7:30:61:9:61:72:170:58:5:210:0:119:156:5:202:142:174:113:65:40:58:58:23:142:113:200:156:188:65:18:169:180:61:100:9:183:82:58:113:152:104:113:11:21:61:170:208:1:65:152:142:215:23:144:152:174:12:169:200:88:161:52:152:65:35:174:190:152:165:7:114:81:146:152:232:202:127:190:81:214:135:203:170:155:203:227:115:170:156:81:135:69:227:135:214:125:81:58:113:227:127:89:174:115:208:79:199:210:127:174:106:173:61:214:135:106:119:215:112:190:155:190:232:227:142:161:81:203:65:214:170:190:165:89:68:115:232:7:7:58:106:0:106:61:227:100:214:113:115:160:106:175:61:61:175:97:127:199:190:174:227:81:66:86:214:214:215:114:127:81:115:135:1:200:108:198:232:79:81:215:121:141:115:184:4:49:193:113:121:106:203:214:170:190:203:141:198:193:52:114:206:190:49:40:206:141:81:115:73:206:135:88:202:84:202:206:49:184:25:206:61:184:98:106:81:203:199:188:198:119:198:59:227:121:106:184:65:4:127:100:184:65:206:206:62:184:135:188:10:113:141:125:33:88:49:125:215:115:199:1:49:20:198:88:79:169:58:106:178:146:133:199:121:121:184:153:230:206:230:190:230:153:217:198:230:158:192:172:230:11:225:191:153:225:211:158:217:225:173:225:5:211:194:211:184:141:194:106:192:150:20:200:190:172:127:225:217:230:156:158:23:203:180:158:192:198:217:211:158:199:199:121:72:191:225:206:230:172:153:211:40:115:58:165:227:26:191:192:211:192:111:135:153:20:199:217:184:194:198:206:113:194:141:106:153:199:117:197:194:225:211:163:239:192:191:163:181:117:172:186:242:158:218:121:211:191:135:220:124:124:242:158:239:218:191:117:214:172:239:194:215:225:174:218:124:197:220:18:197:124:218:217:153:218:61:163:117:163:239:197:53:163:49:220:192:127:124:197:160:156:184:153:232:176:46:104:97:242:79:184:194:239:217:163:88:198:121:119:114:117:242:124:49:220:220:233:229:229:164:212:207:191:207:201:229:205:49:201:163:201:168:117:117:153:205:211:242:239:197:212:127:205:133:242:233:229:11:124:205:197:207:1:195:114:172:34:219:233:168:195:242:167:36:207:242:219:242:36:172:212:168:219:201:201:207:164:212:46:201:219:172:170:220:219:113:164:229:164:168:229:192:233:212:205:201:49:195:229:197:164:207:218:36:168:195:16:198:36:124:164:55:239:124:220:12:76:219:186:194:195:205:233:201:217:207:191:36:195:229:36,2000,999836,499.918,4.00E-09,919,1074,999.836,999,985,1015,0.021960493,10.96543627
C2000.9,602,584,523,512,554,"redls,",117:27:316:93:168:327:410:98:389:87:3:258:443:504:100:27:68:113:550:405:102:113:494:400:336:38:397:67:48:518:557:393:592:577:180:389:73:211:129:406:409:87:388:405:189:483:77:406:550:100:84:91:98:98:28:159:577:561:180:40:327:293:443:483:397:298:324:191:324:564:293:117:405:189:561:113:67:557:246:180:28:505:40:191:171:73:91:396:211:400:573:409:48:593:564:467:487:3:55:345:389:449:159:354:396:472:68:203:40:494:298:467:298:168:550:410:38:169:505:487:246:512:583:443:360:5:159:397:116:148:320:48:306:203:418:278:536:228:573:492:189:592:269:273:93:396:36:230:573:327:93:281:171:306:38:377:277:561:264:58:388:231:73:169:170:258:191:316:593:171:98:100:258:73:230:435:499:505:38:409:564:583:536:55:577:299:264:435:77:354:166:443:69:160:418:77:87:323:518:69:170:515:449:324:323:55:487:28:3:68:467:154:180:317:298:117:170:58:231:5:87:5:278:116:177:345:55:405:148:91:36:117:293:40:154:177:410:148:320:393:327:5:409:552:376:58:592:467:68:481:548:316:228:336:396:499:281:407:299:246:191:577:483:159:3:381:345:306:182:470:129:24:91:548:169:92:35:24:169:381:237:471:273:198:295:515:438:345:471:7:148:69:327:92:499:152:58:320:410:129:256:107:336:317:58:67:407:381:397:536:50:416:237:7:203:494:160:512:518:27:93:306:583:438:143:67:237:278:492:28:129:69:171:256:573:481:198:467:388:418:35:449:269:107:107:264:182:377:269:515:512:336:317:319:379:564:182:358:168:143:299:84:494:40:118:512:523:277:281:299:440:438:311:203:380:57:152:172:518:154:380:376:354:167:224:201:358:440:406:50:358:198:228:107:320:389:143:100:269:70:531:393:102:356:534:295:264:295:407:319:400:133:273:143:470:524:224:237:379:229:599:524:377:472:504:524:36:91:481:481:504:380:311:472:152:356:116:118:102:172:360:440:471:360:577:552:483:24:531:70:323:182:599:324:572:102:229:172:356:293:400:470:126:37:356:379:137:295:24:449:552:105:379:50:130:97:7:97:534:246:4:504:230:269:197:414:470:238:287:177:258:257:605:229:175:523:516:167:238:126:265:257:486:572:573:228:93:605:316:561:572:141:376:552:84:201:472:435:57:598:471:323:133:4:118:414:27:166:516:518:211:197:152:137:231:277:593:599:257:201:438:256:175:35:36:592:407:126:516:281:414:37:137:224:97:287:137:377:291:531:130:504:360:211:427:132:328:416:487:331:523:422:412:499:50:35:442:515:509:479:205:48:486:155:524:230:381:282:125:332:287:509:460:105:69:440:188:593:311:422:332:531:265:572:133:511:126:37:211:309:557:132:160:516:442:243:188:427:231:7:291:605:167:422:175:105:317:523:376:188:331:71:282:141:511:492:314:84:305:243:127:166:277:460:103:479:231:548:180:154:229:354:435:175:205:7:48:314:471:153:470:305:155:130:339:46:172:599:197:39:459:46:205:243:92:339:77:19:493:103:153:20:309:238:459:276:486:150:219:125:19:59:505:514:499:37:598:71:605:534:143:534:46:314:109:331:330:260:59:472:291:277:481:155:118:339:36:412:59:563:380:416:132:125:424:219:166:423:113:563:433:459:20:583:423:130:133:39:305:246:150:514:493:109:440:326:70:326:424:203:97:256:71:109:574:343:13:138:570:424:135:415:94:384:460:260:433:343:149:498:426:13:136:384:238:110:4:0:127:135:110:328:19:0:540:260:261:278:415:103:314:127:413:141:416:492:343:550:197:20:155:446:185:189:326:486:94:457:261:563:353:42:330:4:71:488:332:426:133:265:276:424:459:219:488:486:208:413:177:460:427:166:124:273:183:50:328:206:478:257:70:13:265:570:44:540:457:261:353:332:279:13:423:557:124:183:160:309:514:570:39:557:124:511:206:423:291:149:206:276:183:109:187:433:488:370:353:454:21:340:493:228:136:57:44:185:375:482:457:357:279:574:598:110:206:413:150:547:279:136:540:111:570:127:47:387:21:329:474:47:111:223:42:595:279:415:446:20:227:356:187:536:243:357:446:282:64:21:23:219:124:478:478:479:64:211:540:357:547:547:474:330:375:208:283:339:406:185:329:595:44:330:348:59:0:574:540:595:153:19:153:370:340:326:135:548:260:170:3:261:482:107:387:21:227:574:528:559:25:383:274:282:176:266:82:498:15:306:454:528:10:217:369:92:158:151:559:266:274:105:82:474:54:387:283:329:25:256:309:348:64:90:54:544:138:287:10:53:217:188:375:23:384:208:54:375:347:226:23:64:138:25:23:595:509:528:53:384:161:138:426:168:393:161:385:273:141:328:347:198:340:544:94:493:542:39:511:223:111:176:62:90:421:503:329:474:57:479:369:34:89:433:62:227:426:54:111:514:158:201:226:542:161:412:559:89:90:572:360:148:520:248:43:348:369:430:0:42:131:244:199:430:297:342:359:274:563:10:161:439:110:89:131:183:244:366:64:559:372:394:527:413:103:476:112:22:289:355:196:603:526:394:53:547:15:179:225:542:121:454:603:41:476:62:372:121:116:94:4:34:370:528:225:603:369:423:187:457:283:158:82:342:223:8:366:223:15:366:526:289:383:394:357:151:131:526:319:343:574:34:124:43:454:527:114:47:196:355:482:439:291:421:217:266:187:388:248:252:8:289:112:340:358:430:179:226:158:214:259:51:112:60:149:214:421:41:385:149:63:151:248:565:385:449:51:115:115:401:136:222:603:226:176:259:33:190:503:545:25:151:502:501:51:47:214:33:476:199:503:396:248:239:370:105:545:22:233:502:185:322:60:545:244:595:289:372:501:347:439:514:60:459:12:355:297:196:12:62:233:527:114:122:222:319:33:190:190:321:196:276:476:63:218:322:503:359:41:239:283:218:125:43:114:70:114:131:15:297:391:569:565:468:442:591:252:74:478:526:315:252:520:333:34:102:349:101:544:468:233:383:374:262:569:461:607:607:233:121:119:374:8:490:321:217:394:101:455:127:139:119:122:24:22:244:210:591:322:455:262:488:216:461:121:74:359:591:82:135:506:315:321:63:391:544:485:44:216:225:210:239:570:401:282:101:498:584:128:574:455:590:606:234:74:333:349:259:607:100:545:210:33:506:502:501:139:101:584:527:262:179:12:482:485:496:461:342:427:11:72:506:252:190:6:562:554:520:49:119:284:496:562:193:193:554:558:165:97:566:234:262:506:266:204:122:72:6:223:51:199:204:366:490:401:464:584:285:83:502:72:74:484:218:227:401:12:321:56:216:442:83:31:607:406:468:247:165:289:590:484:469:22:484:584:6:144:569:391:342:56:193:128:81:83:259:464:63:562:11:115:421:144:112:139:485:586:549:255:240:31:88:480:428:349:439:538:128:285:81:247:496:517:533:60:538:225:139:598:422:304:533:204:170:439:129:517:566:368:115:485:383:56:144:333:419:590:412:186:368:429:429:46:240:304:285:128:549:419:313:216:566:549:365:480:81:88:428:525:500:285:160:517:49:479:195:430:490:480:500:144:415:469:11:542:198:81:606:484:186:196:255:365:468:359:500:374:132:391:311:31:404:566:263:448:79:165:315:558:259:181:279:235:210:241:364:192:322:99:333:83:88:588:365:508:85:173:419:234:554:512:72:15:52:469:79:263:586:402:425:284:241:207:404:313:123:437:428:240:145:581:220:411:533:123:173:181:437:374:220:411:469:181:240:606:79:280:235:235:313:165:52:280:207:267:123:85:41:52:402:346:99:218:85:199:145:411:464:554:222:195:353:346:56:79:372:588:364:448:241:500:502:222:6:192:402:581:350:601:525:586:16:464:428:565:326:477:209:60:425:451:350:16:263:284:436:477:588:567:513:186:10:477:346:213:508:49:601:455:325:567:267:517:304:601:444:16:340:207:267:212:350:525:325:562:436:212:337:534:195:280:444:606:302:508:567:274:451:425:236:16:447:302:325:578:192:448:65:193:164:436:145:65:549:89:99:532:532:164:346:99:532:447:425:284:404:429:220:52:513:578:350:337:368:51:466:519:142:167:1:530:541:453:290:451:541:78:250:86:429:271:250:236:600:546:491:66:247:250:600:78:1:596:556:32:78:212:173:186:519:78:601:363:174:530:163:453:437:142:142:165:163:571:473:537:290:313:255:271:530:498:546:32:181:65:363:556:337:213:364:447:525:546:263:571:355:86:419:571:466:491:558:447:541:32:347:596:236:209:86:466:337:174:453:136:96:174:578:66:571:280:302:578:568:585:253:463:387:325:408:513:106:194:178:80:452:253:80:597:587:538:66:596:403:587:120:294:80:296:296:338:489:221:86:194:556:408:452:538:95:106:473:537:587:75:272:75:75:403:272:585:597:568:537:213:418:376:178:96:294:463:8:408:600:294:254:585:221:1:156:179:519:338:271:596:473:296:156:106:95:581:221:408:235:444:361:491:444:489:163:253:254:119:241:95:467:597:194:254:587:361:220,2000,1799532,899.766,1.24E-09,1751,1848,1799.532,1800,1791,1809,0.007396073,10.96574482
DSJC125.1gb,6,8,6,6,6,"afisa,ilsts,redls,tabu_weight,",4:0:4:4:1:4:1:1:0:4:3:3:0:3:0:4:4:3:1:0:4:1:4:4:1:3:0:4:1:0:4:3:1:3:1:3:0:3:0:1:1:4:3:1:4:4:1:0:3:1:1:3:4:1:0:0:0:1:0:0:3:2:2:1:0:0:1:1:1:3:4:4:1:3:4:3:0:3:2:0:2:0:1:3:0:2:2:4:0:2:2:2:2:0:3:3:2:2:1:3:2:4:4:4:2:1:4:4:2:4:9:3:9:9:4:9:9:2:9:4:2:0:9:9:4,125,736,5.888,0.000462141,5,23,11.776,12,9,14,0.278835665,6.910353249
DSJC125.1g,6,8,6,6,6,"afisa,ilsts,redls,tabu_weight,",0:1:0:1:2:1:1:0:2:1:1:2:2:1:0:2:2:0:1:2:2:0:2:0:0:2:0:1:0:2:5:3:2:5:2:0:1:0:2:2:5:5:1:2:5:1:1:3:0:5:2:5:5:3:0:1:5:3:5:0:3:5:3:5:2:2:3:0:0:2:1:3:2:5:2:0:2:0:5:1:1:1:1:5:3:3:1:0:3:5:0:5:1:2:0:3:2:1:5:5:1:5:0:3:6:6:3:5:6:6:3:5:6:6:6:3:1:3:6:6:2:6:6:3:6,125,736,5.888,0.000462141,5,23,11.776,12,9,14,0.278835665,6.910353249
DSJC125.5gb,20,25,19,21,20,"ilsts,",15:21:19:21:20:14:20:19:21:7:14:19:7:20:20:13:13:4:14:4:15:13:14:4:14:20:15:12:7:19:18:15:18:14:15:15:12:15:13:18:12:4:9:12:21:18:9:7:14:4:12:19:19:3:8:3:3:9:1:8:20:14:4:21:18:12:4:13:21:13:21:22:1:18:20:7:8:22:1:3:1:1:20:7:1:4:8:2:8:3:9:9:9:7:22:1:2:3:23:2:2:2:23:22:16:14:12:23:18:3:22:0:0:16:23:16:0:19:16:2:21:0:22:15:19,125,3891,31.128,1.65E-05,51,75,62.256,62,58,66,0.084847698,6.960603874
DSJC125.5g,20,25,19,21,20,"ilsts,",20:16:11:6:22:8:10:20:22:20:10:16:17:20:8:6:11:2:6:11:2:20:20:10:22:2:17:16:16:4:9:8:2:14:0:11:17:9:0:17:14:16:14:0:11:14:8:6:16:17:6:2:4:22:10:4:8:24:0:2:17:22:6:9:10:14:10:24:9:8:24:24:24:11:10:20:22:0:7:22:25:22:12:14:0:25:9:14:17:7:7:9:7:0:6:4:25:24:1:4:12:5:1:24:5:12:25:7:5:5:5:2:12:12:1:7:1:8:20:4:11:6:25:24:1,125,3891,31.128,1.65E-05,51,75,62.256,62,58,66,0.084847698,6.960603874
DSJC125.9gb,45,55,46,46,47,"afisa,",11:21:8:26:21:45:52:10:14:52:18:17:14:17:43:8:49:16:40:52:2:16:39:6:56:34:24:47:43:40:40:6:49:10:46:55:46:55:56:18:2:45:10:1:49:46:7:36:36:31:21:2:30:46:4:57:33:15:9:18:24:39:17:57:1:26:34:28:7:15:53:53:16:47:43:39:28:9:9:29:31:19:30:20:33:6:19:29:36:4:17:35:25:44:29:4:25:11:20:44:56:35:5:54:5:28:55:38:30:19:11:20:38:1:12:12:38:45:7:5:26:47:54:57:14,125,6961,55.688,5.16E-06,103,120,111.376,111,109,114,0.0291253,6.965171553
DSJC125.9g,47,57,48,48,49,"afisa,",14:37:31:53:33:3:4:42:42:39:10:39:27:13:27:3:10:0:9:40:9:50:0:18:53:13:50:19:18:54:23:33:12:21:54:17:4:17:29:49:18:1:31:41:15:14:19:37:49:34:1:10:34:49:20:20:41:29:28:8:4:15:13:15:11:45:17:43:34:41:24:40:29:39:27:24:53:8:7:54:35:40:12:23:25:23:43:12:48:14:51:31:21:5:28:22:35:48:43:25:25:21:5:16:50:9:38:11:32:32:22:51:48:28:0:8:6:10:38:7:11:22:45:24:6,125,6961,55.688,5.16E-06,103,120,111.376,111,109,114,0.0291253,6.965171553
DSJC250.1,10,13,10,10,10,"afisa,ilsts,redls,tabu_weight,",0:3:0:1:1:1:1:3:2:0:0:1:2:2:3:2:0:2:0:0:1:2:1:2:0:1:1:3:0:3:1:0:3:2:1:3:2:0:3:0:6:1:1:0:0:1:2:0:2:3:0:6:1:1:3:0:0:1:3:3:2:3:2:2:6:6:6:5:1:5:3:0:3:2:3:3:2:1:1:6:3:0:5:0:2:4:5:4:6:5:2:6:6:5:4:2:0:3:2:0:1:5:1:1:3:3:5:4:6:6:4:1:5:1:2:3:4:4:4:6:2:1:1:2:6:6:2:3:6:5:4:6:2:4:2:6:4:4:3:5:3:3:5:4:7:7:7:4:5:3:0:4:5:2:5:6:4:5:6:5:7:4:7:5:3:5:7:4:6:7:7:5:4:4:7:0:5:7:7:4:1:7:7:0:5:4:0:7:6:6:5:7:1:9:7:7:2:9:9:9:9:7:6:0:6:2:9:9:4:9:5:7:4:6:1:9:6:5:0:7:8:9:8:8:4:8:8:8:7:6:9:9:5:2:5:7:5:9:8:8:8:3:9:9:8:4:1:9:2:6,250,3218,12.872,4.83E-05,13,38,25.744,26,22,29,0.198456225,7.93687991
DSJC250.5,34,41,33,35,35,"ilsts,",2:36:1:2:18:18:18:1:17:2:17:14:36:36:18:18:14:18:14:24:11:39:1:1:8:7:17:36:24:14:11:39:39:36:36:23:39:34:14:7:7:2:8:7:7:23:1:23:24:18:36:17:1:8:34:5:5:34:11:6:5:7:24:2:34:24:33:33:24:7:5:33:39:0:8:37:37:17:17:5:33:6:14:0:0:11:23:0:37:14:37:41:41:17:37:2:14:8:41:23:18:5:36:24:41:33:11:0:17:30:7:30:7:0:6:24:34:5:1:37:11:37:5:34:28:30:11:18:6:23:1:17:33:6:11:0:30:41:40:39:39:27:28:28:26:8:40:41:40:27:28:26:30:2:19:33:28:39:19:34:8:19:23:28:19:30:19:40:5:1:27:18:26:10:30:10:28:6:40:33:28:24:6:27:21:26:27:27:23:8:26:19:21:21:1:23:37:6:34:13:20:10:38:38:38:20:20:13:21:41:40:20:26:0:13:19:4:8:29:30:19:2:40:26:38:37:4:3:3:13:4:10:13:4:13:24:29:29:36:39:4:3:38:3:29:21:20:5:4:8,250,15668,62.672,2.04E-06,101,147,125.344,125,120,130,0.062127232,7.963002986
